ticker,source_etf,source_etf_theme,source_etf_label,etf_attention_score,ticker_in_scored_universe,ticker_participation_score,ticker_ret_5d,ticker_ret_21d,ticker_dollar_volume_20d,ticker_market_cap,ticker_name,combined_watch_score
MU,DRAM,memory_semiconductors,Roundhill Memory ETF,2.680504569160197,True,3.6243218970661206,0.17344576055933447,0.7611590269459856,26307349563.61034,847198917460.2122,MICRON TECHNOLOGY INC,4.492665517693258
STX,DRAM,memory_semiconductors,Roundhill Memory ETF,2.680504569160197,True,2.3410854549663833,0.03824851799698359,0.5595775294366663,3257485385.6084595,179495308096.0,Seagate Technology,3.851047296643389
SNDK,DRAM,memory_semiconductors,Roundhill Memory ETF,2.680504569160197,True,2.315617998703317,0.010744430854263909,0.49231501701935687,18663662158.059692,210499232667.9797,SANDISK CORP,3.8383135685118557
MU,XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,1.8431572920199724,True,3.6243218970661206,0.17344576055933447,0.7611590269459856,26307349563.61034,847198917460.2122,MICRON TECHNOLOGY INC,3.655318240553033
AMD,XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,1.8431572920199724,True,3.596997843980679,0.23802284308436605,0.781874180859335,16990855643.166302,717170784987.8557,ADVANCED MICRO DEVICES INC,3.641656214010312
WDC,DRAM,memory_semiconductors,Roundhill Memory ETF,2.680504569160197,True,1.846217863176236,0.033615577961961574,0.37337214092713444,3411988337.0372696,165757634694.12723,WESTERN DIGITAL CORP,3.603613500748315
MU,SOXX,semiconductors_broad,iShares Semiconductor ETF,1.6876965181730805,True,3.6243218970661206,0.17344576055933447,0.7611590269459856,26307349563.61034,847198917460.2122,MICRON TECHNOLOGY INC,3.499857466706141
AMD,SOXX,semiconductors_broad,iShares Semiconductor ETF,1.6876965181730805,True,3.596997843980679,0.23802284308436605,0.781874180859335,16990855643.166302,717170784987.8557,ADVANCED MICRO DEVICES INC,3.48619544016342
MU,SMH,semiconductors_broad,VanEck Semiconductor ETF,1.4370030874045279,True,3.6243218970661206,0.17344576055933447,0.7611590269459856,26307349563.61034,847198917460.2122,MICRON TECHNOLOGY INC,3.2491640359375884
AMD,SMH,semiconductors_broad,VanEck Semiconductor ETF,1.4370030874045279,True,3.596997843980679,0.23802284308436605,0.781874180859335,16990855643.166302,717170784987.8557,ADVANCED MICRO DEVICES INC,3.2355020093948674
QCOM,SOXX,semiconductors_broad,iShares Semiconductor ETF,1.6876965181730805,True,2.614286746499884,0.12063784109282216,0.5929212429564426,4799127394.771619,220343962280.27344,QUALCOMM INC,2.9948398914230223
NVDA,SOXX,semiconductors_broad,iShares Semiconductor ETF,1.6876965181730805,True,2.3817607981572526,0.1261475541209447,0.1689186901831441,31033318733.423626,5416466238555.908,NVIDIA CORP,2.878576917251707
QCOM,SMH,semiconductors_broad,VanEck Semiconductor ETF,1.4370030874045279,True,2.614286746499884,0.12063784109282216,0.5929212429564426,4799127394.771619,220343962280.27344,QUALCOMM INC,2.74414646065447
ON,XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,1.8431572920199724,True,1.6231272604334954,0.00647707146573695,0.4550127283702303,1288446802.1719074,40497315883.18691,ON SEMICONDUCTOR CORP,2.65472092223672
