signal,ic_all,n_all,ic_deep_bear,n_deep_bear,ic_bear,n_bear,ic_neutral,n_neutral,ic_bull,n_bull,ic_strong_bull,n_strong_bull
rs_acceleration_score,0.04174799241490157,1095,,6,0.06026231812991552,167,0.05949503404962896,363,-0.01413874172105579,181,0.2175970699446223,9
h1_oversold_value_score,0.026501892081166527,1095,,6,0.06768749300188205,167,,363,,181,,9
h6_dynamic_leader_score,-0.01479824114074231,1095,,6,-0.012657102195041377,167,0.006456258923201848,363,-0.030598627244714034,181,0.11799509254209828,9
stage2_overext_penalty,,1095,,6,,167,,363,,181,,9
theme_phase_multiplier_primary,-0.0363167162046195,1095,,6,-0.17546798796237997,167,-0.002323995103852935,363,0.010490639725563293,181,-0.5720775535473553,9
theme_phase_multiplier_max,-0.020668303800459184,1095,,6,-0.13837389417148566,167,0.018950539450234973,363,0.07947592076236674,181,-0.5720775535473553,9
explosion_entry_score,,1095,,6,,167,,363,,181,,9
explosion_exit_score,,1095,,6,,167,,363,,181,,9
explosion_net_score,,1095,,6,,167,,363,,181,,9
portfolio_monster_early_score,0.023190207317506536,1095,,6,,167,,363,,181,,9
entry_quality_score,0.02548971316806187,1095,,6,0.05983581856321048,167,0.01077834728001114,363,0.13602853517199284,181,0.2383656473113981,9
breakout_setup_quality_score,,1095,,6,,167,,363,,181,,9
selection_confirmation_score,3.0023155836670883e-05,1095,,6,-0.01854083675918877,167,0.05959289737811768,363,0.07925860884148071,181,-0.14301938838683884,9
portfolio_risk_entry_block_score,0.020605543247846685,1095,,6,,167,,363,,181,,9
portfolio_hold_policy_exit_risk,,1095,,6,,167,,363,,181,,9
broken_momentum_penalty,,1095,,6,,167,,363,,181,,9
relative_strength_composite,,1095,,6,,167,,363,,181,,9
