ticker,cluster_start,n_buy_txs,n_sell_txs,n_buyers_unique,n_sellers_unique,buy_value_usd,sell_value_usd,net_value_usd,fwd_21d_pct,fwd_63d_pct,fwd_126d_pct
AAON,2026-03-12,0,3,0,1,0.0,470250.0,-470250.0,1.814009397880012,,
AAON,2026-04-21,0,1,0,1,0.0,228951.57,-228951.57,,,
AAPL,2026-04-02,0,8,0,2,0.0,24173072.77,-24173072.77,,,
ABBV,2026-02-25,0,5,0,2,0.0,10744698.13,-10744698.13,-9.306601295745054,,
ABNB,2026-01-26,0,18,0,3,0.0,22852486.6914,-22852486.6914,-4.911085887249344,8.074158153613297,
ABNB,2026-03-02,0,13,0,2,0.0,16371714.151899999,-16371714.151899999,-8.889053363925703,,
ABNB,2026-04-06,0,9,0,2,0.0,16078906.772,-16078906.772,,,
ABT,2026-02-04,2,6,1,6,1087331.402,485320.42,602010.9820000001,1.8528710328380216,,
ACGL,2026-02-11,0,4,0,4,0.0,7291532.1675,-7291532.1675,-3.7097598364844053,,
ACN,2026-01-26,0,41,0,6,0.0,5342224.7984,-5342224.7984,-30.00675988187996,-36.54249831002952,
ADBE,2026-01-27,0,1,0,1,0.0,485323.2646,-485323.2646,-15.394460488317153,,
ADBE,2026-04-20,0,1,0,1,0.0,331354.85360000003,-331354.85360000003,,,
ADC,2026-04-01,1,0,1,0,11050.74,0.0,11050.74,,,
ADI,2026-02-02,0,25,0,3,0.0,10497142.7525,-10497142.7525,9.04207411219764,,
ADI,2026-03-10,0,12,0,2,0.0,5177630.6561,-5177630.6561,8.28876169028181,,
ADM,2026-02-05,1,1,1,1,486720.0,1675900.0,-1189180.0,0.14850014850014137,,
ADM,2026-03-10,0,3,0,3,0.0,8436102.18,-8436102.18,5.594817432273258,,
ADP,2026-02-05,0,3,0,3,0.0,412571.49,-412571.49,-3.5922785187710304,,
ADP,2026-03-16,0,2,0,1,0.0,219475.16999999998,-219475.16999999998,-6.445424899290231,,
ADT,2026-03-05,1,0,1,0,49056.0,0.0,49056.0,-3.2163742690058394,,
AEE,2026-02-02,0,9,0,9,0.0,5550865.89,-5550865.89,8.433384972889236,,
AEP,2026-02-24,0,2,0,2,0.0,719922.9400000002,-719922.9400000002,-2.446413693857452,,
AFG,2026-02-27,0,1,0,1,0.0,222346.426,-222346.426,-5.676790401199849,,
AFL,2026-02-06,0,12,0,3,0.0,11026541.909999998,-11026541.909999998,-6.205839788882262,,
AFL,2026-03-09,0,48,0,4,0.0,58967178.24,-58967178.24,-0.6918860634378743,,
AFL,2026-04-09,0,2,0,1,0.0,9756507.389999999,-9756507.389999999,,,
AFRM,2026-04-14,0,1,0,1,0.0,110000.0,-110000.0,,,
AGCO,2026-02-17,0,1,0,1,0.0,315192.0,-315192.0,-17.06171257740765,,
AGNC,2026-01-28,0,5,0,3,0.0,9815332.13,-9815332.13,-6.737880032867705,,
AGO,2026-03-04,0,4,0,3,0.0,14096947.96,-14096947.96,-7.203682393555821,,
