ticker,date,bull_count,bear_count,bull_delta,bear_delta,event_type,fwd_21d_pct,fwd_63d_pct,fwd_126d_pct
A,2026-02-01,21,0,2,0,upgrade_wave_2,-11.064624579753445,,
A,2026-03-01,21,0,0,0,no_change,-7.719558411599925,,
A,2026-04-01,22,0,1,0,upgrade_1,,,
AA,2026-02-01,13,2,-2,1,downgrade_wave_2,12.374581939799324,,
AA,2026-03-01,13,2,0,0,no_change,1.8363402061855716,,
AA,2026-04-01,14,1,1,-1,upgrade_1,,,
AAL,2026-02-01,19,1,3,0,upgrade_wave_3,-6.315789473684208,,
AAL,2026-03-01,19,1,0,0,no_change,-22.11170619739863,,
AAL,2026-04-01,18,1,-1,0,downgrade_1,,,
AAON,2026-02-01,11,0,0,0,no_change,4.689215901603339,,
AAON,2026-03-01,11,0,0,0,no_change,-22.707509881422926,,
AAON,2026-04-01,11,0,0,0,no_change,,,
AAPL,2026-02-01,35,2,0,0,no_change,1.6455988900878626,,
AAPL,2026-03-01,36,2,1,0,upgrade_1,-6.643197819668412,,
AAPL,2026-04-01,37,2,1,0,upgrade_1,,,
ABBV,2026-02-01,25,0,-1,0,downgrade_1,4.865252679252063,,
ABBV,2026-03-01,27,0,2,0,upgrade_wave_2,-8.169596690796277,,
ABBV,2026-04-01,28,0,1,0,upgrade_1,,,
ABNB,2026-02-01,21,3,0,-3,no_change,2.8368246115791917,,
ABNB,2026-03-01,24,3,3,0,upgrade_wave_3,-8.889053363925703,,
ABNB,2026-04-01,24,2,0,-1,no_change,,,
ABT,2026-02-01,25,0,1,0,upgrade_1,3.9432753888380523,,
ABT,2026-03-01,25,0,0,0,no_change,-12.436613665663943,,
ABT,2026-04-01,26,0,1,0,upgrade_1,,,
ACGL,2026-02-01,16,1,0,0,no_change,4.623073719283632,,
ACGL,2026-03-01,16,1,0,0,no_change,-4.523215177234152,,
ACGL,2026-04-01,16,1,0,0,no_change,,,
ACHC,2026-02-01,12,1,-1,0,downgrade_1,71.0565476190476,,
ACHC,2026-03-01,12,1,0,0,no_change,-2.6023890784983017,,
ACHC,2026-04-01,12,1,0,0,no_change,,,
ACI,2026-02-01,17,2,1,1,upgrade_1,5.2252252252252385,,
ACI,2026-03-01,17,2,0,0,no_change,-2.905027932960891,,
ACI,2026-04-01,17,2,0,0,no_change,,,
ACM,2026-02-01,15,0,0,0,no_change,-0.2696256351757853,,
ACM,2026-03-01,15,0,0,0,no_change,-15.074505001020622,,
ACM,2026-04-01,15,0,0,0,no_change,,,
ACN,2026-02-01,22,1,3,0,upgrade_wave_3,-20.38764982551965,,
ACN,2026-03-01,23,1,1,0,upgrade_1,-5.351667305481023,,
ACN,2026-04-01,23,0,0,-1,no_change,,,
ADBE,2026-02-01,28,4,-4,1,downgrade_wave_3,-7.590792838874682,,
ADBE,2026-03-01,27,4,-1,0,downgrade_1,-8.109447048511885,,
ADBE,2026-04-01,22,4,-5,0,downgrade_wave_3,,,
ADC,2026-02-01,16,0,-1,0,downgrade_1,13.415478333102593,,
ADC,2026-03-01,16,0,0,0,no_change,-6.84642147117297,,
ADC,2026-04-01,16,0,0,0,no_change,,,
ADI,2026-02-01,30,0,0,0,no_change,9.04207411219764,,
ADI,2026-03-01,32,0,2,0,upgrade_wave_2,-14.809297619382223,,
ADI,2026-04-01,33,0,1,0,upgrade_1,,,
ADM,2026-02-01,2,8,0,0,no_change,1.010251077105906,,
ADM,2026-03-01,2,8,0,0,no_change,3.925260718424095,,
ADM,2026-04-01,2,8,0,0,no_change,,,
ADP,2026-02-01,7,3,4,-5,upgrade_wave_3,-12.377441050158,,
ADP,2026-03-01,7,3,0,0,no_change,-4.147228960626991,,
ADP,2026-04-01,8,3,1,0,upgrade_1,,,
ADSK,2026-02-01,33,0,2,0,upgrade_wave_2,0.20959386245897882,,
ADSK,2026-03-01,34,0,1,0,upgrade_1,-4.144466588034323,,
ADSK,2026-04-01,35,0,1,0,upgrade_1,,,
ADT,2026-02-01,5,0,0,0,no_change,-14.375000000000004,,
ADT,2026-03-01,5,0,0,0,no_change,-19.326683291770575,,
ADT,2026-04-01,6,1,1,1,upgrade_1,,,
AEE,2026-02-01,10,0,-1,0,downgrade_1,8.433384972889236,,
AEE,2026-03-01,10,0,0,0,no_change,-3.177966101694907,,
AEE,2026-04-01,10,0,0,0,no_change,,,
AEP,2026-02-01,13,1,-1,0,downgrade_1,10.139845543727798,,
AEP,2026-03-01,14,0,1,-1,upgrade_1,-2.017635629950676,,
AEP,2026-04-01,15,0,1,0,upgrade_1,,,
AES,2026-02-01,12,1,0,0,no_change,-3.208191126279869,,
AES,2026-03-01,10,0,-2,-1,downgrade_wave_2,-18.865740740740744,,
AES,2026-04-01,5,0,-5,0,downgrade_wave_3,,,
AFG,2026-02-01,4,0,0,0,no_change,1.2589237737007597,,
AFG,2026-03-01,5,0,1,0,upgrade_1,-4.391637840276729,,
AFG,2026-04-01,5,0,0,0,no_change,,,
AFL,2026-02-01,3,8,0,0,no_change,1.3339342045966651,,
AFL,2026-03-01,3,8,0,0,no_change,-4.215000442752148,,
AFL,2026-04-01,3,8,0,0,no_change,,,
AFRM,2026-02-01,25,0,0,0,no_change,-20.67993366500829,,
AFRM,2026-03-01,28,0,3,0,upgrade_wave_3,-8.407833120476793,,
AFRM,2026-04-01,28,0,0,0,no_change,,,
AGCO,2026-02-01,9,2,0,0,no_change,17.335331981306766,,
AGCO,2026-03-01,9,2,0,0,no_change,-17.472527472527467,,
AGCO,2026-04-01,9,2,0,0,no_change,,,
AGNC,2026-02-01,10,0,-3,0,downgrade_wave_3,-3.508771929824561,,
AGNC,2026-03-01,10,0,0,0,no_change,-12.22123104371098,,
AGNC,2026-04-01,10,0,0,0,no_change,,,
AGO,2026-02-01,5,0,0,0,no_change,2.416028285209215,,
AGO,2026-03-01,5,0,0,0,no_change,-6.72775780071917,,
AGO,2026-04-01,5,0,0,0,no_change,,,
AIG,2026-02-01,11,0,0,0,no_change,5.582264957264971,,
AIG,2026-03-01,11,0,0,0,no_change,-8.000993912287235,,
AIG,2026-04-01,12,0,1,0,upgrade_1,,,
AIT,2026-02-01,10,0,0,0,no_change,6.639529971967262,,
AIT,2026-03-01,10,0,0,0,no_change,-8.694882865029374,,
AIT,2026-04-01,9,0,-1,0,downgrade_1,,,
AIZ,2026-02-01,10,0,0,0,no_change,-2.200478730105404,,
AIZ,2026-03-01,10,0,0,0,no_change,-5.871335859575765,,
