date,cash_usd,equity_usd,cash_weight
2019-07-01,12059.02727239608,99780.69582860946,0.12085531346774268
2019-08-01,24606.360108122823,106269.19823144436,0.23154743347674908
2019-09-03,62749.710525698654,103380.72585315227,0.606976880921032
2019-10-01,54410.17359966277,98344.34368556975,0.5532618507641378
2019-11-01,18730.81492486952,98946.56136194227,0.18930233316904266
2019-12-02,11962.345910649274,94607.75729332445,0.12644149119359094
2020-01-02,7920.4157354688505,103654.47705863474,0.07641170897990705
2020-02-03,9111.272967495916,119219.33935467243,0.07642445442840669
2020-03-02,93843.15876564503,116777.51887878895,0.8036063761814549
2020-04-01,105973.55852379084,109204.75120796442,0.9704116107730492
2020-05-01,79583.42699639557,110318.67185418366,0.7213958041625707
2020-06-01,43280.81328365563,117129.76628467797,0.3695116506803557
2020-07-01,11220.641510755995,131792.36411360023,0.08513878316261335
2020-08-03,4565.968939955208,154495.42871778723,0.029554071456028282
2020-09-01,13370.192642328722,173107.6952134347,0.07723626974435667
2020-10-01,88239.22227447746,187950.9930264306,0.4694799471587193
2020-11-02,91502.91200758217,168355.5942890763,0.543509779962918
2020-12-01,60278.083552191245,174596.2508800721,0.3452427142527561
2021-01-04,5474.852391378867,189925.93765749215,0.028826249110071967
2021-02-01,96017.6668542695,210489.86201418162,0.4561629046428866
2021-03-01,119051.32658504724,204982.01047634362,0.58078914490297
2021-04-01,117645.31088037248,199293.66278810258,0.5903113487630458
2021-05-03,49066.385007145334,196819.58942914242,0.2492962471340276
2021-06-01,128868.2041961598,202571.23440093274,0.6361624076452111
2021-07-01,5979.17773139233,199566.3905152058,0.02996084519019625
2021-08-02,39941.760716202196,197528.16178584332,0.20220793002420775
2021-09-01,32411.990609123655,215916.76397032972,0.15011335856060515
2021-10-01,96936.02330176588,205539.39341895338,0.47161773560448356
2021-11-01,54039.98671176191,216644.7661764836,0.24944053653130832
2021-12-01,132564.12673113335,198375.4843847512,0.6682485345519001
2022-01-03,162795.5145366787,196171.30538445702,0.8298640528370428
2022-02-01,144309.0467712807,190153.51347660297,0.7589081270856292
2022-03-01,161339.16916517488,187348.69248823397,0.8611705105724581
2022-04-01,186579.8237621521,186579.8237621521,1.0
2022-05-02,173618.76271355862,186547.50191415066,0.9306946538124008
2022-06-01,162756.77886664623,186364.67773139232,0.8733241773488204
2022-07-01,168459.16691664926,181900.52147750132,0.926106014146229
2022-08-01,140210.10641835438,182496.03744862782,0.7682912373252114
2022-09-01,156552.89075025782,181885.3912156509,0.8607227315174653
2022-10-03,179831.18788633568,179831.18788633568,1.0
2022-11-01,140418.5797117923,179732.90208041412,0.7812625183616506
2022-12-01,60153.52808521491,182144.16713855963,0.3302522887787852
2023-01-03,157472.90008960947,174309.73065220102,0.9034085446658973
2023-02-01,110502.80992310744,175718.5429477046,0.6288625438693403
2023-03-01,41702.085382969184,173919.4524026225,0.2397781548117407
2023-04-03,81361.93809286335,179065.38479772786,0.4543699955453129
2023-05-01,110289.76333452448,181175.09995866998,0.6087468054919467
2023-06-01,171036.79699156032,178064.1237432693,0.9605348533776467
2023-07-03,37783.04457411035,178184.59956678614,0.2120443891670263
2023-08-01,44627.445118286436,188245.1352046512,0.2370709079401685
2023-09-01,66935.3499860309,190546.76011176332,0.3512804413298375
2023-10-02,136573.04912736162,180561.73334672197,0.7563786999380899
2023-11-01,147982.84514561875,180427.18440953476,0.8201804269678473
2023-12-01,14272.01911647062,185626.7692843173,0.07688556543593518
2024-01-02,30727.20248465756,189745.31965689876,0.16193918532598903
2024-02-01,15498.504260561218,198936.724727175,0.07790670265541023
2024-03-01,74086.28115736222,257284.33257948136,0.28795488794279833
2024-04-01,73387.90760471555,253484.22913028928,0.28951666088462896
2024-05-01,165005.29570230696,224921.78795084212,0.7336118799587782
2024-06-03,17817.233041708212,230545.49204439376,0.07728293832037858
2024-07-01,67190.20578718395,234635.27292585582,0.2863602089717171
2024-08-01,123301.77525228713,253932.1205815718,0.4855698246046755
2024-09-03,84467.3886274168,247933.2063001463,0.34068606576708865
2024-10-01,55839.75330698221,256932.73778879375,0.21733218502067309
2024-11-01,133634.9866350767,257285.69262491434,0.5194031011662096
2024-12-02,8918.788775722714,289780.2845185206,0.030777762505622402
2025-01-02,107811.4424128649,286738.4344706652,0.37599229629571884
2025-02-03,117268.1976462481,299885.825835335,0.39104281544349867
2025-03-03,197994.60346302245,288152.92657932494,0.687116406601954
2025-04-01,241183.28117806645,280459.44037301274,0.8599577923185301
2025-05-01,243820.99484891153,283501.3872801707,0.8600345740388038
2025-06-02,22318.31529068209,284715.66287063813,0.07838808397703964
2025-07-01,100145.01005624032,283742.7402694056,0.35294298617527803
2025-08-01,7988.166987468954,303191.7876081965,0.026346910813401604
2025-09-02,9028.966091644528,327282.36882449366,0.02758769476056421
2025-10-01,30915.24144499995,401202.4401144335,0.07705646415356324
2025-11-03,37449.51048007229,460777.6413394473,0.08127458261908992
2025-12-01,68858.39342375973,510416.01460906246,0.1349064125201865
2026-01-02,46500.60289710264,596597.1844400715,0.07794304785522106
2026-02-02,55425.20595328548,722336.1203514788,0.07673049206831348
2026-03-02,553953.3970374988,889701.678195946,0.6226282478872623
2026-04-01,807245.8092778705,906524.3675054095,0.8904844019794684
2026-05-01,74276.69856780273,943263.9361776661,0.07874434261611855
