rebalance_date,regime_state,active,gross_return,cost,turnover,net_return,n_positions,selected_tickers,equity,drawdown
2019-04-30,bull,True,-0.002205390327544945,0.000125,0.025,-0.002330390327544945,3,"IPGP,IR,LITE",0.9976696096724551,-0.0023303903275448956
2019-05-31,bear,False,0.0,0.000125,0.025,-0.000125,0,,0.997544900971246,-0.00245509902875396
2019-06-28,neutral,False,0.0,0.0,0.0,0.0,0,,0.997544900971246,-0.00245509902875396
2019-07-31,neutral,False,0.0,0.0,0.0,0.0,0,,0.997544900971246,-0.00245509902875396
2019-08-30,neutral,False,0.0,0.0,0.0,0.0,0,,0.997544900971246,-0.00245509902875396
2019-09-30,neutral,False,0.0,0.0,0.0,0.0,0,,0.997544900971246,-0.00245509902875396
2019-10-31,neutral,False,0.0,0.0,0.0,0.0,0,,0.997544900971246,-0.00245509902875396
2019-11-29,bull,True,0.007212595876101208,0.000125,0.025,0.0070875958761012076,3,"TSLA,ALGN,CZR",1.0046150960975957,0.0
2019-12-31,neutral,False,0.0,0.000125,0.025,-0.000125,0,,1.0044895192105834,-0.00012500000000015277
2020-01-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0044895192105834,-0.00012500000000015277
2020-02-28,bear,False,0.0,0.0,0.0,0.0,0,,1.0044895192105834,-0.00012500000000015277
2020-03-31,deep_bear,False,0.0,0.0,0.0,0.0,0,,1.0044895192105834,-0.00012500000000015277
2020-04-30,bear,False,0.0,0.0,0.0,0.0,0,,1.0044895192105834,-0.00012500000000015277
2020-05-29,neutral,False,0.0,0.0,0.0,0.0,0,,1.0044895192105834,-0.00012500000000015277
2020-06-30,bull,True,0.007352542376587973,0.000125,0.025,0.007227542376587973,3,"ETSY,YETI,XYZ",1.0117495097775164,0.0
2020-07-31,bull,True,0.004911630416856284,8.333333333333333e-05,0.016666666666666666,0.00482829708352295,3,"YETI,XYZ,TWLO",1.016634536984831,0.0
2020-08-31,neutral,False,0.0,0.000125,0.025,-0.000125,0,,1.016507457667708,-0.00012499999999993072
2020-09-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.016507457667708,-0.00012499999999993072
2020-10-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.016507457667708,-0.00012499999999993072
2020-11-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.016507457667708,-0.00012499999999993072
2020-12-31,bull,True,-5.185921672602853e-05,0.000125,0.025,-0.00017685921672602853,3,"WDC,EEFT,JLL",1.0163276789549487,-0.0003018371093239658
2021-01-29,neutral,False,0.0,0.000125,0.025,-0.000125,0,,1.0162006379950792,-0.00042679937968537196
2021-02-26,neutral,False,0.0,0.0,0.0,0.0,0,,1.0162006379950792,-0.00042679937968537196
2021-03-31,bull,True,0.0012634566010555537,0.000125,0.025,0.0011384566010555538,3,"INTC,AWI,FCN",1.0173575383194016,0.0
2021-04-30,bull,True,0.0012380267839091166,0.00016666666666666666,0.03333333333333333,0.0010713601172424498,3,"AWI,V,CBOE",1.018447494610933,0.0
2021-05-28,bull,True,0.0015967195242497215,0.00025,0.05,0.0013467195242497215,3,"TRU,SBAC,CNC",1.0198190577363488,0.0
2021-06-30,bull,True,0.0027967910817453248,0.00016666666666666666,0.03333333333333333,0.0026301244150786583,3,"NVDA,RMD,TRU",1.0225013087390638,0.0
2021-07-30,neutral,False,0.0,0.000125,0.025,-0.000125,0,,1.0223734960754713,-0.00012500000000004174
2021-08-31,bull,True,-0.0001106327300208368,0.000125,0.025,-0.0002356327300208368,3,"ADBE,RGEN,DXCM",1.0221325914174901,-0.00036060327592957186
2021-09-30,neutral,False,0.0,0.000125,0.025,-0.000125,0,,1.022004824843563,-0.00048555820052009757
