portfolio,rebalance_date,row_count,ticker_count,category,present_count,row_any_feature_coverage_ratio,average_present_column_coverage_ratio
main,2019-05-31,14,14,price_momentum,1,0.0,0.0
main,2019-05-31,14,14,macro_regime,1,1.0,1.0
main,2019-05-31,14,14,theme_leadership,0,,
main,2019-05-31,14,14,sec_smart_money,0,,
main,2019-05-31,14,14,quality_confirmation,0,,
main,2019-05-31,14,14,broker_policy,1,1.0,1.0
main,2019-06-28,14,14,price_momentum,1,0.0,0.0
main,2019-06-28,14,14,macro_regime,1,1.0,1.0
main,2019-06-28,14,14,theme_leadership,0,,
main,2019-06-28,14,14,sec_smart_money,0,,
main,2019-06-28,14,14,quality_confirmation,0,,
main,2019-06-28,14,14,broker_policy,1,1.0,1.0
main,2019-07-31,14,14,price_momentum,1,0.0,0.0
main,2019-07-31,14,14,macro_regime,1,1.0,1.0
main,2019-07-31,14,14,theme_leadership,0,,
main,2019-07-31,14,14,sec_smart_money,0,,
main,2019-07-31,14,14,quality_confirmation,0,,
main,2019-07-31,14,14,broker_policy,1,1.0,1.0
main,2019-08-30,14,14,price_momentum,1,0.0,0.0
main,2019-08-30,14,14,macro_regime,1,1.0,1.0
main,2019-08-30,14,14,theme_leadership,0,,
main,2019-08-30,14,14,sec_smart_money,0,,
main,2019-08-30,14,14,quality_confirmation,0,,
main,2019-08-30,14,14,broker_policy,1,1.0,1.0
main,2019-09-30,14,14,price_momentum,1,0.0,0.0
main,2019-09-30,14,14,macro_regime,1,1.0,1.0
main,2019-09-30,14,14,theme_leadership,0,,
main,2019-09-30,14,14,sec_smart_money,0,,
main,2019-09-30,14,14,quality_confirmation,0,,
main,2019-09-30,14,14,broker_policy,1,1.0,1.0
main,2019-10-31,23,23,price_momentum,1,0.0,0.0
main,2019-10-31,23,23,macro_regime,1,0.9565217391304348,0.9565217391304348
main,2019-10-31,23,23,theme_leadership,0,,
main,2019-10-31,23,23,sec_smart_money,0,,
main,2019-10-31,23,23,quality_confirmation,0,,
main,2019-10-31,23,23,broker_policy,1,1.0,1.0
main,2019-11-29,29,29,price_momentum,1,0.0,0.0
main,2019-11-29,29,29,macro_regime,1,0.6896551724137931,0.6896551724137931
main,2019-11-29,29,29,theme_leadership,0,,
main,2019-11-29,29,29,sec_smart_money,0,,
main,2019-11-29,29,29,quality_confirmation,0,,
main,2019-11-29,29,29,broker_policy,1,1.0,1.0
main,2019-12-31,14,14,price_momentum,1,0.0,0.0
main,2019-12-31,14,14,macro_regime,1,1.0,1.0
main,2019-12-31,14,14,theme_leadership,0,,
main,2019-12-31,14,14,sec_smart_money,0,,
main,2019-12-31,14,14,quality_confirmation,0,,
main,2019-12-31,14,14,broker_policy,1,1.0,1.0
main,2020-01-31,14,14,price_momentum,1,0.0,0.0
main,2020-01-31,14,14,macro_regime,1,1.0,1.0
main,2020-01-31,14,14,theme_leadership,0,,
main,2020-01-31,14,14,sec_smart_money,0,,
main,2020-01-31,14,14,quality_confirmation,0,,
main,2020-01-31,14,14,broker_policy,1,1.0,1.0
main,2020-02-28,14,14,price_momentum,1,0.0,0.0
main,2020-02-28,14,14,macro_regime,1,1.0,1.0
main,2020-02-28,14,14,theme_leadership,0,,
main,2020-02-28,14,14,sec_smart_money,0,,
main,2020-02-28,14,14,quality_confirmation,0,,
main,2020-02-28,14,14,broker_policy,1,1.0,1.0
main,2020-03-31,14,14,price_momentum,1,0.0,0.0
main,2020-03-31,14,14,macro_regime,1,1.0,1.0
main,2020-03-31,14,14,theme_leadership,0,,
main,2020-03-31,14,14,sec_smart_money,0,,
main,2020-03-31,14,14,quality_confirmation,0,,
