ticker,first_rebalance_date,last_rebalance_date,target_row_count,linked_mdd_position_pnl_usd,sector,industry_group,primary_lane,crisis_state,market_style_regime_label,regime_state,regime_capacity_regime,avg_weight,max_weight,min_weight,avg_target_weight,max_target_weight,min_target_weight,avg_selection_confirmation_score,max_selection_confirmation_score,min_selection_confirmation_score,avg_breakout_setup_quality_score,max_breakout_setup_quality_score,min_breakout_setup_quality_score,avg_rs_benchmark_1m,max_rs_benchmark_1m,min_rs_benchmark_1m,avg_ticker_ret_1m,max_ticker_ret_1m,min_ticker_ret_1m,avg_atr14_pct,max_atr14_pct,min_atr14_pct
BILL,2021-08-31,2021-09-30,2,-60995.773498535156,Information Technology,Software - Application,MARKET_LEADER,WATCH,quality_compounder,neutral,neutral,0.16899999999999998,0.3,0.038,0.16899999999999998,0.3,0.038,1.0,1.0,1.0,0.5659704220063799,0.5975186251649017,0.5344222188478581,0.14495413118182893,0.2907359575480822,-0.0008276951844243,0.13653603094364442,0.3267092395867363,-0.0536371776994475,0.049132374225529504,0.0504339403853451,0.0478308080657139
DDOG,2021-08-31,2021-11-30,4,-31852.79931640625,Information Technology,Software - Application,MARKET_LEADER,WATCH,quality_compounder,neutral,neutral,0.14174186134560893,0.192065716510933,0.0259615775215641,0.14174186134560893,0.192065716510933,0.0259615775215641,1.0,1.0,1.0,0.6011749768926642,0.7203184522919762,0.4793670510929603,0.1252265426697483,0.2088325612368994,0.0613182623490175,0.1389793391398589,0.2448058432755535,0.0345458614654332,0.03935451504541057,0.0519514697547432,0.0344646133822897
NVDA,2021-11-30,2021-12-31,2,-30292.085662841804,Information Technology,Semiconductors,MARKET_LEADER,GREEN,quality_compounder,bull,bull,0.057999999999999996,0.076,0.04,0.057999999999999996,0.076,0.04,0.246716875,0.246716875,0.246716875,0.4771388030818004,0.5228537975560572,0.4314238086075436,0.0716955417326481,0.2720868035872714,-0.1286957201219752,0.08912171742407557,0.2780537254886992,-0.0998102906405481,0.05186010647613955,0.0532181590792618,0.0505020538730173
BLD,2023-03-31,2023-04-28,2,-23063.669662475586,Consumer Discretionary,Construction & Engineering,MARKET_LEADER,DEFENSE_REVIEW,balanced,neutral,neutral,0.138,0.2,0.076,0.138,0.2,0.076,1.0,1.0,1.0,0.49961573585677077,0.5301838526659225,0.469047619047619,0.0193174128015706,0.1019878411158371,-0.0633530155126959,0.0777345707725072,0.1528196735481917,0.0026494679968227,0.029102195179529,0.0303178497576379,0.0278865406014201
TSLA,2021-10-29,2021-11-30,2,-18079.413665771484,Consumer Discretionary,Auto Manufacturers & Parts,MARKET_LEADER,WATCH,quality_compounder,neutral,neutral,0.078,0.08,0.076,0.078,0.08,0.076,0.2451249999999999,0.2451249999999999,0.2451249999999999,0.4451661429603536,0.4927132383016597,0.3976190476190476,0.19078764404705528,0.3599300211217595,0.0216452669723511,0.2267113372254612,0.4258104855771434,0.027612188873779,0.04418124592763025,0.0528482502689689,0.0355142415862916
ORLY,2022-11-30,2022-12-30,2,-15135.35366821289,Consumer Discretionary,Auto Manufacturers & Parts,QUALITY_COMPOUNDER,DEFENSE_REVIEW,balanced,bear,bear,0.0570083000007691,0.0977600501884143,0.0162565498131239,0.0570083000007691,0.0977600501884143,0.0162565498131239,0.4408666666666666,0.4408666666666666,0.4408666666666666,0.6504098019968965,0.7241725475641598,0.5766470564296331,0.019179433103263102,0.0501589166095139,-0.0118000504029877,0.0050220764542169005,0.0337678019393514,-0.0237236490309176,0.01802279202970745,0.019120827713983,0.0169247563454319
STLD,2022-04-29,2022-05-31,2,-13262.109004974365,Materials,Metals & Mining,MARKET_LEADER,DEFENSE_REVIEW,balanced,bear,bear,0.016916331486995652,0.0223621789334568,0.0114704840405345,0.016916331486995652,0.0223621789334568,0.0114704840405345,1.0,1.0,1.0,0.5461030941783771,0.5940631415721411,0.498143046784613,0.07861948962363395,0.1547493934587848,0.0024895857884831,0.0093553105370576,0.0230253961324939,-0.0043147750583787,0.08983653929290511,0.0962590553347719,0.0834140232510383
DXCM,2021-07-30,2021-10-29,3,-12595.675506591793,Health Care,Medical Devices,MARKET_LEADER,GREEN,balanced,bull,bull,0.14009222172169059,0.1602861756382408,0.1014820838327105,0.14009222172169059,0.1602861756382408,0.1014820838327105,0.7483749999999999,1.0,0.2451249999999999,0.5848046039783653,0.7006399662096473,0.5148910323272486,0.11951298993876813,0.1807724616093832,0.0764084802477149,0.1327069617943125,0.2072833952356556,0.0485485454441831,0.029514240238863867,0.0306381739758927,0.0281790016611609
MA,2022-01-31,2023-01-31,6,-12456.719299316403,Financials,Consumer Finance,QUALITY_COMPOUNDER,DEFENSE_REVIEW,breakout_growth,neutral,neutral,0.0482467019081679,0.1088200647438687,0.0029101467051388,0.0482467019081679,0.1088200647438687,0.0029101467051388,1.0,1.0,1.0,0.4180038849442083,0.5120944429704206,0.2435405517170374,0.027242253131362196,0.1468255343354006,-0.0435795307351242,0.021627020987376667,0.0817374398008219,-0.056704707327164,0.03871486550855337,0.0486738575550561,0.0293762535424639
MLI,2023-02-28,2023-03-31,2,-11918.317245483398,Industrials,Other,MARKET_LEADER,DEFENSE_REVIEW,breakout_growth,bull,bull,0.0733670635893305,0.1075830064694349,0.0391511207092261,0.0733670635893305,0.1075830064694349,0.0391511207092261,1.0,1.0,1.0,0.5221305876234617,0.5348425055192718,0.5094186697276514,0.0371568650502711,0.142728251122006,-0.0684145210214638,0.0620746081930859,0.1265612538981169,-0.0024120375119451,0.0571513486159606,0.0589957764206964,0.0553069208112248
XPO,2023-06-30,2023-07-31,2,-11219.850521087646,Industrials,Transportation & Logistics,MARKET_LEADER,GREEN,quality_compounder,bull,bull,0.1645553287727508,0.2,0.1291106575455016,0.1645553287727508,0.2,0.1291106575455016,1.0,1.0,1.0,0.6315215296790866,0.7550481542790399,0.5079949050791333,0.14834669869208383,0.1588012413534665,0.1378921560307012,0.19515248223824205,0.216745678649882,0.1735592858266021,0.037869105085100496,0.0422031002877078,0.0335351098824932
