ticker,position_pnl_usd,avg_weight,max_weight,days_held,sector,industry_group,primary_lane
DDOG,-43106.57154846192,0.07445046717744969,0.2185861196198361,29,Information Technology,Software - Application,MARKET_LEADER
NVDA,-30209.38809967041,0.05547830456430248,0.0793733717740538,42,Information Technology,Semiconductors,MARKET_LEADER
BLD,-23268.059661865234,0.13434118900235234,0.2168463490570573,41,Consumer Discretionary,Construction & Engineering,MARKET_LEADER
ORLY,-15209.786994934082,0.058879414993227484,0.1021300649141766,41,Consumer Discretionary,Auto Manufacturers & Parts,QUALITY_COMPOUNDER
STLD,-13317.510177612307,0.015659570538758116,0.0232464312723758,42,Materials,Metals & Mining,MARKET_LEADER
MA,-12456.713714599606,0.046253985528643,0.107304286912894,123,Financials,Consumer Finance,QUALITY_COMPOUNDER
MLI,-11950.971187591553,0.07392367518158074,0.1078428436606481,42,Industrials,Other,MARKET_LEADER
XPO,-11120.500526428223,0.18282221919561395,0.2304823989336997,33,Industrials,Transportation & Logistics,MARKET_LEADER
NET,-8673.988357543945,0.26799134689561865,0.278140968660321,7,Information Technology,Software - Infrastructure,MARKET_LEADER
TMUS,-5036.206787109375,0.023409224488495854,0.0407198776343301,42,Communication,Communication Equipment,MARKET_LEADER
WCC,-4751.807662963869,0.049709371389714055,0.0680152123116011,65,Industrials,Capital Goods - Machinery,QUALITY_COMPOUNDER
ON,-3792.5994873046875,0.11401000096354623,0.1199092757943336,13,Information Technology,Semiconductors,MARKET_LEADER
LOPE,-3765.800018310547,0.07554587112042184,0.0912668106815844,42,Consumer Discretionary,Other,MARKET_LEADER
DXCM,-3132.4280395507812,0.10048169415074616,0.1047359785455067,7,Health Care,Medical Devices,MARKET_LEADER
RKLB,-2907.0898475646954,0.06422810344976614,0.0760480307058457,22,Industrials,Aerospace & Defense,MARKET_LEADER
FANG,-2813.1494064331055,0.02779799069297963,0.0392013897565268,43,Energy,Oil Gas & Consumable Fuels,QUALITY_COMPOUNDER
ONTO,-2474.7994384765625,0.11711983146789212,0.1202288055224986,13,Information Technology,Semiconductors,MARKET_LEADER
CTAS,-1937.372215270996,0.018149825732014804,0.0237242332152831,44,Industrials,Commercial Services,QUALITY_COMPOUNDER
JBL,-1727.0740814208975,0.12495897153002876,0.2919006641263478,123,Information Technology,Tech Hardware & Storage,MARKET_LEADER
TSLA,-919.8592224121094,0.07352334747530594,0.0778685916435663,29,Consumer Discretionary,Auto Manufacturers & Parts,MARKET_LEADER
MSI,-890.9662475585938,0.11274921816553332,0.1152963278835425,22,Information Technology,Communication Equipment,QUALITY_COMPOUNDER
PCTY,-829.5393676757849,0.08910600159484636,0.0910505861021672,7,Industrials,Software - Application,MARKET_LEADER
TXRH,-796.5182876586914,0.1127710616179553,0.1173354346515839,22,Consumer Discretionary,Hotels Restaurants & Leisure,QUALITY_COMPOUNDER
BRKR,-742.9725570678711,0.01905738503843714,0.0215035458733347,23,Health Care,Medical Devices,QUALITY_COMPOUNDER
DAL,-598.6751861572266,0.09718212441387533,0.1020471924118658,20,Industrials,Transportation & Logistics,MARKET_LEADER
RGLD,-493.4564208984375,0.018349246614914543,0.0202319724965005,21,Materials,Metals & Mining,MARKET_LEADER
CHE,-390.15216064453307,0.06247294723428531,0.0636260225754614,22,Health Care,Diagnostics & Research,QUALITY_COMPOUNDER
PLNT,-387.24005126953125,0.039881060397069866,0.041780318418493,19,Consumer Discretionary,Specialty Retail,QUALITY_COMPOUNDER
CW,-100.27793884277389,0.014890150312376046,0.0156481669560092,21,Industrials,Aerospace & Defense,QUALITY_COMPOUNDER
LOW,-81.20623779296875,0.010868547334519904,0.0114569554963739,21,Consumer Discretionary,Specialty Retail,QUALITY_COMPOUNDER
