signal,split,status,row_count,spearman,low_quantile_count,high_quantile_count,low_quantile_mean,high_quantile_mean,high_minus_low,high_quantile_positive_rate
w4_form4_score,full,ok,4566,-0.0025595883544821773,914,912,0.017366049715581627,0.013998825417347599,-0.003367224298234028,0.5449561403508771
w4_form4_score,is,ok,2113,-0.005683737930678065,423,423,0.008894896821488914,0.01510817642863213,0.006213279607143216,0.5508274231678487
w4_form4_score,oos,ok,2453,0.0010068126862354744,491,490,0.02251907395106918,0.0113590250810428,-0.01116004887002638,0.5326530612244897
w4_13f_score,full,ok,33643,0.005622187497458619,6731,6729,0.010158664209583178,0.015891501220283127,0.005732837010699949,0.5464407787189776
w4_13f_score,is,ok,23210,0.001115395773150165,4642,4642,0.01285263160806114,0.014220066710846932,0.0013674351027857922,0.5506247307195175
w4_13f_score,oos,ok,10433,0.02647660487357783,2087,2087,0.003497539109814687,0.020365359419759883,0.016867820309945197,0.5366554863440345
w4_combined_score,full,ok,34835,0.008544005761809194,6967,6967,0.011175416265731859,0.015109267998573844,0.003933851732841985,0.5484426582460169
w4_combined_score,is,ok,23807,0.005121205643114102,4762,4762,0.011800587999458453,0.014480454416510271,0.002679866417051818,0.5533389332213355
w4_combined_score,oos,ok,11028,0.018035486519840497,2206,2205,0.010396105178585654,0.01755789201692427,0.007161786838338615,0.5414965986394558
w4_consensus_score,full,ok,631,0.048236686761869554,127,124,-0.010598802349472651,0.004584909376568832,0.015183711726041483,0.47580645161290325
w4_consensus_score,is,ok,344,0.055303504598374735,69,69,-0.004372434041060513,0.008886240646822445,0.013258674687882957,0.4927536231884058
w4_consensus_score,oos,ok,287,0.02597459624400994,58,58,-0.01166192607151323,0.0003401818556130251,0.012002107927126256,0.5
