date,cash_usd,equity_usd,cash_weight
2019-06-03,28730.718288183205,99822.27111792564,0.28781871987506674
2019-07-01,30067.10278571128,107819.38028014182,0.27886547583179755
2019-08-01,30321.96094861507,110622.8001934576,0.2741022727284782
2019-09-03,34304.985242619514,115638.31402374744,0.2966576046376347
2019-10-01,19942.600020756727,109881.4558805132,0.18149195295011944
2019-11-01,20745.417572531715,115620.2543015814,0.17942719204214697
2019-12-02,17779.764281553027,113976.49724940657,0.15599500520398382
2020-01-02,24691.346528028254,125393.83853433013,0.1969103651075192
2020-02-03,26681.955840786686,132523.246644696,0.2013379276190151
2020-03-02,33126.45138810755,132695.08701108576,0.24964339022845705
2020-04-01,5670.959839342831,107099.84713029742,0.05295021413469951
2020-05-01,4246.120580376375,138135.81662720558,0.03073873730978552
2020-06-01,1327.118591529123,165142.45355723499,0.008036204882163573
2020-07-01,6608.770847116706,184807.47151259065,0.035760301209826685
2020-08-03,33824.449720064404,210336.34833304049,0.16081124345901332
2020-09-01,14474.199649544953,232349.5595795834,0.06229493043040312
2020-10-01,2331.3047566425776,233164.83140230298,0.009998526547171004
2020-11-02,514.2871460020469,219668.21233025193,0.00234119966902112
2020-12-01,1041.6882168447992,246492.81899992586,0.00422603879930925
2021-01-04,3158.579607435462,272144.1221184218,0.01160627531782967
2021-02-01,559.2594845068452,297014.0825207007,0.0018829392861123581
2021-03-01,1828.718956886536,317501.82876294735,0.0057597115708328435
2021-04-01,153.1938625300063,299406.207950207,0.0005116589384662436
2021-05-03,8283.617276722194,304170.78925853374,0.027233441110222557
2021-06-01,9901.813060423141,304259.5044857466,0.03254397287328457
2021-07-01,4018.8136542761276,308310.8294738257,0.013034941591687775
2021-08-02,10230.802712775469,314579.61282668234,0.03252214159985037
2021-09-01,11447.746017962716,329860.2771630585,0.03470483356292033
2021-10-01,15227.226946393277,320044.8083520329,0.04757842198659916
2021-11-01,14192.049596558834,354953.48736740235,0.03998284310943829
2021-12-01,1785.4356342232386,336649.64711722493,0.0053035422716529125
2022-01-03,6445.234857159874,337830.50041349535,0.019078309534725498
2022-02-01,876.6153239214473,286180.00978078484,0.0030631605771239525
2022-03-01,1011.9151641809804,283411.2439262354,0.0035704834789277292
2022-04-01,1101.8420583498373,311027.0846006167,0.003542591989262573
2022-05-02,2255.6096499407213,282967.16995839716,0.007971276845551902
2022-06-01,9247.194947906737,297588.3947121585,0.031073775430157685
2022-07-01,16105.565626293428,258492.90365806222,0.06230563933622751
2022-08-01,1470.529369198066,263154.5536421168,0.005588082550142556
2022-09-01,1095.8110264456118,273118.6391838705,0.0040122161919087605
2022-10-03,2413.9827048885563,270538.7074611294,0.008922873652877911
2022-11-01,3698.471137038442,295523.32440661546,0.012514988941954559
2022-12-01,2410.1842644035532,305975.65231631394,0.007877045922307353
2023-01-03,10715.971230670199,284239.31274144293,0.037700524699825516
2023-02-01,11661.367443581803,312384.9221577847,0.037330122603330004
2023-03-01,9214.86044908165,320252.61826539633,0.028773724002609746
2023-04-03,19795.237999874327,323240.47573562263,0.06123997297932698
2023-05-01,74184.99389819741,309780.8207834208,0.2394757484036201
2023-06-01,1390.4494204485345,324313.285754677,0.00428736496937817
2023-07-03,1841.5771536028224,347171.9765981829,0.0053045098041834896
2023-08-01,3307.8387036669155,365233.0120053637,0.009056790035229174
2023-09-01,1978.9878592741334,364924.6160292876,0.005423004566826226
2023-10-02,414.93496197346394,326700.9785334456,0.0012700756631831927
2023-11-01,2808.446104217808,321641.0044385684,0.008731617130471329
2023-12-01,2973.2672849023584,336177.43853429204,0.008844339161680738
2024-01-02,15192.115983113043,344973.281266793,0.04403852938211719
2024-02-01,2272.5108048164766,378978.0486981118,0.005996418031659466
2024-03-01,1164.3484260880723,429913.09308551194,0.002708334416454903
2024-04-01,2233.7778966748374,446570.036979469,0.005002077416084087
2024-05-01,1963.9720296800006,412914.80082225206,0.00475636142315333
2024-06-03,9115.816061185571,432618.6583577859,0.02107125036120512
2024-07-01,22673.86354739545,431971.1532278764,0.052489300218235585
2024-08-01,40981.97476829885,447518.4414698064,0.09157605803617785
2024-09-03,123099.95905862215,442124.58052621246,0.27842821792923106
2024-10-01,159521.03414985063,471568.726975168,0.33827738148176806
2024-11-01,163324.37594667802,480904.38324037916,0.33961922918269727
2024-12-02,82644.39708011034,521046.0550619829,0.15861246098539042
2025-01-02,81745.23496489885,505411.20257811906,0.16174005354039192
2025-02-03,35351.40446840641,534656.6377180708,0.06611982714604868
2025-03-03,77439.0917376769,481875.3398770583,0.16070357897425105
2025-04-01,105456.06847428448,479732.1949849046,0.21982278774849118
2025-05-01,134933.14544270642,481559.36583302624,0.28020043844291576
2025-06-02,80109.06203454157,500838.7313765826,0.15994981421336452
2025-07-01,15790.973599711848,501767.52745560784,0.03147069655899345
2025-08-01,12645.92241175787,520458.87391169684,0.024297640112681467
2025-09-02,1478.2476622452232,498011.2709338059,0.00296830161990793
2025-10-01,12620.50354716439,590271.0397906031,0.021380861835338348
2025-11-03,34006.082191993206,652012.108139564,0.05215559920969161
2025-12-01,29557.79831561225,622768.4368806757,0.04746194020952865
2026-01-02,37236.93745385309,672262.1987911334,0.055390497220895084
2026-02-02,10480.563509608633,808228.8260828508,0.012967322089220164
2026-03-02,10747.677059193986,824374.8789062704,0.013037366050568327
2026-04-01,6342.732268716238,838903.6494993223,0.007560739868638945
2026-05-01,12468.201406866458,1051573.189352423,0.011856712907015624
