variant_id,status,style,target_stock_names,single_name_cap,cagr,max_dd,sharpe,trade_count,avg_cash_weight,target_distance,valid_for_production,reason
future_heavy_N2_cap0.33,completed,future_heavy,2,0.33,0.16782574557061913,-0.18250233424224582,0.8368070177072748,290,0.33798681991892715,0.3346765886716267,True,
future_heavy_N2_cap0.4,completed,future_heavy,2,0.4,0.20259025627154648,-0.21917781648355006,0.863301754771012,290,0.19788944287196084,0.3365875602120036,True,
future_heavy_N2_cap0.5,completed,future_heavy,2,0.5,0.25015854985009645,-0.26985234723887586,0.8866590934926829,287,0.000475654952085556,0.3396937973887794,True,
monster_heavy_N2_cap0.33,completed,monster_heavy,2,0.33,0.1591146745769063,-0.17925987349955974,0.8342444390378715,288,0.3378093426264983,0.3408853254230937,True,
monster_heavy_N2_cap0.4,completed,monster_heavy,2,0.4,0.19275560759071042,-0.21391248048896072,0.8643300191135128,288,0.19793717493513038,0.3411568728982503,True,
monster_heavy_N2_cap0.5,completed,monster_heavy,2,0.5,0.24024911608179167,-0.2614669833918811,0.8947029805847178,287,0.0003425665770855468,0.34121786731008946,True,
future_heavy_N2_cap0.25,completed,future_heavy,2,0.25,0.12785910854018545,-0.13964839342902258,0.7908206132821952,286,0.4980314796498895,0.37214089145981455,True,
leader_onset_shadow_N5_cap0.25,completed,leader_onset_shadow,5,0.25,0.2007595481126423,-0.25952811650883056,0.8162623678511564,720,0.0005494073722279193,0.3787685683961883,True,
leader_onset_shadow_N5_cap0.33,completed,leader_onset_shadow,5,0.33,0.2007595481126423,-0.25952811650883056,0.8162623678511564,720,0.0005494073722279193,0.3787685683961883,True,
leader_onset_shadow_N5_cap0.4,completed,leader_onset_shadow,5,0.4,0.2007595481126423,-0.25952811650883056,0.8162623678511564,720,0.0005494073722279193,0.3787685683961883,True,
leader_onset_shadow_N5_cap0.5,completed,leader_onset_shadow,5,0.5,0.2007595481126423,-0.25952811650883056,0.8162623678511564,720,0.0005494073722279193,0.3787685683961883,True,
monster_heavy_N2_cap0.25,completed,monster_heavy,2,0.25,0.12035383305900615,-0.13847021923293967,0.7802105373430965,287,0.4978700357387241,0.37964616694099385,True,
rs_heavy_N2_cap0.33,completed,rs_heavy,2,0.33,0.13837252298232516,-0.20859927220114916,0.6914870989137544,285,0.3388818195073611,0.390226749218824,True,
future_heavy_N3_cap0.25,completed,future_heavy,3,0.25,0.14709167657351951,-0.22028879163220894,0.7183624467649756,426,0.24878435567830406,0.39319711505868943,True,
rs_heavy_N2_cap0.25,completed,rs_heavy,2,0.25,0.10635055657308912,-0.16014621877599267,0.6461854380149172,283,0.4990989762791391,0.3936494434269109,True,
rs_heavy_N2_cap0.4,completed,rs_heavy,2,0.4,0.1652596424999806,-0.2515678725683045,0.7153438107552728,285,0.19867145982799542,0.4063082300683239,True,
rs_heavy_N3_cap0.25,completed,rs_heavy,3,0.25,0.14124590985756202,-0.22893473601294578,0.670834353475726,432,0.24892105075215534,0.40768882615538377,True,
future_heavy_N3_cap0.4,completed,future_heavy,3,0.4,0.1943067513754051,-0.2889863739441533,0.7601103115745205,425,0.0005741820863485426,0.4146796225687482,True,
future_heavy_N3_cap0.5,completed,future_heavy,3,0.5,0.1943067513754051,-0.2889863739441533,0.7601103115745205,425,0.0005741820863485426,0.4146796225687482,True,
future_heavy_N3_cap0.33,completed,future_heavy,3,0.33,0.19182016668892166,-0.28750872319734866,0.7554354436554218,431,0.008793591342025878,0.415688556508427,True,
rs_heavy_N2_cap0.5,completed,rs_heavy,2,0.5,0.20151597492203033,-0.3108325824445688,0.7373702505779062,283,0.000306298811558852,0.4293166075225385,True,
rs_heavy_N3_cap0.4,completed,rs_heavy,3,0.4,0.18505524468852808,-0.29628017400867146,0.7099323394827208,431,0.0005227385548679641,0.4312249293201434,True,
rs_heavy_N3_cap0.5,completed,rs_heavy,3,0.5,0.18505524468852808,-0.29628017400867146,0.7099323394827208,431,0.0005227385548679641,0.4312249293201434,True,
rs_heavy_N3_cap0.33,completed,rs_heavy,3,0.33,0.18321752481185682,-0.2972929267848806,0.7067448524210871,431,0.00883865306327949,0.4340754019730238,True,
rs_heavy_N5_cap0.25,completed,rs_heavy,5,0.25,0.15919272444095323,-0.2734303980855991,0.6611576823472517,707,0.0007248609760828383,0.4342376736446459,True,
rs_heavy_N5_cap0.33,completed,rs_heavy,5,0.33,0.15919272444095323,-0.2734303980855991,0.6611576823472517,707,0.0007248609760828383,0.4342376736446459,True,
rs_heavy_N5_cap0.4,completed,rs_heavy,5,0.4,0.15919272444095323,-0.2734303980855991,0.6611576823472517,707,0.0007248609760828383,0.4342376736446459,True,
rs_heavy_N5_cap0.5,completed,rs_heavy,5,0.5,0.15919272444095323,-0.2734303980855991,0.6611576823472517,707,0.0007248609760828383,0.4342376736446459,True,
leader_onset_shadow_N7_cap0.25,completed,leader_onset_shadow,7,0.25,0.17710978051428405,-0.29180817593951214,0.7459367480673901,988,0.0008511991513511304,0.4346983954252281,True,
leader_onset_shadow_N7_cap0.33,completed,leader_onset_shadow,7,0.33,0.17710978051428405,-0.29180817593951214,0.7459367480673901,988,0.0008511991513511304,0.4346983954252281,True,
