date,leader_basket_level,available_tickers,target_tickers,available_weight
2019-05-31,100.78896371784975,2,2,0.66
2019-06-03,100.92468594893974,2,2,0.66
2019-06-04,103.50726192676058,2,2,0.66
2019-06-05,104.67535865016738,2,2,0.66
2019-06-06,104.94823172957886,2,2,0.66
2019-06-07,105.95992974825005,2,2,0.66
2019-06-10,106.87282302052108,2,2,0.66
2019-06-11,106.0603396033385,2,2,0.66
2019-06-12,107.33142721638772,2,2,0.66
2019-06-13,106.62054331863132,2,2,0.66
2019-06-14,105.98222568840293,2,2,0.66
2019-06-17,105.9008646445561,2,2,0.66
2019-06-18,107.16012949829911,2,2,0.66
2019-06-19,108.99564950721931,2,2,0.66
2019-06-20,108.1203647277986,2,2,0.66
2019-06-21,107.1855496160896,2,2,0.66
2019-06-24,106.81201644944305,2,2,0.66
2019-06-25,105.27073712171966,2,2,0.66
2019-06-26,106.45525122175536,2,2,0.66
2019-06-27,106.24059619764584,2,2,0.66
2019-06-28,107.42572741239339,2,2,0.66
2019-07-01,107.59684008325924,2,2,0.66
2019-07-02,108.95511705090702,2,2,0.66
2019-07-03,109.51524835763853,2,2,0.66
2019-07-05,109.18934782114505,2,2,0.66
2019-07-08,109.2544187337409,2,2,0.66
2019-07-09,109.81721148733305,2,2,0.66
2019-07-10,109.18111630747835,2,2,0.66
2019-07-11,109.94924639921325,2,2,0.66
2019-07-12,110.97695075388233,2,2,0.66
2019-07-15,110.98220049637425,2,2,0.66
2019-07-16,111.05019198766077,2,2,0.66
2019-07-17,110.71377141040672,2,2,0.66
2019-07-18,110.84169147918126,2,2,0.66
2019-07-19,110.10653548721847,2,2,0.66
2019-07-22,109.66118290666635,2,2,0.66
2019-07-23,110.51069681996567,2,2,0.66
2019-07-24,111.26945533576762,2,2,0.66
2019-07-25,111.83944052693732,2,2,0.66
2019-07-26,111.73236881534673,2,2,0.66
2019-07-29,111.60041650907385,2,2,0.66
2019-07-30,111.63317631250106,2,2,0.66
2019-07-31,110.17897508336274,2,2,0.66
2019-08-01,109.65902095801201,2,2,0.66
2019-08-02,109.35259815004686,2,2,0.66
2019-08-05,105.95194036771389,2,2,0.66
2019-08-06,108.2302476581675,2,2,0.66
2019-08-07,108.26470213875693,2,2,0.66
2019-08-08,110.44081775934303,2,2,0.66
2019-08-09,109.85450455351196,2,2,0.66
2019-08-12,108.6460668104497,2,2,0.66
2019-08-13,109.98376049180389,2,2,0.66
2019-08-14,106.25221076773433,2,2,0.66
2019-08-15,106.98780448793329,2,2,0.66
2019-08-16,108.38199362818833,2,2,0.66
2019-08-19,110.2271811173453,2,2,0.66
2019-08-20,112.65367170294923,2,2,0.66
2019-08-21,113.47256885430512,2,2,0.66
2019-08-22,112.9559577757263,2,2,0.66
2019-08-23,110.25063948907692,2,2,0.66
2019-08-26,111.47553506265005,2,2,0.66
2019-08-27,111.53680269271199,2,2,0.66
2019-08-28,112.71258506877156,2,2,0.66
2019-08-29,114.59628139624917,2,2,0.66
2019-08-30,115.12594158068968,2,2,0.66
2019-09-03,113.52384395890888,2,2,0.66
2019-09-04,113.91555401353067,2,2,0.66
2019-09-05,115.96508912950101,2,2,0.66
2019-09-06,116.71006558789038,2,2,0.66
2019-09-09,114.99065637396788,2,2,0.66
2019-09-10,114.70363636894166,2,2,0.66
2019-09-11,114.3339529159031,2,2,0.66
2019-09-12,114.72952075855603,2,2,0.66
2019-09-13,114.01572197450608,2,2,0.66
2019-09-16,112.64896002978419,2,2,0.66
2019-09-17,113.8463119141987,2,2,0.66
2019-09-18,113.42582721626236,2,2,0.66
2019-09-19,113.1578167245058,2,2,0.66
2019-09-20,112.73440547108073,2,2,0.66
2019-09-23,113.54142307574973,2,2,0.66
2019-09-24,113.37672033434181,2,2,0.66
2019-09-25,114.21626844649768,2,2,0.66
2019-09-26,114.05154160948344,2,2,0.66
2019-09-27,113.64103292641677,2,2,0.66
2019-09-30,114.93402881569537,2,2,0.66
2019-10-01,113.1399312718955,2,2,0.66
2019-10-02,111.25859986779956,2,2,0.66
2019-10-03,111.22063799957186,2,2,0.66
2019-10-04,112.25716688392555,2,2,0.66
2019-10-07,112.34072293533781,2,2,0.66
2019-10-08,112.17918891049015,2,2,0.66
2019-10-09,113.84973325788219,2,2,0.66
2019-10-10,114.53982234600781,2,2,0.66
2019-10-11,113.12736629381037,2,2,0.66
2019-10-14,113.22414569774487,2,2,0.66
2019-10-15,114.12604215002041,2,2,0.66
2019-10-16,114.8483102158612,2,2,0.66
2019-10-17,114.55143857585637,2,2,0.66
