ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
AMD,-10489.500625610352,-0.10464360708791495
PENN,-7414.319670200348,-0.07396549960618352
NOW,-7124.375743865967,-0.07107300935447558
STM,-6142.931900024414,-0.061282092928667896
PCTY,-5640.38981628418,-0.05626871638835283
FTNT,-5413.504051208496,-0.05400529645047192
PAYC,-5013.378479003906,-0.05001363043527799
QRVO,-4867.01993560791,-0.04855355273894829
SHOP,-4586.514999389648,-0.045755226166549
TSLA,-4527.591751098633,-0.04516740588200138
DXCM,-4006.8397216796875,-0.03997236631799166
SE,-2687.520206451416,-0.026810790957779274
RNG,-1944.3333129882812,-0.019396733792601383
PODD,-515.0000000000002,-0.005137657127232446
MA,-456.33316040039085,-0.004552394784317619
UI,-439.482421875,-0.004384291256387319
