sector,member_count,active_count_1d_gt_8pct,active_count_5d_gt_20pct,breadth_21d_positive,median_ret_5d,median_ret_21d,median_ret_63d,top_participation_score,top_bubble_climax_score,top_early_leadership_score,dollar_volume_20d_sum,top_tickers,leadership_state,leadership_score
Semiconductors,3,0,0,1.0,0.013116474221706254,0.43675597082437756,0.6205852384686241,2.0002871403385005,1.4928139312912532,2.9263616989495698,2013138928.8731813,"UMC,STM,NXPI",emerging_leader,2.115118823658327
Information Technology,94,0,6,0.7659574468085106,0.0072274967919749855,0.12827986790800783,0.17136274079154457,3.0411861005256933,2.386195166563959,3.793482558865044,229703730932.26068,"MU,AMD,AKAM,FLEX,FTNT,QCOM,PANW,SNDK",emerging_leader,1.880834373256735
Real Estate,45,0,0,0.7111111111111111,0.009904449054226383,0.03903458155622519,0.03158144495671267,0.7712670827481853,0.8480144251727172,0.9334193031167421,7812475780.309482,"DOC,PSA,CCI,WELL,KRC,VTR,EQIX,AMT",neutral,0.7474325921826902
Communication,11,0,0,0.7272727272727273,-0.0027803892403517327,0.04921924631264152,0.026607002365649723,0.8145525657404977,0.6783158842949149,0.5354629460356182,22705093676.493904,"GOOGL,GOOG,DIS,TTWO,LYV,VZ,TMUS,T",neutral,0.6444010947978718
Consumer Staples,39,0,0,0.5384615384615384,0.0,0.0098457780657355,-0.0556412227248233,1.2374954066326198,1.4485611682828732,1.2629229744129842,16317788652.013788,"SFM,PM,PRMB,MNST,COST,CASY,KO,WMT",neutral,0.49731568579900154
Industrials,151,1,2,0.4105960264900662,-0.007357268805551431,-0.016912958194569727,-0.0537210921983412,1.77773868331065,1.3964592555981823,2.2876866569383463,55790803141.4064,"RKLB,AAON,VRT,BE,FIX,PWR,URI,HWM",neutral,0.3747208732142246
Health Care,67,1,1,0.43283582089552236,-0.0033038252795544176,-0.02772994440699761,-0.07039756719022006,1.8084570167477696,2.3426836505373467,1.984058249454045,35765782668.32947,"UNH,DVA,CVS,ELV,NBIX,CI,JAZZ,HALO",neutral,0.3681974562792369
Materials,44,0,0,0.3181818181818182,0.0005379193953051198,-0.03063367639966358,-0.07950599396585223,0.8598608109508546,1.3239512573861858,0.7408247183858678,11738074309.900833,"TECK,FCX,CF,IFF,SCCO,NEM,ASH,LIN",neutral,0.15512559874803014
Financials,121,0,0,0.45454545454545453,-0.01333481886601573,-0.005973738520729244,-0.04422204822083964,0.8315793401221693,0.8922236094572593,0.905518016732902,36874126943.19936,"CBOE,BEN,APO,GS,CPAY,BLK,MS,IVZ",neutral,0.12113758409799297
Consumer Discretionary,71,1,1,0.2535211267605634,-0.028258017962699666,-0.047608005970660394,-0.06958831031660728,1.4321279524026336,1.6333343652121548,1.432584613714424,59047612999.26979,"TSLA,HRB,ARMK,TXRH,BWA,EBAY,AMZN,SBUX",neutral,-0.3057446904672727
Energy,38,0,0,0.5526315789473685,-0.03405406636295927,0.011395215086527632,0.11893917399097065,0.45703362736236325,0.2598725312457203,0.4117707828281254,17613569375.340256,"MPC,SLB,CNQ,PSX,XOM,WMB,FANG,TRGP",neutral,-0.3206100231535533
Utilities,37,0,0,0.24324324324324326,-0.019258344120684945,-0.025643688904897544,0.033985177781333364,0.2789625691435639,0.4222101281369018,0.21290714582537998,10456956448.625511,"AWK,EIX,NEE,EVRG,PEG,XEL,LNT,D",neutral,-0.3454793482961553
Internet,3,0,0,0.3333333333333333,-0.010542600961926718,-0.05029761449730241,-0.0920041441730508,-0.23018467112498323,-0.28011824567744076,-0.5118650551637782,1770753685.9236908,"NTES,PDD,MELI",neutral,-0.5301078614362033
Financial,6,0,0,0.3333333333333333,-0.01585464147061555,-0.04646043541312034,-0.10826192969957626,-0.3979269624605022,-0.19693136908365805,-0.29600880730440476,626159676.7639017,"MFC,SLF,IBN,SAN,HDB,CIB",neutral,-0.735422808492846
Pharma,1,0,0,0.0,-0.007854934547398273,-0.07856339183534888,-0.09281769446235588,-0.4649837124839245,0.010690035665592762,-0.41074047937758396,49595124.05736923,TAK,neutral,-1.0285549017375248
Software,1,0,0,0.0,-0.05630227761812945,-0.1392181518262947,-0.21796611920275677,-1.285490631374998,-1.4139164253009444,-1.0378506585860625,40092184.80995178,GIB,lagging,-2.525073447095619
