date,return,n_held
2022-06-30,0.0,0
2022-07-29,0.14344883454716692,5
2022-08-31,-0.04049315666512077,5
2022-09-30,0.18204059768813763,5
2022-10-31,0.009903082051520535,3
2022-11-30,0.0,3
2022-12-30,-0.02075217988209228,3
2023-01-31,0.07880280253915202,3
2023-02-28,0.06254262772501443,5
2023-03-31,0.0,5
2023-04-28,0.007753075729600161,5
2023-05-31,0.07059010382295124,5
2023-06-30,-0.020321377824394873,5
2023-07-31,-0.05784462110144571,5
2023-08-31,0.0,5
2023-09-29,0.013500578604521446,5
2023-10-31,0.08417369529383988,5
2023-11-30,0.0,5
2023-12-29,0.11567700020027429,5
2024-01-31,0.1292689963523455,5
2024-02-29,0.0,5
2024-03-28,-0.012402262684799478,4
2024-04-30,0.006668576960755507,5
2024-05-31,0.0,5
2024-06-28,-0.012180706846915166,5
2024-07-31,0.0,4
2024-08-30,0.16835872058654622,5
2024-09-30,0.007739620565160788,5
2024-10-31,0.0,5
2024-11-29,0.10708763094905911,3
2024-12-31,0.06201763163653593,3
2025-01-31,-0.008835318353987681,5
2025-02-28,-0.05167394014273109,5
2025-03-31,0.016586655672533257,5
2025-04-30,0.0,5
2025-05-30,0.12024492787012313,5
2025-06-30,0.02728661099863411,5
2025-07-31,0.0,3
2025-08-29,-0.08181161773211038,3
2025-09-30,0.031564327262810436,5
2025-10-31,0.0,5
2025-11-28,-0.036441128685058236,5
2025-12-31,0.0,5
2026-01-30,0.08558305185004156,5
2026-02-27,-0.03790492463763706,5
2026-03-31,0.0,5
2026-04-20,0.0,5
