feature,importance
mom_18m,7.495681536275109
mom_36m,6.746894003620562
ppi_yoy,4.566921126770612
mom_24m,3.3111775864799964
core_cpi_yoy,3.204758926463266
cpi_yoy,3.050246129029189
bench_dd_1y,2.500176655648381
ppi_cpi_gap,2.34342993015848
atr14_pct,1.7029985215666037
unrate_level,1.5143024992933192
assets,1.3700353419326827
val_residual_fcfy,1.3367181966301434
sahm_realtime,1.2833694092688601
px,0.935647908916094
dilution_penalty,0.8932694555940913
op_income_cagr_best,0.8717711147125855
ep_ttm,0.8365794191126892
gross_profit_ttm,0.8307999561758831
volume_dryup_20d,0.8206691248211608
dd_1y,0.8085839397700314
net_income,0.7894199523439711
cpi_3m_ann,0.7803934530574489
sage_composite_score,0.7644756501689569
op_income_cagr_1y,0.7268688958130088
sales_cagr_1y,0.7245450603736288
shares_yoy,0.7083672310115613
capital_efficiency_score,0.6988498739060016
open_px,0.6897123511918309
rs_benchmark_12m,0.6256910867679633
shares,0.6212626414291638
bench_ret_12m,0.618578502238304
labor_softening_score,0.6178508488529948
leader_safety_score,0.6098974303039932
fcf_ttm,0.5883246806098728
industry_group_strength_score,0.5809810785565087
val_residual_sp,0.5740447929421446
industry_group_mom_mean_12m,0.5732434829739619
quality_trend_score,0.5660212542896467
industry_mom_mean_6m,0.562769781573519
multidimensional_breadth_score,0.5607605925807213
