date,return,n
2022-06-30,0.0,0
2022-07-29,0.18700700748932617,5
2022-08-31,-0.041721843485910355,5
2022-09-30,0.13648229060121797,5
2022-10-31,0.020661775529924604,5
2022-11-30,0.0,5
2022-12-30,0.0742950319168767,5
2023-01-31,-0.042844037751344446,5
2023-02-28,-0.0037849670736810506,5
2023-03-31,0.0,5
2023-04-28,0.018650079885898736,5
2023-05-31,0.14144871417844418,5
2023-06-30,0.0776247312266282,5
2023-07-31,0.04667454868110891,5
2023-08-31,0.0,5
2023-09-29,-0.0823628282261284,5
2023-10-31,0.08882049897121064,5
2023-11-30,0.0,5
2023-12-29,0.07897762346187782,5
2024-01-31,0.2637297426875257,5
2024-02-29,0.0,5
2024-03-28,-0.08060992210303228,5
2024-04-30,0.011230449413153334,5
2024-05-31,0.0,5
2024-06-28,-0.009887682767584338,1
2024-07-31,0.0,3
2024-08-30,0.03562600573867333,5
2024-09-30,0.01705116423439608,5
2024-10-31,0.0,5
2024-11-29,0.0,0
2024-12-31,0.0,0
2025-01-31,0.0,0
2025-02-28,0.0,0
2025-03-31,0.0,0
2025-04-30,0.0,0
2025-05-30,0.032186400905598544,5
2025-06-30,0.027629463543221364,5
2025-07-31,0.0,5
2025-08-29,0.07157806682911648,5
2025-09-30,-0.018895840424924364,5
2025-10-31,0.0,5
2025-11-28,-0.01873654101046395,5
2025-12-31,0.0,5
2026-01-30,-0.044089053452523896,5
2026-02-27,-0.06879240758031971,5
2026-03-31,0.0,5
2026-04-20,0.0,5
