feature,importance
leader_safety_score,6.385352804273472
mktcap,3.3698505944209654
atr14_pct,2.967162991243446
vol_252d,2.9007941203240994
shares,2.4902507626928556
mom_36m,2.445224195809073
open_px,2.3968098363562715
liabilities,2.140608532995437
growth_blueprint_score,1.64145889002631
assets,1.5731147201589997
sales_cagr_best,1.50104344986418
cashflow_inflection_under_loss_score,1.3402047961689088
net_income_ttm,1.3131718808098085
dollar_vol_20d,1.2573472993912518
multi_year_winner_score,1.216980006568626
px,1.19038293416895
net_income,1.1160724093083665
m2_yoy_lag1m,1.097507552717576
ocf_cagr_2y,1.0779308162288561
actual_results_score,1.0766669446717028
dividend_yield_ttm,0.9999810593658265
ocf_cagr_best,0.9736667183551114
unrate_level,0.9556614562158164
dd_gap_benchmark,0.9141447489858064
sales_cagr_1y,0.8422020415216471
asset_turnover_ttm,0.8226058640372437
value_inflection_score,0.7972454930751941
sahm_realtime,0.7651601858667133
asset_growth_yoy,0.7622337842767983
fund_panel_raw_flow_4q_cov_mean,0.7426444243308157
archetype_cyclical_recovery_score,0.7357920813481943
roa_proxy,0.7289594593177464
sales_cagr_2y,0.7159920295966479
dd_1y,0.7030153592130038
fund_history_quarters_available,0.6565243869909403
rs_industry_6m,0.652085387184287
sector_leader_score,0.6458068996021457
industry_group_strength_score,0.6398745404581069
core_cpi_yoy,0.6153679215076588
rs_industry_12m,0.6046746092305612
