factor,current_weight,ic_1m_universe,ic_ir_1m_universe,stability_1m_universe_pct,ic_3m_universe,ic_ir_3m_universe,ic_1m_fw_subset,ic_ir_1m_fw_subset,n_months_universe,prune_candidate
revision_blueprint_score,0.95,0.0074,0.123,64.9,0.0361,0.597,0.0127,0.132,94,True
rs_industry_6m,0.25,0.0055,0.057,77.7,0.1242,1.498,0.0073,0.058,94,True
industry_group_strength_score,var,0.0077,0.056,89.4,0.1087,0.85,0.0049,0.034,94,True
leader_emergence_score,0.9,0.0044,0.042,81.9,0.2804,2.535,0.0166,0.153,94,True
industry_within_leader_rank,0.2,0.0028,0.034,78.7,0.1132,1.389,0.0036,0.04,94,True
uptrend_breakdown_penalty,-0.3,0.0036,0.028,87.2,-0.2507,-2.028,-0.008,-0.071,94,True
archetype_emerging_growth_score,0.7,0.0024,0.016,92.6,0.2795,2.137,0.0155,0.114,94,True
industry_rotation_signal,var,0.0018,0.014,86.2,0.0647,0.579,0.0185,0.133,94,True
oneil_leadership_score,0.55,0.0006,0.01,71.3,0.0584,0.912,0.0092,0.085,94,True
uptrend_continuation_score,0.3,0.0015,0.009,90.4,0.223,1.532,-0.0002,-0.001,94,True
anticipatory_growth_score,0.95,0.0006,0.004,92.6,0.2791,2.247,0.0178,0.134,94,True
future_winner_scout_score,1.1,-0.0008,-0.006,88.3,0.2709,2.217,0.0198,0.173,94,True
value_inflection_score,0.45,-0.001,-0.013,74.5,0.0815,0.96,0.0075,0.068,94,True
dynamic_leader_score,0.95,-0.0043,-0.029,90.4,0.2435,1.714,-0.0002,-0.002,94,True
rs_industry_3m,var,-0.0052,-0.057,87.2,0.1727,2.197,0.0084,0.078,94,True
cashflow_inflection_under_loss_score,0.35,-0.0075,-0.149,64.9,-0.0093,-0.196,-0.0055,-0.064,94,True
fundamental_turnaround_acceleration_score,0.5,-0.0092,-0.189,70.2,-0.0133,-0.265,-0.0073,-0.084,94,True
revision_score,0.65,,,,,,,,0,False
target_upside_pct,0.6,,,,,,,,0,False
revenue_growth_final,0.55,,,,,,,,0,False
earnings_growth_final,0.45,,,,,,,,0,False
