ticker,rebalance_date,p_entry_blend,label,month
WING,2022-06-30,0.841643883665147,1,2022-06
AXON,2022-06-30,0.6838734362986783,1,2022-06
XPO,2022-06-30,0.5911328796844872,1,2022-06
MP,2022-06-30,0.5131760488176,0,2022-06
FTNT,2022-06-30,0.5053937567642913,0,2022-06
APLS,2022-06-30,0.5002954635467916,0,2022-06
TSCO,2022-06-30,0.49743226527486706,0,2022-06
LAD,2022-06-30,0.49167036475818887,0,2022-06
OLED,2022-06-30,0.48733095553533085,0,2022-06
TNL,2022-06-30,0.48388407003921763,0,2022-06
WING,2022-07-29,0.17055083641802712,1,2022-07
AXON,2022-07-29,0.13811935825306615,1,2022-07
LRCX,2022-07-29,0.11321863354325261,0,2022-07
XPO,2022-07-29,0.09676286982563624,1,2022-07
FTNT,2022-07-29,0.07826181061184113,0,2022-07
MEDP,2022-07-29,0.05973533644315852,0,2022-07
GXO,2022-07-29,0.04325860845817078,0,2022-07
SAIA,2022-07-29,0.04104590549754103,0,2022-07
LPX,2022-07-29,0.03826755603850065,0,2022-07
ONTO,2022-07-29,0.03822209686223501,0,2022-07
WING,2022-08-31,0.6213957978266029,1,2022-08
APLS,2022-08-31,0.4486267139046228,0,2022-08
TSCO,2022-08-31,0.3485383884500531,0,2022-08
LPX,2022-08-31,0.2775968320602956,0,2022-08
RBC,2022-08-31,0.22111078241806068,0,2022-08
XPO,2022-08-31,0.21758051028125103,1,2022-08
AXON,2022-08-31,0.19076893109965737,1,2022-08
AN,2022-08-31,0.17119625751896564,0,2022-08
INSM,2022-08-31,0.17055731615984182,0,2022-08
TECH,2022-08-31,0.13590675108203384,0,2022-08
WING,2022-09-30,0.7192162657559484,1,2022-09
MP,2022-09-30,0.5092812982900838,0,2022-09
LPX,2022-09-30,0.5019437503631309,0,2022-09
WMS,2022-09-30,0.5008990824921785,0,2022-09
TSCO,2022-09-30,0.4994527986717756,0,2022-09
AN,2022-09-30,0.4896956471925358,0,2022-09
MPWR,2022-09-30,0.4755894874096588,0,2022-09
FND,2022-09-30,0.40329426650881284,0,2022-09
OLED,2022-09-30,0.38050669236622336,0,2022-09
SNX,2022-09-30,0.36650658507131395,0,2022-09
TSCO,2022-10-31,0.4731679167988009,0,2022-10
ONTO,2022-10-31,0.47031978419732157,0,2022-10
MEDP,2022-10-31,0.4111814319197341,0,2022-10
