feature,importance
ppi_yoy,8.306859338175489
ppi_cpi_gap,7.143935880190337
atr14_pct,4.522070620008989
m2_yoy_lag1m,3.5185196710883404
systemic_crisis_score,3.346208665801766
vol_252d,3.123769939186094
bench_dd_1y,2.832916212133717
market_sector_participation,2.4720430553668913
cpi_yoy,2.115833026768341
unrate_level,1.9105998651584444
dividend_yield_ttm,1.7198642703528926
mktcap,1.7005346038968163
core_cpi_yoy,1.6171020195634926
fund_panel_raw_flow_4q_cov_mean,1.5724943527547128
market_near_high_ratio,1.5626468564540592
shares,1.5365417859459887
mom_24m,1.36348366908467
dd_gap_benchmark,1.3286794720264103
macro_energy_oil_interaction,1.1511630688901662
industry_mom_mean_12m,1.1477581717979985
liabilities,1.1190575893817087
book_to_market_proxy,1.0643961863602547
mom_36m,1.0563027401791598
industry_group_mom_mean_12m,1.045453195134116
px,1.0018410001505784
dd_1y,0.9676347865923706
open_px,0.9493507347933575
debt_to_equity,0.9456750478971097
fund_history_quarters_available,0.9250422256645119
sahm_realtime,0.9058749480888552
defensive_rotation_score,0.8792745171156537
assets,0.8698407957811725
market_trend_template_ratio,0.7517622803487606
ocf_cagr_2y,0.7195800027310074
market_breadth_above_ma150,0.7019986383277667
revenues_ttm,0.6936800839370116
labor_softening_score,0.677023831556898
forward_ps_final,0.6635359352420802
dollar_vol_20d,0.6345166337531555
sector_leader_score,0.6286209429056692
