ticker,entry_date,entry_price,surge_start_date,surge_start_price,peak_date,peak_price,decline_start_date,max_return,months_to_peak,mcap,revenues_ttm,match_date,quality_pass
PR,2020-03-31,0.22993002831935883,2020-04-30,1.0316250324249268,2023-01-31,9.546941757202148,2023-05-31,41.521074158882925,34,3009041229.8851013,429902000.0,2019-01-31,True
CVNA,2022-05-31,29.440000534057617,2023-07-31,45.95000076293945,2024-11-30,260.4200134277344,2024-12-31,8.845788339115956,30,12399534533.203125,4205737000.0,2022-01-31,True
CZR,2020-03-31,14.399999618530273,2020-04-30,21.440000534057617,2021-09-30,112.27999877929688,2021-11-30,7.797222344007024,18,3903848014.121727,592124000.0,2020-02-28,True
DKS,2020-03-31,17.830368041992188,2020-04-30,24.648849487304688,2021-08-31,121.3607177734375,2021-09-30,6.806405649486407,17,2782438393.294853,2664122000.0,2019-03-29,True
COHR,2023-03-31,38.08000183105469,2023-06-30,50.97999954223633,2026-02-28,258.92999267578125,,6.799631833647151,35,3604357415.0657654,3316616000.0,2022-08-31,True
FANG,2020-03-31,20.47557258605957,2020-04-30,34.02696228027344,2022-10-31,135.8946075439453,2022-12-31,6.636913667384654,31,4727793918.469666,1104000000.0,2020-02-28,True
BLDR,2018-12-31,10.90999984741211,2019-01-31,13.220000267028809,2021-11-30,69.44000244140625,2022-04-30,6.36480324588434,35,2244240011.2552643,1778939000.0,2018-05-31,True
OXY,2020-03-31,10.837845802307129,2020-04-30,15.536120414733887,2022-10-31,68.61383056640625,2022-12-31,6.330947295061159,31,26624432379.32057,18674000000.0,2020-02-28,True
NVDA,2018-11-30,4.05153751373291,2019-10-31,4.999190807342529,2021-10-31,25.513065338134766,2022-04-30,6.29713170658221,35,3054513573.6465454,2911000000.0,2018-10-31,True
MOS,2020-03-31,9.576127052307129,2020-07-31,11.968827247619629,2022-03-31,59.9991569519043,2022-06-30,6.265492993584394,24,8813168957.172375,9587300000.0,2019-04-30,True
LITE,2022-12-31,52.16999816894531,2024-09-30,63.380001068115234,2025-11-30,325.1600036621094,,6.2327010748423595,35,3072240020.751953,1767000000.0,2023-09-29,True
ON,2020-03-31,12.4399995803833,2020-04-30,16.049999237060547,2023-02-28,77.41000366210938,2023-10-31,6.22266931456956,35,7722146612.673908,5517900000.0,2020-02-28,True
MPC,2020-03-31,19.688526153564453,2020-04-30,26.740388870239258,2023-01-31,119.79142761230469,2023-05-31,6.084326814407964,34,25673003044.9712,123949000000.0,2020-02-28,True
OLN,2020-03-31,10.013533592224121,2020-10-31,14.715106010437012,2022-05-31,60.59039306640625,2022-06-30,6.050850332539647,26,2191070514.318308,1387100000.0,2020-02-28,True
AMD,2017-08-31,13.0,2018-07-31,18.329999923706055,2020-07-31,77.43000030517578,2022-09-30,5.956153869628906,35,17725109926.223755,5329000000.0,2018-07-31,True
STLD,2020-03-31,20.235368728637695,2020-07-31,24.851842880249023,2023-02-28,120.26976776123047,2023-03-31,5.943542189622724,35,5319263098.370064,10451132000.0,2020-02-28,True
BBWI,2019-08-31,11.586758613586426,2020-01-31,16.56651496887207,2021-11-30,67.75365447998047,2022-01-31,5.847507205383026,27,5749700088.500977,4489000000.0,2018-07-31,True
M,2020-03-31,4.081721305847168,2020-05-31,5.287116527557373,2021-11-30,23.86198616027832,2022-03-31,5.846059633247235,20,5361332759.292603,8869000000.0,2019-04-30,True
NRG,2022-12-31,29.336257934570312,2023-06-30,35.25544357299805,2025-10-31,170.8865203857422,2026-01-31,5.825096055770862,34,8107216224.156624,31488000000.0,2023-06-30,True
AXON,2022-04-30,112.19999694824219,2022-10-31,145.44000244140625,2025-01-31,652.1799926757812,2025-02-28,5.812656064301246,33,10311238909.728027,863381000.0,2022-10-31,True
META,2022-09-30,134.62353515625,2023-02-28,173.57785034179688,2025-07-31,771.6278076171875,2025-10-31,5.731745245893315,34,344770873535.15625,119411000000.0,2022-09-30,True
FICO,2021-11-30,353.1300048828125,2021-12-31,433.6700134277344,2024-10-31,1993.1099853515625,2025-05-31,5.644125273390414,35,11955414930.175781,1316536000.0,2021-12-31,True
PLTR,2022-01-31,13.710000038146973,2023-07-31,19.84000015258789,2024-12-31,75.62999725341797,,5.516411162872617,35,36258256957.07703,1092673000.0,2021-12-31,True
TTD,2019-09-30,18.7549991607666,2019-11-30,26.333999633789062,2021-11-30,103.41999816894531,2021-12-31,5.514263012353986,26,12875113764.953613,605582000.0,2019-11-29,True
WDC,2022-11-30,27.65839195251465,2023-08-31,33.86741638183594,2025-10-31,150.01751708984375,,5.423942120257807,35,10002519341.049042,18793000000.0,2022-08-31,True
ZG,2018-12-31,31.43000030517578,2019-02-28,41.43000030517578,2021-02-28,169.82000732421875,2021-03-31,5.403118220659176,26,8447753761.176643,1007176000.0,2019-02-28,True
WING,2022-05-31,78.45411682128906,2022-07-31,124.26988983154297,2024-06-30,419.65692138671875,2024-07-31,5.349074572372753,25,3695393582.1984406,282502000.0,2022-07-29,True
RH,2018-09-30,131.00999450683594,2019-09-30,170.8300018310547,2021-08-31,700.6699829101562,2021-11-30,5.348217787106282,35,3190427605.736847,670891000.0,2019-09-30,True
XPO,2022-06-30,28.61556625366211,2022-07-31,35.49613952636719,2024-11-30,152.41000366210938,2024-12-31,5.326122233999285,29,4082056045.5322266,3361000000.0,2022-07-29,True
LNG,2020-03-31,32.01490783691406,2020-04-30,44.620182037353516,2022-10-31,170.3704833984375,2022-12-31,5.321598433652078,31,11249085130.95266,9157000000.0,2020-04-30,True
ENTG,2018-12-31,27.01362419128418,2019-02-28,34.27994918823242,2021-11-30,143.59820556640625,2022-01-31,5.315769722329133,35,4661283999.449245,401642000.0,2019-02-28,True
CORT,2022-04-30,21.510000228881836,2022-07-31,28.65999984741211,2025-03-31,114.22000122070312,2025-04-30,5.310088331256177,35,2510969876.718521,326586000.0,2022-04-29,True
EPAM,2018-10-31,119.47000122070312,2019-02-28,161.77999877929688,2021-08-31,632.8099975585938,2022-01-31,5.296810840317739,34,8764826824.185425,504931000.0,2019-02-28,True
AVGO,2022-06-30,45.58588409423828,2023-01-31,55.81645965576172,2025-05-31,240.1243896484375,,5.267516346771641,35,23052197837.82959,27450000000.0,2023-01-31,True
NTNX,2022-06-30,14.630000114440918,2022-09-30,20.829999923706055,2025-02-28,76.88999938964844,2025-04-30,5.255639014913759,32,5719407163.42926,1394364000.0,2022-02-28,True
LRCX,2018-12-31,12.403459548950195,2019-01-31,15.446707725524902,2021-11-30,64.74091339111328,2022-01-31,5.219585159738182,35,2423464868.473053,11076998000.0,2019-01-31,True
LAD,2018-12-31,72.45237731933594,2019-03-31,88.3309097290039,2021-03-31,377.4493103027344,2021-06-30,5.209619397844127,27,2262063189.6972656,10086510000.0,2019-02-28,True
SFM,2021-12-31,29.68000030517578,2023-06-30,36.72999954223633,2024-11-30,154.47999572753906,2024-12-31,5.204851554553383,35,3859322279.7815094,6404223000.0,2023-06-30,True
ANET,2022-12-31,30.337499618530273,2023-03-31,41.96500015258789,2025-10-31,157.69000244140625,2025-11-30,5.197857582998981,34,12857882336.312225,4381310000.0,2023-03-31,True
SAIA,2018-11-30,60.310001373291016,2019-07-31,76.30000305175781,2021-10-31,312.6400146484375,2022-03-31,5.1838833946187535,35,2076261513.5647964,1281712000.0,2018-06-29,True
CRWD,2022-12-31,105.29000091552734,2023-03-31,137.25999450683594,2025-10-31,543.010009765625,2025-12-31,5.157279941532854,34,39171612102.20337,1059429000.0,2022-07-29,True
NET,2022-11-30,49.13999938964844,2023-02-28,60.0099983215332,2025-10-31,253.3000030517578,2025-11-30,5.154660280787805,35,23921766950.50049,431059000.0,2022-04-29,True
PWR,2020-03-31,31.295570373535156,2020-06-30,38.80535125732422,2023-02-28,160.69044494628906,,5.134606688049873,35,5359465822.514259,3112800000.0,2020-02-28,True
ALB,2020-03-31,52.40503692626953,2020-05-31,71.13773345947266,2023-01-31,268.5072937011719,2023-03-31,5.123692481677747,34,7563292683.677673,992564000.0,2020-05-29,True
VRT,2021-12-31,24.865921020507812,2023-08-31,39.25577926635742,2024-11-30,127.34999084472656,2024-12-31,5.121466875877893,35,4112847293.272316,4998100000.0,2022-05-31,True
XYZ,2020-03-31,52.380001068115234,2020-04-30,65.13999938964844,2021-08-31,268.07000732421875,2021-09-30,5.117793086250973,17,21075842523.482666,3205500000.0,2020-04-30,True
VST,2021-05-31,14.640142440795898,2021-10-31,18.03270721435547,2024-04-30,74.8292007446289,,5.111234473792516,35,8813892685.283478,11547000000.0,2021-10-29,True
Z,2018-12-31,31.579999923706055,2019-02-28,41.79999923706055,2021-02-28,161.3300018310547,2021-03-31,5.108613116555127,26,8523198121.433392,1007176000.0,2019-02-28,True
W,2018-04-30,62.29999923706055,2018-05-31,92.3499984741211,2021-03-31,314.75,2021-07-31,5.05216699605935,35,5300795992.466103,5164339000.0,2018-05-31,True
HUBS,2018-10-31,135.64999389648438,2019-02-28,168.3800048828125,2021-08-31,684.469970703125,2022-01-31,5.045853309993141,34,6617334191.894531,512980000.0,2019-02-28,True
BLD,2018-11-30,50.95000076293945,2019-03-31,64.81999969482422,2021-10-31,256.9700012207031,2022-02-28,5.043572077973758,35,2306743884.259735,1392317000.0,2019-03-29,True
NTRA,2022-04-30,35.119998931884766,2022-07-31,47.0,2025-01-31,176.9199981689453,2025-02-28,5.037585522484828,33,6277211543.5,625486000.0,2022-02-28,True
FIX,2021-09-30,69.94500732421875,2021-10-31,89.70654296875,2024-08-31,351.81341552734375,,5.029857440668634,35,3172736696.7020035,2615277000.0,2021-06-30,True
EME,2022-06-30,101.75294494628906,2022-10-31,139.7983856201172,2024-11-30,508.81134033203125,2024-12-31,5.0004581253211935,29,3412242985.80822,2403940000.0,2020-04-30,True
