feature,winner_mean,winner_median,winner_n,loser_mean,loser_median,loser_n,delta_mean,delta_pct,t_stat,abs_t
near_52w_high_pct,-0.26744412170594983,-0.27444477824302715,54,-0.18051818109506224,-0.1731980988285879,270,-0.0869259406108876,-0.4815356552097749,-4.242810426132068,4.242810426132068
sales_cagr_3y,0.46549436386738513,0.3242078553393426,43,0.27972701569098846,0.14876739296293384,151,0.18576734817639667,0.6641022774203974,2.804662751486711,2.804662751486711
rs_benchmark_12m,-0.09609532657932342,-0.1375978483262879,54,0.02203471119404118,-0.01643207718548928,270,-0.1181300377733646,-5.361088544936789,-2.6183149443586546,2.6183149443586546
rs_industry_group_12m,-0.12835660592373882,-0.10085716539994483,54,-0.034813389609798975,-0.042258868121970015,270,-0.09354321631393984,-2.686989614122783,-2.456112946084665,2.456112946084665
op_margin_ttm,0.10764156471133396,0.08762176165877839,52,0.22739368651269778,0.1709803611648951,159,-0.11975212180136383,-0.5266290530659777,-2.421672624109976,2.421672624109976
mom_12m,-0.039486706859865925,-0.1228812203832022,54,0.0709251297839402,0.03576391133382839,270,-0.11041183664380612,-1.556737886559455,-2.272793468665694,2.272793468665694
any_profitability_turn_positive_4q,0.018518518518518517,0.0,54,0.0,0.0,270,0.018518518518518517,,2.250087349806893,2.250087349806893
sales_cagr_5y,0.29702747181718153,0.24918209925052515,37,0.18886600728030378,0.1286345298561472,144,0.10816146453687775,0.572688892482123,2.1795022339936336,2.1795022339936336
rs_industry_12m,-0.08224169072663147,0.0,54,-0.018181506526046373,0.0,270,-0.0640601842005851,-3.523370525364005,-1.9360990765617656,1.9360990765617656
cashflow_inflection_under_loss_score,-0.01653105852320404,0.0,54,-0.048480372705336824,0.0,270,0.03194931418213279,0.6590154406675124,1.6474232911015283,1.6474232911015283
roe_proxy,0.008576467068014597,0.04429877654244217,44,-0.9962940590232845,0.0935980000560992,132,1.0048705260912991,1.008608369176087,1.5241565776918344,1.5241565776918344
fund_history_quarters_available,46.03703703703704,26.0,54,38.5,22.5,270,7.537037037037038,0.19576719576719578,1.3221196550613956,1.3221196550613956
mktcap,15235911993.423521,5734553625.965118,54,36067257093.25999,9932427509.889008,270,-20831345099.836464,-0.5775694294127315,-1.3043304551161126,1.3043304551161126
net_income_ttm,992341370.3703704,115137500.0,54,2080054974.402174,362887500.0,184,-1087713604.0318036,-0.5229254117884178,-1.2492286947024274,1.2492286947024274
sales_cagr_1y,2.0452595685265242,0.17675979724665924,51,0.8731598954865727,0.09101586238788628,159,1.1720996730399516,1.3423654465792811,1.1603282830513018,1.1603282830513018
industry_group_strength_score,-0.3144710098413529,-0.41783071418192963,54,-0.14028892074081,-0.3594544887474189,270,-0.1741820891005429,-1.2415954744020878,-1.0577356345652713,1.0577356345652713
op_income_cagr_1y,0.3074467911757149,0.20650106354800823,37,0.5491514848682555,0.17485445540534283,135,-0.2417046936925406,-0.4401421107884774,-0.9961273510335995,0.9961273510335995
mom_6m,-0.02027386416626285,0.023983082177641113,54,0.009353919232351737,-0.008812339079648734,270,-0.029627783398614587,-3.167419202866652,-0.9044065530491306,0.9044065530491306
revenues_ttm,9211997333.333334,2639699500.0,54,13502932859.649122,2417900000.0,171,-4290935526.3157883,-0.31777803910574204,-0.823946085409375,0.823946085409375
breakout_volume_z,0.035210521692943336,0.0,54,0.08888961654329806,0.0,270,-0.05367909485035473,-0.603884873597218,-0.6878384736979233,0.6878384736979233
uptrend_continuation_score,-0.012511306181470429,-0.00036179601394087813,54,0.0034505381556662685,-0.04277204447893246,270,-0.015961844337136696,-4.625899966045907,-0.6361155490101577,0.6361155490101577
value_inflection_score,0.0392721392664919,0.00012711601785682456,54,0.01731698235362326,-0.025783340718261532,270,0.021955156912868642,1.2678396538456325,0.615405122268714,0.615405122268714
op_income_cagr_3y,0.3669982702625415,0.24397484170273231,36,0.32690698279537644,0.1665966429058232,118,0.04009128746716506,0.12263821079728886,0.4937867004833172,0.4937867004833172
op_income_ttm,1358644019.2307692,236781500.0,52,1822291106.25,398900000.0,160,-463647087.01923084,-0.25443085653496195,-0.49004907324791513,0.49004907324791513
ocf_ttm,2254494754.716981,360000000.0,53,2819380880.952381,833000000.0,168,-564886126.2354002,-0.20035821695881786,-0.4792792106854262,0.4792792106854262
fundamental_turnaround_acceleration_score,-0.023851745868377728,0.0,54,-0.03629564826221033,0.0,270,0.012443902393832602,0.34284833002387033,0.4483598679870291,0.4483598679870291
oneil_leadership_score,0.00801921145472662,0.015385319194654844,54,-0.005712852678840969,-0.016090653422496666,270,0.013732064133567588,2.403714029669949,0.3180351003001686,0.3180351003001686
mom_3m,0.013694550949307807,-0.05733792719483377,54,0.02199903848322607,0.0011757867075246065,270,-0.008304487533918261,-0.3774932045439307,-0.2863981999090166,0.2863981999090166
gp_to_assets_ttm,0.25111582418750844,0.21158666675026358,46,0.23659467198533968,0.23215890588160087,151,0.014521152202168763,0.0613756517858887,0.279727338677746,0.279727338677746
fcfy_ttm,0.09163873186914834,0.0535380051846253,50,0.08715049435298676,0.061280214590411886,123,0.004488237516161578,0.05149985148658839,0.21950234370444546,0.21950234370444546
forward_pe_final,40.32463997262593,22.677092066229854,38,41.64000462038677,19.913196678684184,147,-1.3153646477608376,-0.03158896498097026,-0.06789041364197847,0.06789041364197847
