row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,SNDK,43.0,2288.22998046875,98393.88916015625,0.12119520204002447
equity,WDC,119.0,759.655029296875,90398.94848632812,0.11134755338487835
equity,STM,1072.0,80.0999984741211,85867.19836425781,0.10576563791911972
equity,CIEN,171.0,438.4700012207031,74978.37020874023,0.09235348662038388
equity,MRVL,226.0,307.739990234375,69549.23779296875,0.08566623392971662
equity,LITE,60.0,841.1900024414062,50471.400146484375,0.06216739261154316
equity,ON,350.0,130.89999389648438,45814.99786376953,0.05643193871038993
equity,PWR,60.0,712.3900146484375,42743.40087890625,0.05264854504292242
equity,FIX,16.0,2011.8599853515625,32189.759765625,0.039649255372604456
equity,MU,22.0,1187.760009765625,26130.72021484375,0.03218612398514435
equity,COHR,49.0,415.0899963378906,20339.40982055664,0.025052763983796425
equity,TER,24.0,442.989990234375,10631.759765625,0.013095511152512705
equity,KEYS,24.0,371.95001220703125,8926.80029296875,0.010995452810248274
cash,CASH,0.0,1.0,155427.0152081945,0.19144490243671525
