ticker,target_weight,Name,sector,portfolio_sleeve_label
CASH,0.1918865593758804,Cash,Cash,
SNDK,0.12,SANDISK CORP,Information Technology,future_winner
WDC,0.1105003290937229,WESTERN DIGITAL CORP,Information Technology,future_winner
STM,0.1056136514089967,STMicroelectronics,Semiconductors,early_scout
CIEN,0.0927700346951081,CIENA CORP,Information Technology,future_winner
MRVL,0.0854176755752068,MARVELL TECHNOLOGY INC,Information Technology,future_winner
LITE,0.0630722737811363,LUMENTUM HOLDINGS INC,Information Technology,future_winner
ON,0.0565105887188765,ON SEMICONDUCTOR CORP,Information Technology,future_winner
PWR,0.0528285408637678,QUANTA SERVICES INC,Industrials,future_winner
FIX,0.0397040791547243,COMFORT SYSTEMS USA INC,Industrials,future_winner
MU,0.0315455551257625,MICRON TECHNOLOGY INC,Information Technology,future_winner
COHR,0.0253330290843892,COHERENT CORP,Information Technology,future_winner
TER,0.0135350772086049,TERADYNE INC,Information Technology,unassigned
KEYS,0.0112826059138231,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner
