portfolio,metric_source,official_source_pass,cagr,cagr_target,cagr_pass,cagr_gap_pp,max_dd,max_dd_target,max_dd_pass,max_dd_improvement_needed_pp,sharpe,avg_turnover_monthly,target_pass
main,broker_ledger_next_close,True,0.3468284481361432,0.3,True,0.0,-0.2604829700344844,-0.25,False,1.0483,1.2685115650456134,0.0,False
concentrated,broker_ledger_next_close,True,0.44658773212723735,0.5,False,5.3412,-0.2585896333829607,-0.28,True,0.0,1.3944201681854855,0.0,False
