rebalance_date,ticker,Name,sector,weight,target_weight,leader_selection_score,leader_tier,leader_state,warning_streak,exit_streak,market_leader_tape_score,sector_leadership_score,future_winner_confirmation_score,smart_money_confirmation_score,smart_money_confirmation_boost,smart_money_evidence_confidence,leader_chase_risk_score,chase_risk_weight_scale,effective_single_weight_cap,liquidity_capacity_score,liquidity_capacity_weight_cap,risk_mode,market_regime,gross_exposure_cap,risk_overlay_reason,benchmark_risk_score,selection_reason,residual_cash_reason,was_prev_holding,holding_months,portfolio_kind,variant_id,target_n,target_stock_names,weighting_mode,active_rebalance_interval_months,single_cap,subindustry_cap,theme_cap,rs_spy_1w,rs_qqq_1w,rs_smh_1w,rs_soxx_1w,rs_spy_1m,rs_spy_3m,rs_spy_6m,rs_qqq_1m,rs_qqq_3m,rs_qqq_6m,rs_smh_1m,rs_smh_3m,rs_smh_6m,rs_soxx_1m,rs_soxx_3m,rs_soxx_6m,rs_benchmark_1w,rs_benchmark_1m,rs_benchmark_3m,rs_benchmark_6m,rs_semis_1w,rs_semis_1m,rs_semis_3m,rs_semis_6m,rs_price_coverage_flag
2019-05-31,SHOP,Shopify,Software,0.11822476431333839,0.11822476431333839,1.8457622190991323,DUAL_LEADER,HOLD,0.0,0.0,2.4887612129653833,1.969138343397547,0.5942238251893067,0.1400084550546261,1.7310612486979344,1.0,0.16156085339352116,1.0,0.35,0.8099676088268886,1.0,benchmark_guard,risk_off,0.35,"spy_1m_down_gt_6pct,qqq_1m_down_gt_8pct,both_below_ma50,spy_below_ma200",4.0,"DUAL_LEADER,confirmed_by_evidence,strict_dual_benchmark,benchmark_risk_gross_cap",position_caps_or_liquidity_caps_left_cash,0.0,1.0,concentrated,concentrated_N5_cap35_sub70_risk,5,5,market_leader_score_power,1,0.35,0.7,1.0,0.02311366982002061,0.020186738868336218,0.008624836685817261,-0.0034438758929655755,0.1925850737796322,0.46122944243632247,0.7918562047837694,0.21106556361834083,0.4471277543356067,0.7688791764443019,0.2838242666202352,0.5027000902435287,0.7659403490858716,0.12881365941347367,0.45334382450659017,0.8007336657970567,0.021650204344178414,0.2018253186989865,0.4541785983859646,0.7803676906140357,0.0025904803964258427,0.20631896301685443,0.4780219573750594,0.7833370074414642,True
2019-05-31,HEI,HEICO CORP,Industrials,0.08606443268730286,0.08606443268730286,1.636748507170576,DUAL_LEADER,HOLD,0.0,0.0,3.0908214922027235,0.5723599669517667,0.5942238251893067,0.0255346426416754,0.0,1.0,0.21533130394063046,1.0,0.35,-0.18991896896760738,1.0,benchmark_guard,risk_off,0.35,"spy_1m_down_gt_6pct,qqq_1m_down_gt_8pct,both_below_ma50,spy_below_ma200",4.0,"DUAL_LEADER,confirmed_by_evidence,strict_dual_benchmark,benchmark_risk_gross_cap",position_caps_or_liquidity_caps_left_cash,0.0,1.0,concentrated,concentrated_N5_cap35_sub70_risk,5,5,market_leader_score_power,1,0.35,0.7,1.0,0.1944566387309129,0.1915297077792285,0.17996780559670955,0.16789909301792671,0.21595560316724427,0.3051222606581171,0.43101760857237537,0.23443609300595292,0.2910205725574013,0.4080405802329079,0.30719479600784727,0.3465929084653233,0.4051017528744776,0.15218418880108575,0.2972366427283848,0.4398950695856627,0.1929931732550707,0.2251958480865986,0.2980714166077592,0.41952909440264163,0.17393344930731813,0.2296894924044665,0.32191477559685405,0.42249841123007015,True
2019-05-31,PAYC,PAYCOM SOFTWARE INC,Industrials,0.06160140923078316,0.06160140923078316,1.4473744632471237,DUAL_LEADER,HOLD,0.0,0.0,1.2858540880063694,1.969138343397547,0.5942238251893067,0.08295207459591734,0.6447983640886243,1.0,0.11163005107977655,1.0,0.35,0.34863651729972367,1.0,benchmark_guard,risk_off,0.35,"spy_1m_down_gt_6pct,qqq_1m_down_gt_8pct,both_below_ma50,spy_below_ma200",4.0,"DUAL_LEADER,confirmed_by_evidence,strict_dual_benchmark,benchmark_risk_gross_cap",position_caps_or_liquidity_caps_left_cash,0.0,1.0,concentrated,concentrated_N5_cap35_sub70_risk,5,5,market_leader_score_power,1,0.35,0.7,1.0,0.045142965268265445,0.04221603431658105,0.030654132134062095,0.01858541955527926,0.11102368057182455,0.1750017398251945,0.5886221287123099,0.1295041704105332,0.16090005172447874,0.5656451003728424,0.20226287341242755,0.21647238763240073,0.5627062730144121,0.04725226620566603,0.1671161218954622,0.5974995897255972,0.04367949979242325,0.12026392549117887,0.16795089577483663,0.5771336145425762,0.024619775844670677,0.12475756980904679,0.19179425476393147,0.5801029313700047,True
2019-05-31,MELI,MercadoLibre,Internet,0.04779038004595698,0.04779038004595698,1.3394098156069247,DUAL_LEADER,HOLD,0.0,0.0,1.6819399206539503,1.1066955078273182,0.5942238251893067,0.13541043783049658,1.6435223019016016,1.0,0.17675917849247355,1.0,0.35,1.035770370163564,1.0,benchmark_guard,risk_off,0.35,"spy_1m_down_gt_6pct,qqq_1m_down_gt_8pct,both_below_ma50,spy_below_ma200",4.0,"DUAL_LEADER,confirmed_by_evidence,strict_dual_benchmark,benchmark_risk_gross_cap",position_caps_or_liquidity_caps_left_cash,0.0,1.0,concentrated,concentrated_N5_cap35_sub70_risk,5,5,market_leader_score_power,1,0.35,0.7,1.0,-0.010620698680828267,-0.013547629632512659,-0.025109531815031616,-0.03717824439381445,0.24219088449720738,0.25141753646624554,0.6120561911518723,0.26067137433591603,0.23731584836552977,0.5890791628124048,0.3334300773378104,0.29288818427345176,0.5861403354539745,0.17841947013104886,0.24353191853651324,0.6209336521651596,-0.012084164156670463,0.2514311294165617,0.24436669241588765,0.6005676769821385,-0.031143888104423034,0.2559247737344296,0.2682100514049825,0.603536993809567,True
2019-05-31,ROKU,ROKU INC CLASS A,Communication,0.034999999999999996,0.034999999999999996,1.4190244817703344,DUAL_LEADER,HOLD,0.0,0.0,2.996250208778188,0.05076879893735641,0.3338260891326207,0.18446579550109662,2.5774584173790074,1.0,0.18136165519663583,1.0,0.1,0.915886450144467,0.1,benchmark_guard,risk_off,0.35,"spy_1m_down_gt_6pct,qqq_1m_down_gt_8pct,both_below_ma50,spy_below_ma200",4.0,"DUAL_LEADER,confirmed_by_evidence,strict_dual_benchmark,benchmark_risk_gross_cap",position_caps_or_liquidity_caps_left_cash,0.0,1.0,concentrated,concentrated_N5_cap35_sub70_risk,5,5,market_leader_score_power,1,0.35,0.7,1.0,-0.029612816805131392,-0.032539747756815784,-0.04410164993933474,-0.05617036251811758,0.4853786058893361,0.37159055498463867,1.2095274844070538,0.5038590957280448,0.3574888668839229,1.1865504560675864,0.5766177987299391,0.4130612027918449,1.183611628709156,0.4216071915231776,0.36370493705490636,1.2184049454203412,-0.03107628228097359,0.49461885080869045,0.3645397109342808,1.1980389702373202,-0.05013600622872616,0.49911249512655836,0.3883830699233756,1.2010082870647487,True
2019-05-31,CASH,Cash,Cash,0.6513190137226186,0.6513190137226186,0.0,CASH,CASH,,,,,,,,,,,,,,benchmark_guard,cash,0.0,"spy_1m_down_gt_6pct,qqq_1m_down_gt_8pct,both_below_ma50,spy_below_ma200",4.0,residual_cash_from_caps,position_caps_or_liquidity_caps_left_cash,,,concentrated,concentrated_N5_cap35_sub70_risk,5,5,market_leader_score_power,1,0.35,0.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28,HEI,HEICO CORP,Industrials,0.3489571164314689,0.3489571164314689,1.9050239281821182,DUAL_LEADER,HOLD,0.0,0.0,3.372535656877151,1.4201936050344743,0.6696448873756704,0.02231962590963838,0.0,1.0,0.17885279947725635,1.0,0.35,-0.02804069082142814,1.0,benchmark_guard,risk_on,1.0,risk_on,0.0,"DUAL_LEADER,previous_holding_priority,confirmed_by_evidence,strict_dual_benchmark",position_caps_or_liquidity_caps_left_cash,1.0,2.0,concentrated,concentrated_N5_cap35_sub70_risk,5,5,market_leader_score_power,1,0.35,0.7,1.0,0.0471466364682781,0.05126055926335649,0.015467399313831676,0.043745495297121684,0.225806240516623,0.37042715096593803,0.5527826485210099,0.2223200906322631,0.3696931586078882,0.5207254208045446,0.15875062908673754,0.3662418370499978,0.4777892953430185,0.27676174410502763,0.4192858585366932,0.74641324825592,0.049203597865817295,0.22406316557444306,0.3700601547869131,0.5367540346627773,0.02960644730547668,0.21775618659588258,0.3927638477933455,0.6121012717994693,True
2019-06-28,SHOP,Shopify,Software,0.2388467913234176,0.2388467913234176,1.457972699504206,DUAL_LEADER,HOLD,0.0,0.0,1.3151409354446524,2.0413360016446895,0.6696448873756704,0.1400084550546261,1.7426660838586323,1.0,0.1263545120617754,1.0,0.35,0.8546364069311405,1.0,benchmark_guard,risk_on,1.0,risk_on,0.0,"DUAL_LEADER,previous_holding_priority,confirmed_by_evidence,strict_dual_benchmark",position_caps_or_liquidity_caps_left_cash,1.0,2.0,concentrated,concentrated_N5_cap35_sub70_risk,5,5,market_leader_score_power,1,0.35,0.7,1.0,-0.07828776418175587,-0.07417384138667749,-0.1099670013362023,-0.08168890535291229,0.0117856838639252,0.4264423689914121,1.0553578630636802,0.008299533979565288,0.42570837663336225,1.023300635347215,-0.055269927565960275,0.42225705507547184,0.9803645098856888,0.06274118745232982,0.47530107656216725,1.2489884627985903,-0.07623080278421668,0.010042608921745244,0.42607537281238717,1.0393292492054476,-0.09582795334455729,0.0037356299431847706,0.44877906581881954,1.1146764863421397,True
2019-06-28,PAYC,PAYCOM SOFTWARE INC,Industrials,0.18629043613201718,0.18629043613201718,1.2916287758694096,DUAL_LEADER,HOLD,0.0,0.0,0.8202351067379527,2.0413360016446895,0.6696448873756704,0.08295207459591734,0.6689153248742437,1.0,0.0936236370635499,1.0,0.35,0.30997641159603084,1.0,benchmark_guard,risk_on,1.0,risk_on,0.0,"DUAL_LEADER,previous_holding_priority,confirmed_by_evidence,strict_dual_benchmark",position_caps_or_liquidity_caps_left_cash,1.0,2.0,concentrated,concentrated_N5_cap35_sub70_risk,5,5,market_leader_score_power,1,0.35,0.7,1.0,-0.0033019403782934553,0.0008119824167849288,-0.03498117753273988,-0.006703081549449874,0.03804962573024295,0.16556095414389316,0.6763793485920171,0.03456347584588304,0.16482696178584333,0.6443221208755519,-0.029005985699642522,0.16137564022795292,0.6013859954140257,0.08900512931864757,0.21441966171464832,0.8700099483269272,-0.0012449789807542633,0.036306550788063,0.16519395796486824,0.6603507347337845,-0.020842129541094878,0.029999571809502523,0.18789765097130062,0.7356979718704765,True
2019-06-28,MELI,MercadoLibre,Internet,0.13729037321929272,0.13729037321929272,1.0594524980920137,DUAL_LEADER,SHAKEOUT_GUARD,0.0,0.0,0.2615609536003059,2.005928980220257,0.6696448873756704,0.13541043783049658,1.656135454951926,1.0,0.09936580093773399,1.0,0.35,0.9496568759299047,1.0,benchmark_guard,risk_on,1.0,risk_on,0.0,"DUAL_LEADER,previous_holding_priority,confirmed_by_evidence,strict_dual_benchmark",position_caps_or_liquidity_caps_left_cash,1.0,2.0,concentrated,concentrated_N5_cap35_sub70_risk,5,5,market_leader_score_power,1,0.35,0.7,1.0,-0.026536231621866024,-0.02242230882678764,-0.05821546877631245,-0.029937372793022443,-0.03232351097628228,0.18169550552782043,0.900826681244862,-0.03580966086064219,0.1809615131697706,0.8687694535283967,-0.09937912240616775,0.1775101916118802,0.8258333280668706,0.01863199261212234,0.2305542130985756,1.0944572809797721,-0.024479270224326832,-0.03406658591846223,0.18132850934879552,0.8847980673866294,-0.04407642078466745,-0.04037356489702271,0.2040322023552279,0.9601453045233214,True
