row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,SNDK,50.0,2090.7099609375,104535.498046875,0.1237610178690821
equity,WDC,162.0,586.4500122070312,95004.90197753906,0.1124776137386385
equity,STM,1272.0,71.41999816894531,90846.23767089844,0.1075541137105918
equity,CIEN,165.0,479.5,79117.5,0.09366829942175625
equity,MRVL,274.0,266.7699890136719,73094.9769897461,0.08653815136855841
equity,LITE,66.0,816.97998046875,53920.6787109375,0.06383743518842748
equity,ON,533.0,90.6500015258789,48316.45081329346,0.05720251248808582
equity,PWR,65.0,687.8699951171875,44711.54968261719,0.05293462032144743
equity,FIX,15.0,1854.22998046875,27813.44970703125,0.032928726705345364
equity,MU,24.0,1132.3299560546875,27175.9189453125,0.03217394524385767
equity,COHR,56.0,380.55999755859375,21311.35986328125,0.02523081286388759
equity,TER,27.0,436.8599853515625,11795.219604492188,0.013964523166921901
equity,KEYS,25.0,328.6600036621094,8216.500091552734,0.009727627778613444
cash,CASH,0.0,1.0,158795.85273765682,0.18800060013478626
