ticker,shares,price,price_date,market_value_usd,cost_basis,current_weight
CIEN,120.0,479.5,2026-06-26,57540.0,382.20197637990333,0.06808858427532255
COHR,53.0,380.55999755859375,2026-06-26,20169.67987060547,278.2324529683815,0.023867308788251607
FIX,12.0,1854.22998046875,2026-06-26,22250.759765625,1866.2886962890625,0.026329904961621728
KEYS,20.0,328.6600036621094,2026-06-26,6573.2000732421875,313.2699890136719,0.0077782392621742625
LITE,46.0,816.97998046875,2026-06-26,37581.0791015625,299.7337845685832,0.04447067208140948
MRVL,360.0,266.7699890136719,2026-06-26,96037.19604492188,164.9499969482422,0.11364332145412473
MU,40.0,1132.3299560546875,2026-06-26,45293.1982421875,462.66108231514124,0.05359662401133255
ON,382.0,90.6500015258789,2026-06-26,34628.30058288574,103.02999877929688,0.04097657216803992
PWR,49.0,687.8699951171875,2026-06-26,33705.62976074219,742.2100219726562,0.03988475169477085
SNDK,70.0,2090.7099609375,2026-06-26,146349.697265625,757.0034415108817,0.17317941772572906
STM,1330.0,71.41999816894531,2026-06-26,94988.59756469727,55.68721008300781,0.11240248749528309
TER,28.0,436.8599853515625,2026-06-26,12232.07958984375,217.88799723302543,0.014474539138260847
WDC,178.0,586.4500122070312,2026-06-26,104388.10217285156,334.6171685076273,0.12352516670380927
