ticker,position_pnl_usd,avg_weight,max_weight,days_held,sector,industry_group,primary_lane
DDOG,-50254.1217956543,0.10736822807963353,0.226699110946492,37,Information Technology,Software - Application,MARKET_LEADER
NVDA,-33907.08911705017,0.05544832459775352,0.0793015474896909,42,Information Technology,Semiconductors,MARKET_LEADER
BLD,-26355.749618530273,0.13432580715675688,0.2170271936019644,41,Consumer Discretionary,Construction & Engineering,MARKET_LEADER
ORLY,-17125.836952209473,0.05871015286007721,0.1018242015588093,41,Consumer Discretionary,Auto Manufacturers & Parts,QUALITY_COMPOUNDER
STLD,-15076.066314697266,0.01898713028884009,0.0312632471617214,42,Materials,Metals & Mining,MARKET_LEADER
MA,-14435.4150390625,0.04598424063985847,0.1070876633043355,123,Financials,Consumer Finance,QUALITY_COMPOUNDER
MLI,-13176.679466247555,0.07316160929910895,0.1063237396437468,42,Industrials,Other,MARKET_LEADER
XPO,-12570.140594482422,0.18277993208120405,0.2304508411667666,33,Industrials,Transportation & Logistics,MARKET_LEADER
NET,-7376.638137817383,0.2690224686944235,0.2828032944550891,15,Information Technology,Software - Infrastructure,MARKET_LEADER
TMUS,-5543.502395629883,0.023363667358290645,0.0402867239699895,42,Communication,Communication Equipment,MARKET_LEADER
WCC,-5502.012756347654,0.05001032944979167,0.0688051806097179,65,Industrials,Capital Goods - Machinery,QUALITY_COMPOUNDER
BILL,-4572.750091552734,0.0935797376950324,0.0993472469215364,15,Information Technology,Software - Application,MARKET_LEADER
ON,-4280.219421386722,0.11390025242354068,0.1197840519889384,13,Information Technology,Semiconductors,MARKET_LEADER
LOPE,-3890.860008239748,0.07635937366054495,0.0911596250771275,42,Consumer Discretionary,Other,MARKET_LEADER
RKLB,-3282.4798278808594,0.06422773264313703,0.0760536370562676,22,Industrials,Aerospace & Defense,MARKET_LEADER
FANG,-3156.8092041015625,0.027995256222410867,0.0393619969767554,43,Energy,Oil Gas & Consumable Fuels,QUALITY_COMPOUNDER
DXCM,-3147.625,0.10372731351979224,0.1062870967238159,15,Health Care,Medical Devices,MARKET_LEADER
ONTO,-2797.599365234375,0.11720033310674312,0.120309301468073,13,Information Technology,Semiconductors,MARKET_LEADER
CTAS,-2252.2096633911133,0.017328908662263283,0.0230480111980044,44,Industrials,Commercial Services,QUALITY_COMPOUNDER
JBL,-2128.9620971679688,0.12491572631927975,0.2918843911648118,123,Information Technology,Tech Hardware & Storage,MARKET_LEADER
TSLA,-2050.819580078125,0.07111737568119683,0.077174526651026,37,Consumer Discretionary,Auto Manufacturers & Parts,MARKET_LEADER
MSI,-1000.8114013671875,0.11210380908645144,0.1146305229044876,22,Information Technology,Communication Equipment,QUALITY_COMPOUNDER
TXRH,-898.6360168456995,0.11261636440432912,0.1171678101336418,22,Consumer Discretionary,Hotels Restaurants & Leisure,QUALITY_COMPOUNDER
BRKR,-844.7125854492183,0.019179058787482477,0.0216412247669927,23,Health Care,Medical Devices,QUALITY_COMPOUNDER
DAL,-679.3223876953125,0.0976090669830131,0.102494726053838,20,Industrials,Transportation & Logistics,MARKET_LEADER
RGLD,-559.2503509521484,0.0184206475834754,0.0202978335195811,21,Materials,Metals & Mining,MARKET_LEADER
PLNT,-428.7300567626953,0.03911568786285077,0.0409775840798074,19,Consumer Discretionary,Specialty Retail,QUALITY_COMPOUNDER
CHE,-427.31091308594114,0.060564279177132564,0.061683863868901,22,Health Care,Diagnostics & Research,QUALITY_COMPOUNDER
CW,-116.11129760742142,0.015261674415055933,0.0160376172437836,21,Industrials,Aerospace & Defense,QUALITY_COMPOUNDER
LOW,-103.35446166992188,0.012244493109122682,0.0129065979753184,21,Consumer Discretionary,Specialty Retail,QUALITY_COMPOUNDER
