rebalance_date,ticker,Name,sector,original_weight,defended_weight,cash_after_defense,list_action,reason,period_forward_return,risk_adjusted_return,hard_stop,risk_exit_proxy,target_n,weighting_mode,active_rebalance_interval_months,raw_score,concentrated_score,portfolio_sleeve_label
2019-05-31,PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,0.37184434792245274,0.37184434792245274,,hold,hold,0.00561987224325744,0.00561987224325744,-0.08,False,3,score_power,1,2.9011295352710826,0.60579147615731,early_scout
2019-05-31,ELS,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,0.3287338361816975,0.3287338361816975,,hold,hold,0.008720640150757353,0.008720640150757353,-0.08,False,3,score_power,1,2.93590091458278,0.5891441679126115,early_scout
2019-05-31,TSCO,TRACTOR SUPPLY,Consumer Discretionary,0.2994218158958497,0.2994218158958497,,hold,hold,0.09155015655940768,0.09155015655940768,-0.08,False,3,score_power,1,1.6907305054056008,0.5771929073961553,early_scout
2019-06-28,VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,0.4157660720846513,0.4157660720846513,,hold,hold,-0.000603736551590961,-0.000603736551590961,-0.08,False,3,score_power,1,2.747765454112423,0.6317255446128056,early_scout
2019-06-28,WRB,WR BERKLEY CORP,Financials,0.30004662771526863,0.30004662771526863,,hold,hold,0.041729517829291796,0.041729517829291796,-0.08,False,3,score_power,1,2.607424708974275,0.5862202233015188,early_scout
2019-06-28,TSCO,TRACTOR SUPPLY,Consumer Discretionary,0.2841873002000801,0.2841873002000801,,hold,hold,-0.008096107754910209,-0.008096107754910209,-0.08,False,3,score_power,1,1.5647597776653641,0.5793391834581508,early_scout
2019-07-31,WRB,WR BERKLEY CORP,Financials,0.3627833307548813,0.3627833307548813,,hold,hold,0.027331986563121413,0.027331986563121413,-0.08,False,3,score_power,1,2.1300338588446364,0.5790848641464319,early_scout
2019-07-31,TER,TERADYNE INC,Information Technology,0.3236409264964053,0.3236409264964053,,hold,hold,-0.06365725133971945,-0.06365725133971945,-0.08,False,3,score_power,1,1.6149929522059256,0.5641644215018253,early_scout
2019-07-31,CTAS,CINTAS CORP,Industrials,0.31357574274871336,0.31357574274871336,,hold,hold,0.0058603434112989294,0.0058603434112989294,-0.08,False,3,score_power,1,2.103513711362913,0.560183849624547,early_scout
2019-08-30,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.3845909879212191,0.3845909879212191,,hold,hold,0.010446992196711191,0.010446992196711191,-0.08,False,3,score_power,1,4.3842495074506775,0.6832252912562913,early_scout
2019-08-30,AEP,AMERICAN ELECTRIC POWER INC,Utilities,0.3432211226874277,0.3432211226874277,,hold,hold,0.023240276356129463,0.023240276356129463,-0.08,False,3,score_power,1,3.711206748696353,0.6667876048935313,early_scout
2019-08-30,DUK,DUKE ENERGY CORP,Utilities,0.2721878893913532,0.2721878893913532,,hold,hold,0.033189117918095645,0.033189117918095645,-0.08,False,3,score_power,1,3.347701296541449,0.6360551564342678,early_scout
2019-09-30,AEP,AMERICAN ELECTRIC POWER INC,Utilities,0.39420798605483465,0.39420798605483465,,hold,hold,0.01478478173684672,0.01478478173684672,-0.08,False,3,score_power,1,4.097007749409062,0.7344113084442532,early_scout
2019-09-30,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.31891433533038466,0.31891433533038466,,hold,hold,0.02358107733321435,0.02358107733321435,-0.08,False,3,score_power,1,4.367768435854268,0.7049426276063266,early_scout
2019-09-30,DUK,DUKE ENERGY CORP,Utilities,0.2868776786147806,0.2868776786147806,,hold,hold,-0.013288673419354469,-0.013288673419354469,-0.08,False,3,score_power,1,3.615139485332402,0.6913527973730262,early_scout
2019-10-31,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.49532087569521516,0.49532087569521516,,hold,hold,-0.06197298821084252,-0.06197298821084252,-0.08,False,3,score_power,1,5.342670331582324,0.7583352108277444,early_scout
2019-10-31,LRCX,LAM RESEARCH CORP,Information Technology,0.26894446514990294,0.26894446514990294,,hold,hold,-0.026805962958493024,-0.026805962958493024,-0.08,False,3,score_power,1,3.890094452124027,0.662978765616298,early_scout
2019-10-31,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.23573465915488198,0.23573465915488198,,hold,hold,0.012444891189600238,0.012444891189600238,-0.08,False,3,score_power,1,3.7101795028798645,0.6459490493895315,early_scout
2019-11-29,CPRT,COPART INC,Industrials,0.5,0.5,,hold,hold,0.030672093046264504,0.030672093046264504,-0.08,False,3,score_power,1,3.6542247107389274,0.7357746330622504,early_scout
2019-11-29,PANW,PALO ALTO NETWORKS INC,Information Technology,0.26487976964495735,0.26487976964495735,,hold,hold,0.023521154445121706,0.023521154445121706,-0.08,False,3,score_power,1,3.3307362599457147,0.6232115225520487,early_scout
2019-11-29,JKHY,JACK HENRY AND ASSOCIATES INC,Financials,0.2351202303550426,0.2351202303550426,,hold,hold,-0.0372050948227608,-0.0372050948227608,-0.08,False,3,score_power,1,2.737793744715675,0.6066500851166845,early_scout
2019-12-31,CPRT,COPART INC,Industrials,0.4899714058822563,0.4899714058822563,,hold,hold,0.1181618735455423,0.1181618735455423,-0.08,False,3,score_power,1,3.8707732387322724,0.7344205761108306,early_scout
2019-12-31,LRCX,LAM RESEARCH CORP,Information Technology,0.301667934256343,0.301667934256343,,hold,hold,0.01426715868656725,0.01426715868656725,-0.08,False,3,score_power,1,2.179606635902914,0.6518641982517448,early_scout
2019-12-31,MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,0.2083606598614008,0.2083606598614008,,hold,hold,-0.07252641972757035,-0.07252641972757035,-0.08,False,3,score_power,1,1.0115473500152832,0.6010511148592941,early_scout
2020-01-31,CPRT,COPART INC,Industrials,0.4461695530785471,0.4461695530785471,,hold,hold,-0.08,-0.08,-0.08,False,3,score_power,1,2.900185186611656,0.6870346439545447,early_scout
2020-01-31,LRCX,LAM RESEARCH CORP,Information Technology,0.2968623782265411,0.2968623782265411,,hold,hold,-0.011200090717197186,-0.011200090717197186,-0.08,False,3,score_power,1,3.284785652482921,0.6263207166483371,early_scout
2020-01-31,JD,JD.com,Internet,0.25696806869491184,0.25696806869491184,,hold,hold,0.08894734585134656,0.08894734585134656,-0.08,False,3,score_power,1,1.8747484518943143,0.6076143172039912,early_scout
2020-02-28,LRCX,LAM RESEARCH CORP,Information Technology,0.3690032521025462,0.3690032521025462,,hold,hold,-0.08,-0.08,-0.08,False,3,score_power,1,4.276478987514869,0.6761995032378132,early_scout
2020-02-28,TT,TRANE TECHNOLOGIES PLC,Industrials,0.3183348680090507,0.3183348680090507,,hold,hold,-0.08,-0.08,-0.08,False,3,score_power,1,3.7928736589813288,0.6568649122655178,early_scout
2020-02-28,NVDA,NVIDIA CORP,Information Technology,0.31266187988840316,0.31266187988840316,,hold,hold,-0.07674241886484567,-0.07674241886484567,-0.08,False,3,score_power,1,3.0801391026751177,0.6546070874332396,early_scout
2020-03-31,JD,JD.com,Internet,0.5,0.5,,hold,hold,0.051866691635186424,0.051866691635186424,-0.08,False,3,score_power,1,3.740092752693632,0.7051794304088206,early_scout
2020-03-31,NOW,SERVICENOW INC,Information Technology,0.25799342822091853,0.25799342822091853,,hold,hold,0.24672913229571813,0.24672913229571813,-0.08,False,3,score_power,1,7.3023194861959695,0.5926855870260954,future_winner
