signal,ic_all,n_all,ic_deep_bear,n_deep_bear,ic_bear,n_bear,ic_neutral,n_neutral,ic_bull,n_bull,ic_strong_bull,n_strong_bull
rs_acceleration_score,0.01979374038263133,887,0.19047619047619052,8,-0.078576136994824,138,0.01334825662758607,369,0.07695944335804347,202,,7
h1_oversold_value_score,,887,,8,,138,,369,,202,,7
h6_dynamic_leader_score,0.009305852939176794,887,-0.24743582965269675,8,-0.06801927911640944,138,0.04662991370229599,369,0.08650259357898703,202,,7
stage2_overext_penalty,,887,,8,,138,,369,,202,,7
theme_phase_multiplier_primary,-0.06008778549731877,887,-0.23145502494313785,8,-0.00886469764366612,138,-0.019099882461636547,369,-0.013733384836416423,202,,7
theme_phase_multiplier_max,-0.03929379371709907,887,0.16060401860990525,8,0.010224443061848483,138,-0.006434416011936256,369,0.032935872548925584,202,,7
explosion_entry_score,,887,,8,,138,,369,,202,,7
explosion_exit_score,,887,,8,,138,,369,,202,,7
explosion_net_score,,887,,8,,138,,369,,202,,7
portfolio_monster_early_score,0.06278331973164322,887,,8,,138,,369,,202,,7
entry_quality_score,-0.024292090436883917,887,-0.19641144645609454,8,-0.004851371827672883,138,-0.009547157356505988,369,0.050259344026808365,202,,7
breakout_setup_quality_score,,887,,8,,138,,369,,202,,7
selection_confirmation_score,-0.012370966840684002,887,-0.5773502691896257,8,-0.019873073741533215,138,0.10247286699062783,369,0.05246448357728379,202,,7
portfolio_risk_entry_block_score,0.05902335722051721,887,,8,,138,,369,,202,,7
portfolio_hold_policy_exit_risk,,887,,8,,138,,369,,202,,7
broken_momentum_penalty,,887,,8,,138,,369,,202,,7
relative_strength_composite,,887,,8,,138,,369,,202,,7
