ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
AMD,-10391.040618896484,-0.10250502983847237
PENN,-7349.159673213959,-0.0724976312979226
NOW,-7092.551746368406,-0.06996625795786868
STM,-6091.173843383789,-0.060087914143259855
PCTY,-5490.659820556641,-0.05416399274924888
FTNT,-5348.75205039978,-0.052764107911171435
PAYC,-5013.379196166992,-0.04945573816352277
QRVO,-4940.039932250977,-0.04873226457586576
TSLA,-4490.511753082275,-0.044297780955897446
SHOP,-4477.873001098633,-0.04417310281280094
DXCM,-4077.289726257324,-0.04022144849381686
SE,-2543.1602058410635,-0.025087642551380802
RNG,-1944.3337860107422,-0.019180368940964348
PODD,-463.5,-0.004572312155505515
MA,-456.33251953125,-0.004501606744347772
UI,-429.02293395996094,-0.0042322044788258234
