feature,importance_gain,importance_split,importance_gain_pct
systemic_crisis_score,103.3556478023529,5,17.823405463872835
m2_yoy_lag1m,56.83041954040527,4,9.800254090493793
bench_dd_1y,54.452598571777344,1,9.390205214157596
bench_ret_12m,50.34440040588379,2,8.681757410930798
cpi_3m_ann,38.58180046081543,2,6.653328461105098
cpi_yoy,37.459919929504395,2,6.459863159336399
uso_ret_1m,32.665199279785156,1,5.633026387055007
dxy_ret_1m,24.788719415664673,3,4.274748467741792
war_oil_rate_shock_score,21.257200241088867,1,3.665747416611297
defensive_rotation_score,19.81800079345703,1,3.4175613150875828
smh_rel_spy_1m,15.418999671936035,1,2.6589653187194466
inflation_reacceleration_score,15.014520168304443,2,2.58921390843524
market_regime_score,14.358499526977539,1,2.476084900667818
vol_252d,12.969690084457397,3,2.236588420964769
cper_ret_1m,12.954520225524902,2,2.233972419301264
growth_liquidity_reentry_score,10.876899719238281,1,1.8756923110442267
macro_beta_vix_interaction,9.975120067596436,2,1.7201828182198131
fear_greed_delta_1w,9.200349807739258,1,1.5865757558443574
dgs10_change_1m,8.621259689331055,1,1.486713211319949
market_overheat_ratio,8.429829597473145,1,1.453701603171601
bench_ret_3m,7.931280136108398,1,1.3677280798795628
core_cpi_yoy,5.9364399909973145,1,1.023723223851595
dividend_policy_score,3.3809900283813477,1,0.5830427018404295
vix_change_1m,2.917530059814453,1,0.5031202678788335
macro_risk_off_score,2.347369909286499,1,0.4047976724688983
fund_panel_raw_flow_4q_cov_mean,0.0,0,0.0
open_px,0.0,0,0.0
sage_q_score,0.0,0,0.0
sage_c_score,0.0,0,0.0
mom_3m,0.0,0,0.0
mom_1m,0.0,0,0.0
mom_12m,0.0,0,0.0
mom_18m,0.0,0,0.0
mom_24m,0.0,0,0.0
mom_6m,0.0,0,0.0
multi_year_winner_score,0.0,0,0.0
fund_effective_age_days,0.0,0,0.0
fund_join_gap_days,0.0,0,0.0
shares,0.0,0,0.0
assets,0.0,0,0.0
liabilities,0.0,0,0.0
book_to_market_proxy,0.0,0,0.0
px,0.0,0,0.0
capital_efficiency_score,0.0,0,0.0
dividend_yield_ttm,0.0,0,0.0
garp_score,0.0,0,0.0
fundamental_presence_score,0.0,0,0.0
fundamental_reliability_score,0.0,0,0.0
sales_growth_yoy,0.0,0,0.0
asset_growth_yoy,0.0,0,0.0
fund_history_quarters_available,0.0,0,0.0
earn_gap_1d,0.0,0,0.0
rs_sector_6m,0.0,0,0.0
debt_to_equity,0.0,0,0.0
dilution_penalty,0.0,0,0.0
sage_composite_score,0.0,0,0.0
sage_g_score,0.0,0,0.0
sage_v_score,0.0,0,0.0
mktcap,0.0,0,0.0
dd_1y,0.0,0,0.0
obv_trend,0.0,0,0.0
bb_pb,0.0,0,0.0
macd_hist,0.0,0,0.0
post_breakout_hold_score,0.0,0,0.0
rsi14,0.0,0,0.0
atr14_pct,0.0,0,0.0
volatility_contraction_score,0.0,0,0.0
