decile,n,avg_predicted,avg_actual,median_actual,hit_positive,alpha_vs_avg
0,1442,0.0014381717225844049,0.04906257665302346,0.04275087167195024,0.6158113730929264,0.022758381809999492
1,1229,0.011126769772099475,0.0160825820360686,0.008359558549317692,0.5191212367778681,-0.010221612806955365
2,1384,0.015083375240104073,-0.0014702550269185804,-0.008954116250885824,0.47109826589595377,-0.027774449869942548
3,1615,0.018539186523834263,0.05056676708940557,0.05097152648046088,0.6445820433436532,0.024262572246381606
4,1064,0.019560656838795796,-0.024636685394549503,-0.032765854292877594,0.41729323308270677,-0.05094088023757347
5,1393,0.021881614107547954,0.00453112990116495,0.011072466441802042,0.5262024407753051,-0.021773064941859016
6,1453,0.024814627638794457,0.010633514332106634,-0.005518587736548675,0.48726772195457674,-0.015670680510917332
7,1103,0.029232194170814067,0.06132538137777153,0.05050764473876179,0.658204895738894,0.03502118653474756
8,1400,0.040076609559548955,0.04031798412175066,0.037528094177043836,0.5992857142857143,0.014013789278726693
9,1269,0.05466774195364585,0.048410862370943476,0.025401115697973653,0.5878644602048857,0.02210666752791951
