ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
AMD,17022.100440979004,0.1341868709075244,6298.319828033447,0.068184592862218,-10723.780612945557
NOW,14451.887741088867,0.1139256345835539,7065.263996124268,0.076487406513657,-7386.6237449646
PENN,8050.699668884277,0.063464447347703,673.4799971580505,0.0072909856375787,-7377.219671726227
CZR,7361.699676513672,0.0580329934943968,0.0,0.0,-7361.699676513672
UI,5677.072357177734,0.0447529127305202,0.0,0.0,-5677.072357177734
PCTY,6737.849807739258,0.0531151243925685,1097.459991455078,0.0118809245549701,-5640.38981628418
FTNT,6627.520042419434,0.0522453841376827,1254.9279918670654,0.013585647685912,-5372.592050552368
PAYC,6326.19873046875,0.0498700389722252,1312.8209686279297,0.0142123876987725,-5013.37776184082
QRVO,6254.399871826172,0.049304041596673,1314.3599395751953,0.0142290483496018,-4940.039932250977
SHOP,7496.297882080078,0.0590940442206188,2964.103881835937,0.0320889097255335,-4532.194000244141
TSLA,7645.166397094727,0.0602675891821075,3202.817310333252,0.0346731827344061,-4442.349086761475
DXCM,7948.279800415039,0.0626570615778739,4014.360076904297,0.0434588136073626,-3933.919723510742
SE,7168.000106811523,0.0565060409749596,4531.679901123047,0.0490592344429179,-2636.3202056884766
RNG,7686.964553833008,0.060597088110977,5578.555603027344,0.0603925416519265,-2108.408950805664
