portfolio_kind,ticker,current_weight,watchlist_source,target_weight,forward_pe_final,valuation_blueprint_score,fcf_margin,sales_growth_yoy,eps_growth_yoy,market_cap_live,dollar_vol_20d,score,rs_benchmark_3m,rs_benchmark_6m,price_available,price_latest_date,close,ret_1m,ret_3m,ret_6m,spy_excess_3m,qqq_excess_3m,price_to_ma50,price_to_ma200,drawdown_from_63d_high,decision_cadence,weekly_review_action,weekly_review_reason,full_universe_rerank_today
concentrated,BE,0.2363735933991877,current_holding,,12268.852,-3.399016559992946,,0.3886654169505354,2.095853821982949,93556433665.54456,3074314874.353714,2.6168784305428145,0.83784864504305,2.6512675157262047,True,2026-06-18,328.9100036621094,0.25855210940179396,0.9731837473439693,2.7542518133854115,0.8354020694728523,0.7227135193797607,1.258647450202012,2.1347236589815908,0.0,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,SNDK,0.1642109589433157,current_holding,,65.0616,-1.206279785766084,,,,323539098790.5,19185045877.41394,4.289830164866275,1.6943219635958453,9.334883102288597,True,2026-06-18,2184.75,0.5793867795655314,1.8296570658967646,9.437867399947804,1.6918753880256476,1.579186837932556,1.5606964651507003,3.5625190637922484,0.0,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,WDC,0.143548288257306,current_holding,,29.8004,-0.6250309258312232,,0.0,,257212139884.05716,4740219712.762299,7.376536966061519,1.2198365791559231,3.174606333734392,True,2026-06-18,746.22998046875,0.6376142104069307,1.3551716814568424,3.2775906313935987,1.2173900035857255,1.1047014534926338,1.5550085987189541,2.805806427674896,0.0,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,MRVL,0.1210718757460281,current_holding,,101.805,-1.3408915964642878,,0.4208728521145077,-4.083649025385388,271695372253.418,19489381590.2211,5.8289145813130965,2.3354060219461927,2.5958266283342084,True,2026-06-18,310.5799865722656,0.7619559712054096,2.470741124247112,2.6988109259934157,2.332959446375995,2.220270896282903,1.569054920987066,2.7485670249978704,-0.01848752090169159,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,STM,0.1128463410863386,current_holding,,223.8023,-1.0821050474767604,,-0.0753075777760363,,69672566784.0,1031869023.4947205,3.778528804793869,1.2895099248503783,1.9276044997852988,True,2026-06-18,78.38999938964844,0.2802547766732413,1.4248450271512976,2.030588797444506,1.2870633492801806,1.174374799187089,1.2933509204912323,2.1515879075916207,-0.016560026470773703,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,CIEN,0.0556436355863876,current_holding,,150.5651,-0.9695234793468868,,0.1879353566851933,,60615792431.634094,1758193051.9880676,1.5577727780174446,-0.0974272658632493,0.9377134181907804,True,2026-06-18,428.2200012207031,-0.209809538815813,0.03790783643766993,1.0406977158499875,-0.09987384143344702,-0.21256239152653866,0.8216096688346675,1.381178186854803,-0.3170334908760716,weekly_holdings_watchlist_refresh,REPLACE_CANDIDATE_REVIEW,current holding weekly technical/RS deterioration,False
main,ON,0.0503543213861424,current_holding,,79.781,-0.5262626933638808,,-0.153467094023128,-0.917983804693278,47663267165.81426,1463654814.4451904,4.987711213692379,0.915938314271608,1.1261212684216468,True,2026-06-18,121.62000274658203,0.1471421108985278,1.0512734165725273,1.2291055660808539,0.9134917387014103,0.8008031886083187,1.1517220238611396,1.775282710344362,-0.09191361608597515,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,MU,0.0491175296151037,current_holding,,45.9124,-0.9676603936987568,,0.0,0.0,1278839125480.4622,52468247114.53156,6.799622338505139,1.41821655198394,3.778202548512196,True,2026-06-18,1133.989990234375,0.6229069554957147,1.5535516542848593,3.8811865255727565,1.4157699764137424,1.3030814263206507,1.5474771131011558,2.8305743046791796,0.0,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,LITE,0.0422310529961805,current_holding,,162.9856,-1.6419694073146864,,0.0,0.0,66130000000.0,5389684460.437317,4.471847408756043,-0.034484216278162,1.5856129391267972,True,2026-06-18,850.0,-0.04504041798681846,0.10085088602275727,1.6885972367860043,-0.03693079184835968,-0.14961934194145132,0.9386353346511037,1.6586848139748553,-0.19285148696874532,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,PWR,0.0375741717223483,current_holding,,96.134,-1.163531005992431,,0.2030559551586537,0.1221205539225891,105379739635.25,801405101.4453125,2.9867530686251142,0.0799741002540297,0.4992667734753817,True,2026-06-18,702.25,-0.01663563329027462,0.215309202554949,0.6022510711345888,0.07752752468383206,-0.03516102540925958,1.0152108921160385,1.3417683898512935,-0.10568742201935555,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
