rebalance_date,hard_stop,target_n,weighting_mode,active_rebalance_interval_months,gross_return,original_gross_return,cost,net_return,return_delta,risk_exit_count,n_positions
2019-04-30,-0.08,4,score_power,1,0.0014020935764753623,0.0014020935764753623,0.0025,-0.0010979064235246377,0.0,0,4
2019-05-31,-0.08,4,score_power,1,0.05197285418549165,0.05197285418549165,0.005,0.04697285418549165,0.0,0,4
2019-06-28,-0.08,4,score_power,1,-0.000927902118112837,-0.000927902118112837,0.002063983786639103,-0.0029918859047519397,0.0,0,4
2019-07-31,-0.08,4,score_power,1,-0.015056507864178469,-0.015056507864178469,0.0042673195361390285,-0.019323827400317496,0.0,0,4
2019-08-30,-0.08,4,score_power,1,0.008294628697317497,0.008294628697317497,0.0030294118094563506,0.005265216887861147,0.0,0,4
2019-09-30,-0.08,4,score_power,1,0.045616867039364364,0.045616867039364364,0.0018731793385859785,0.04374368770077838,0.0,0,4
2019-10-31,-0.08,4,score_power,1,-0.014814601905827635,-0.014814601905827635,0.0026134391865661423,-0.01742804109239378,0.0,0,4
2019-11-29,-0.08,4,score_power,1,0.027289821032115726,0.027289821032115726,0.005,0.022289821032115725,0.0,0,4
2019-12-31,-0.08,4,score_power,1,0.05855513909287621,0.05855513909287621,0.001534892817579602,0.05702024627529661,0.0,0,4
2020-01-31,-0.08,4,score_power,1,-0.03525764286460393,-0.059904340843856485,0.001024254607267528,-0.03628189747187146,0.024646697979252556,1,4
2020-02-28,-0.08,4,score_power,1,-0.0793338373429912,-0.17429982967208146,0.002251183492729051,-0.08158502083572025,0.09496599232909027,3,4
2020-03-31,-0.08,4,score_power,1,0.14831798368754373,0.14831798368754373,0.0024617948560809212,0.1458561888314628,0.0,0,4
2020-04-30,-0.08,4,score_power,1,0.23650909103179066,0.23650909103179066,0.005,0.23150909103179065,0.0,0,4
2020-05-29,-0.08,4,score_power,1,0.056064839373856874,0.056064839373856874,0.005,0.05106483937385688,0.0,0,4
2020-06-30,-0.08,4,score_power,1,0.12058755911840559,0.12058755911840559,0.0023763732694902975,0.1182111858489153,0.0,0,4
2020-07-31,-0.08,4,score_power,1,0.1548981009874835,0.1548981009874835,0.0027676994259249687,0.15213040156155852,0.0,0,4
2020-08-31,-0.08,4,score_power,1,-0.04337215323164145,-0.049571901545975135,0.0037099055627772886,-0.04708205879441874,0.006199748314333682,1,4
2020-09-30,-0.08,4,score_power,1,0.05192815576421854,0.04887415601746374,0.005,0.04692815576421854,0.0030539997467547986,1,4
2020-10-30,-0.08,4,score_power,1,0.15187793138159367,0.15187793138159367,0.0036909149931836616,0.14818701638841,0.0,0,4
2020-11-30,-0.08,4,score_power,1,0.04549144299643562,0.04549144299643562,0.0013983739740005144,0.04409306902243511,0.0,0,4
2020-12-31,-0.08,4,score_power,1,0.013056584123608992,0.0006436106024522069,0.002210310632238148,0.010846273491370843,0.012412973521156785,1,4
2021-01-29,-0.08,4,score_power,1,0.1271122848090297,0.1271122848090297,0.005,0.12211228480902969,0.0,0,4
2021-02-26,-0.08,4,score_power,1,0.03299514600119072,0.029236786986860795,0.004003990585427503,0.028991155415763213,0.003758359014329922,1,4
2021-03-31,-0.08,4,score_power,1,0.05253529393245843,0.05253529393245843,0.003292813376104238,0.04924248055635419,0.0,0,4
2021-04-30,-0.08,4,score_power,1,0.040741410628614604,0.040741410628614604,0.004068095859415925,0.036673314769198676,0.0,0,4
2021-05-28,-0.08,4,score_power,1,0.11777824299916553,0.11777824299916553,0.001861207931657885,0.11591703506750765,0.0,0,4
2021-06-30,-0.08,4,score_power,1,0.06595097529684864,0.06595097529684864,0.003792725949774577,0.06215824934707406,0.0,0,4
2021-07-30,-0.08,4,score_power,1,-0.008017509152194256,-0.01976626221757165,0.0031429198506454405,-0.011160429002839697,0.011748753065377395,1,4
2021-08-31,-0.08,4,score_power,1,-0.021237198536332103,-0.021237198536332103,0.0017758629516254787,-0.023013061487957582,0.0,0,4
2021-09-30,-0.08,4,score_power,1,0.06197658596185248,0.06197658596185248,0.002741266023914936,0.05923531993793754,0.0,0,4
2021-10-29,-0.08,4,score_power,1,-0.049707462424025683,-0.05053559164471626,0.0038480585928780653,-0.05355552101690375,0.0008281292206905738,1,4
2021-11-30,-0.08,4,score_power,1,0.0511220530535061,0.0511220530535061,0.005,0.046122053053506105,0.0,0,4
2021-12-31,-0.08,4,score_power,1,-0.018218381815972684,-0.026279598360146785,0.0039020242924735268,-0.022120406108446213,0.008061216544174101,1,4
2022-01-31,-0.08,4,score_power,1,0.0017880340095670292,0.0017880340095670292,0.002776285430076839,-0.0009882514205098098,0.0,0,4
2022-02-28,-0.08,4,score_power,1,0.04591939116491621,0.04591939116491621,0.00404711917688624,0.041872271988029966,0.0,0,4
2022-03-31,-0.08,4,score_power,1,-0.08000000000000002,-0.13453902955834965,0.002329163358249382,-0.0823291633582494,0.05453902955834963,4,4
2022-04-29,-0.08,4,score_power,1,0.0032893252522964212,0.0031598528465121415,0.004176320229632139,-0.0008869949773357175,0.0001294724057842797,1,4
2022-05-31,-0.08,4,score_power,1,-0.07428449086895003,-0.11683794022919006,0.005,-0.07928449086895004,0.042553449360240025,3,4
2022-06-30,-0.08,4,score_power,1,0.059103995244083565,0.059103995244083565,0.005,0.05410399524408357,0.0,0,4
2022-07-29,-0.08,4,score_power,1,0.008582841277719674,0.008582841277719674,0.003686818088537417,0.004896023189182258,0.0,0,4
2022-08-31,-0.08,4,score_power,1,-0.02455349957846073,-0.02455349957846073,0.002614259576750339,-0.02716775915521107,0.0,0,4
