rebalance_date,ticker,target_n,weighting_mode,interval,hard_stop,weight,period_forward_return,risk_adjusted_return,action
2020-02-28,MA,1,conviction_curve,1,-0.08,1.0,-0.22734102360032538,-0.08,hard_stop_proxy
2020-02-28,MA,1,conviction_curve,1,-0.1,1.0,-0.22734102360032538,-0.1,hard_stop_proxy
2020-02-28,MA,1,conviction_curve,1,-0.12,1.0,-0.22734102360032538,-0.12,hard_stop_proxy
2020-08-31,META,1,conviction_curve,1,-0.08,1.0,-0.09962336657433102,-0.08,hard_stop_proxy
2021-07-30,MA,1,conviction_curve,1,-0.08,1.0,-0.10768040560475156,-0.08,hard_stop_proxy
2021-07-30,MA,1,conviction_curve,1,-0.1,1.0,-0.10768040560475156,-0.1,hard_stop_proxy
2022-03-31,FCX,1,conviction_curve,1,-0.08,1.0,-0.19676815604060016,-0.08,hard_stop_proxy
2022-03-31,FCX,1,conviction_curve,1,-0.1,1.0,-0.19676815604060016,-0.1,hard_stop_proxy
2022-03-31,FCX,1,conviction_curve,1,-0.12,1.0,-0.19676815604060016,-0.12,hard_stop_proxy
2022-05-31,VLO,1,conviction_curve,1,-0.08,1.0,-0.17294566058766125,-0.08,hard_stop_proxy
2022-05-31,VLO,1,conviction_curve,1,-0.1,1.0,-0.17294566058766125,-0.1,hard_stop_proxy
2022-05-31,VLO,1,conviction_curve,1,-0.12,1.0,-0.17294566058766125,-0.12,hard_stop_proxy
2025-06-30,AXON,1,conviction_curve,1,-0.08,1.0,-0.10465072968895561,-0.08,hard_stop_proxy
2025-06-30,AXON,1,conviction_curve,1,-0.1,1.0,-0.10465072968895561,-0.1,hard_stop_proxy
2020-02-28,MA,1,winner_take_all,1,-0.08,1.0,-0.22734102360032538,-0.08,hard_stop_proxy
2020-02-28,MA,1,winner_take_all,1,-0.1,1.0,-0.22734102360032538,-0.1,hard_stop_proxy
2020-02-28,MA,1,winner_take_all,1,-0.12,1.0,-0.22734102360032538,-0.12,hard_stop_proxy
2020-08-31,META,1,winner_take_all,1,-0.08,1.0,-0.09962336657433102,-0.08,hard_stop_proxy
2021-07-30,MA,1,winner_take_all,1,-0.08,1.0,-0.10768040560475156,-0.08,hard_stop_proxy
2021-07-30,MA,1,winner_take_all,1,-0.1,1.0,-0.10768040560475156,-0.1,hard_stop_proxy
2022-03-31,FCX,1,winner_take_all,1,-0.08,1.0,-0.19676815604060016,-0.08,hard_stop_proxy
2022-03-31,FCX,1,winner_take_all,1,-0.1,1.0,-0.19676815604060016,-0.1,hard_stop_proxy
2022-03-31,FCX,1,winner_take_all,1,-0.12,1.0,-0.19676815604060016,-0.12,hard_stop_proxy
2022-05-31,VLO,1,winner_take_all,1,-0.08,1.0,-0.17294566058766125,-0.08,hard_stop_proxy
2022-05-31,VLO,1,winner_take_all,1,-0.1,1.0,-0.17294566058766125,-0.1,hard_stop_proxy
2022-05-31,VLO,1,winner_take_all,1,-0.12,1.0,-0.17294566058766125,-0.12,hard_stop_proxy
2025-06-30,AXON,1,winner_take_all,1,-0.08,1.0,-0.10465072968895561,-0.08,hard_stop_proxy
2025-06-30,AXON,1,winner_take_all,1,-0.1,1.0,-0.10465072968895561,-0.1,hard_stop_proxy
2020-02-28,MA,1,score_power,1,-0.08,1.0,-0.22734102360032538,-0.08,hard_stop_proxy
2020-02-28,MA,1,score_power,1,-0.1,1.0,-0.22734102360032538,-0.1,hard_stop_proxy
2020-02-28,MA,1,score_power,1,-0.12,1.0,-0.22734102360032538,-0.12,hard_stop_proxy
2020-08-31,META,1,score_power,1,-0.08,1.0,-0.09962336657433102,-0.08,hard_stop_proxy
2021-07-30,MA,1,score_power,1,-0.08,1.0,-0.10768040560475156,-0.08,hard_stop_proxy
2021-07-30,MA,1,score_power,1,-0.1,1.0,-0.10768040560475156,-0.1,hard_stop_proxy
2022-03-31,FCX,1,score_power,1,-0.08,1.0,-0.19676815604060016,-0.08,hard_stop_proxy
2022-03-31,FCX,1,score_power,1,-0.1,1.0,-0.19676815604060016,-0.1,hard_stop_proxy
2022-03-31,FCX,1,score_power,1,-0.12,1.0,-0.19676815604060016,-0.12,hard_stop_proxy
2022-05-31,VLO,1,score_power,1,-0.08,1.0,-0.17294566058766125,-0.08,hard_stop_proxy
