as_of_date,snapshot_semantics,portfolio,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,avg_entry_price,entry_reasons,entry_sleeves,daily_review_action,daily_review_reason,risk_state,account_source,approval_status,backtest_metric_mode,official_broker_cagr,official_broker_max_dd,official_broker_sharpe,official_broker_avg_cash_weight,daily_monitoring_backtest_status,daily_monitoring_position_risk_cagr,daily_monitoring_position_risk_max_dd,daily_monitoring_risk_action_count
2026-06-26,current_broker_ledger_mark_to_market,concentrated,concentrated,equity,SNDK,295.0,2090.7099609375,616759.4384765625,0.4125051395921607,286471.637878418,7695.240811767578,2026-03-02,2026-05-01,116.0,1119.6196630445577,target_rebalance,"future_winner,unassigned",EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",yellow,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.4665608462995303,-0.24120710120737632,1.4005339789546871,0.4048208198188867,missing,0.32944483399747937,-0.26334451558927385,0
2026-06-26,current_broker_ledger_mark_to_market,concentrated,concentrated,equity,BE,1207.0,252.0200042724609,304188.14515686035,0.2034491334095399,-46469.4815826416,0.0,2026-05-01,2026-05-01,56.0,290.5199890136719,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,yellow,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.4665608462995303,-0.24120710120737632,1.4005339789546871,0.4048208198188867,missing,0.32944483399747937,-0.26334451558927385,0
2026-06-26,current_broker_ledger_mark_to_market,concentrated,concentrated,equity,WDC,473.0,586.4500122070312,277390.8557739258,0.1855263925352322,91172.9381661113,140637.07159264726,2026-02-02,2026-05-01,144.0,404.11326582991296,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",yellow,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.4665608462995303,-0.24120710120737632,1.4005339789546871,0.4048208198188867,missing,0.32944483399747937,-0.26334451558927385,0
2026-06-26,current_broker_ledger_mark_to_market,concentrated,concentrated,equity,CIEN,277.0,479.5,132821.5,0.0888345568471137,10990.028307472545,102024.4824759709,2026-03-02,2026-05-01,116.0,471.7112170057607,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,yellow,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.4665608462995303,-0.24120710120737632,1.4005339789546871,0.4048208198188867,missing,0.32944483399747937,-0.26334451558927385,0
2026-06-26,current_broker_ledger_mark_to_market,concentrated,concentrated,equity,LITE,84.0,816.97998046875,68626.318359375,0.045899109553077,22880.53136682113,333222.8157390825,2026-02-02,2026-05-01,144.0,642.7991714477539,target_rebalance,"future_winner,unassigned",BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,yellow,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.4665608462995303,-0.24120710120737632,1.4005339789546871,0.4048208198188867,missing,0.32944483399747937,-0.26334451558927385,0
2026-06-26,current_broker_ledger_mark_to_market,concentrated,concentrated,cash,CASH,0.0,1.0,95369.50947134243,0.0637856680628763,0.0,0.0,,,,0.0,,,RESERVE_CASH,Combined cash is below target under macro gate `no_big_cash_without_second_confirmation`.,yellow,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.4665608462995303,-0.24120710120737632,1.4005339789546871,0.4048208198188867,missing,0.32944483399747937,-0.26334451558927385,0
2026-06-26,current_broker_ledger_mark_to_market,main,main,equity,SNDK,70.0,2090.7099609375,146349.697265625,0.173179417725729,93359.45635986328,1941.789737548828,2026-03-02,2026-05-01,116.0,757.0034415108817,target_rebalance,"future_winner,unassigned",EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",yellow,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3527588626928815,-0.2425252462433768,1.268144735016011,0.2654404806229542,missing,0.3082181050552617,-0.251883404170825,0
2026-06-26,current_broker_ledger_mark_to_market,main,main,equity,WDC,178.0,586.4500122070312,104388.10217285156,0.1235251667038092,44826.2461784939,36742.05032979925,2026-02-02,2026-05-01,144.0,367.9445704770892,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",yellow,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3527588626928815,-0.2425252462433768,1.268144735016011,0.2654404806229542,missing,0.3082181050552617,-0.251883404170825,0
2026-06-26,current_broker_ledger_mark_to_market,main,main,equity,MRVL,360.0,266.7699890136719,96037.19604492188,0.1136433214541247,36655.19714355469,-7548.294616127015,2026-05-01,2026-05-01,56.0,164.9499969482422,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",yellow,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3527588626928815,-0.2425252462433768,1.268144735016011,0.2654404806229542,missing,0.3082181050552617,-0.251883404170825,0
2026-06-26,current_broker_ledger_mark_to_market,main,main,equity,STM,1330.0,71.41999816894531,94988.59756469728,0.112402487495283,20924.608154296875,55.925388321876525,2026-05-01,2026-05-01,56.0,55.68721008300781,target_rebalance,early_scout,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",yellow,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3527588626928815,-0.2425252462433768,1.268144735016011,0.2654404806229542,missing,0.3082181050552617,-0.251883404170825,0
