label,horizon,action,n,avg_return,median_return,hit_rate,worst_return,best_return
AMBIGUOUS,1m,add25,337,0.01995742011783179,0.0063821220189511085,0.516320474777448,-0.25101730341170747,0.7587235714869702
AMBIGUOUS,1m,exit_to_cash,337,0.0,0.0,0.0,0.0,0.0
AMBIGUOUS,1m,hold,337,0.01596593609426543,0.005105697615160887,0.516320474777448,-0.20081384272936598,0.6069788571895762
AMBIGUOUS,1m,label_oracle,337,0.007982968047132714,0.0025528488075804434,0.516320474777448,-0.10040692136468299,0.3034894285947881
AMBIGUOUS,1m,trim50,337,0.007982968047132714,0.0025528488075804434,0.516320474777448,-0.10040692136468299,0.3034894285947881
AMBIGUOUS,3m,add25,337,0.07053120064356685,0.07021941607075838,0.6706231454005934,-0.3250323955113992,1.0247932724854683
AMBIGUOUS,3m,exit_to_cash,337,0.0,0.0,0.0,0.0,0.0
AMBIGUOUS,3m,hold,337,0.05642496051485349,0.0561755328566067,0.6706231454005934,-0.2600259164091193,0.8198346179883746
AMBIGUOUS,3m,label_oracle,337,0.028212480257426745,0.02808776642830335,0.6706231454005934,-0.13001295820455966,0.4099173089941873
AMBIGUOUS,3m,trim50,337,0.028212480257426745,0.02808776642830335,0.6706231454005934,-0.13001295820455966,0.4099173089941873
AMBIGUOUS,6m,add25,337,0.10936349646568738,0.1229062523857416,0.8427299703264095,-0.12402527253186149,0.26866584040465963
AMBIGUOUS,6m,exit_to_cash,337,0.0,0.0,0.0,0.0,0.0
AMBIGUOUS,6m,hold,337,0.08749079717254989,0.09832500190859328,0.8427299703264095,-0.09922021802548919,0.2149326723237277
AMBIGUOUS,6m,label_oracle,337,0.04374539858627494,0.04916250095429664,0.8427299703264095,-0.049610109012744597,0.10746633616186385
AMBIGUOUS,6m,trim50,337,0.04374539858627494,0.04916250095429664,0.8427299703264095,-0.049610109012744597,0.10746633616186385
DISTRIBUTION,1m,add25,447,0.027039712646402654,0.024253110024073377,0.6062639821029083,-0.38740005114245496,0.5268171937584876
DISTRIBUTION,1m,exit_to_cash,447,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,1m,hold,447,0.02163177011712212,0.0194024880192587,0.6062639821029083,-0.30992004091396397,0.42145375500679005
DISTRIBUTION,1m,label_oracle,447,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,1m,trim50,447,0.01081588505856106,0.00970124400962935,0.6062639821029083,-0.15496002045698198,0.21072687750339503
DISTRIBUTION,3m,add25,447,0.00970484642950707,0.009540546127983496,0.5234899328859061,-0.7517300462378845,0.9476259291277389
DISTRIBUTION,3m,exit_to_cash,447,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,3m,hold,447,0.007763877143605655,0.007632436902386797,0.5234899328859061,-0.6013840369903076,0.7581007433021911
DISTRIBUTION,3m,label_oracle,447,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,3m,trim50,447,0.0038819385718028275,0.0038162184511933983,0.5234899328859061,-0.3006920184951538,0.37905037165109556
DISTRIBUTION,6m,add25,447,0.005294297881387517,-0.013596205756495755,0.4742729306487696,-0.7343631837278636,2.634968302611829
DISTRIBUTION,6m,exit_to_cash,447,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,6m,hold,447,0.0042354383051100165,-0.010876964605196604,0.4742729306487696,-0.5874905469822909,2.1079746420894634
DISTRIBUTION,6m,label_oracle,447,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,6m,trim50,447,0.0021177191525550082,-0.005438482302598302,0.4742729306487696,-0.29374527349114543,1.0539873210447317
SHAKEOUT,1m,add25,422,0.09027036368329037,0.07169036247062915,0.7345971563981043,-0.3821792236289544,0.9213957421645083
SHAKEOUT,1m,exit_to_cash,422,0.0,0.0,0.0,0.0,0.0
SHAKEOUT,1m,hold,422,0.07221629094663232,0.05735228997650332,0.7345971563981043,-0.3057433789031635,0.7371165937316067
SHAKEOUT,1m,label_oracle,422,0.09027036368329037,0.07169036247062915,0.7345971563981043,-0.3821792236289544,0.9213957421645083
SHAKEOUT,1m,trim50,422,0.03610814547331616,0.02867614498825166,0.7345971563981043,-0.15287168945158175,0.3685582968658033
SHAKEOUT,3m,add25,422,0.27652900719449885,0.23731251394686168,0.9241706161137441,-0.280208322736952,2.0546877569967457
SHAKEOUT,3m,exit_to_cash,422,0.0,0.0,0.0,0.0,0.0
SHAKEOUT,3m,hold,422,0.2212232057555991,0.18985001115748934,0.9241706161137441,-0.2241666581895616,1.6437502055973967
SHAKEOUT,3m,label_oracle,422,0.27652900719449885,0.23731251394686168,0.9241706161137441,-0.280208322736952,2.0546877569967457
SHAKEOUT,3m,trim50,422,0.11061160287779954,0.09492500557874467,0.9241706161137441,-0.1120833290947808,0.8218751027986984
SHAKEOUT,6m,add25,422,0.6078114001070694,0.45542871050177225,1.0,0.25113245426862413,5.8751084030837415
