leadership_theme,member_count,active_count_1d_gt_8pct,active_count_5d_gt_20pct,breadth_21d_positive,median_ret_5d,median_ret_21d,median_ret_63d,top_participation_score,top_bubble_climax_score,top_early_leadership_score,dollar_volume_20d_sum,top_tickers,leadership_state,leadership_score
memory_semiconductors,6,2,2,1.0,0.09449223847873134,0.4917479623029518,0.7628014841964293,2.585396691708097,2.6733001160760193,2.6779415996924847,48157233885.91965,"MU,SNDK,STX,WDC,PSA,EXR",emerging_leader,2.8666869836485644
ai_compute_semiconductors,30,3,4,0.9666666666666667,0.047639370064913034,0.26691649799025796,0.3087993016242644,3.163270008516786,3.4846089427931064,3.687636038684511,93712887277.42877,"AMD,QCOM,HIMX,MTSI,STM,MRVL,UMC,ARM",emerging_leader,2.2586562221063593
rare_earths_battery_materials,1,0,0,1.0,0.11941331997476179,0.18679112564346845,0.18133550038749657,1.550140756623199,2.633924643068734,1.4751220936710878,185736857.38632202,TECK,emerging_leader,1.2315327512837944
software_ai_platforms,41,3,2,0.8536585365853658,0.018586929984714784,0.10763498504986768,0.009094561130207568,2.5537156786055433,3.156483844526689,2.7455524735560886,48309258491.65964,"AKAM,FTNT,ORCL,CRWD,PANW,GEN,RBRK,CDNS",neutral,1.0618064117785653
optical_networking_ai_infra,3,0,0,1.0,0.017481061504172946,0.12460498965966438,0.6373485095431082,1.2720761855362654,0.9749714813352885,1.1136819608845612,8262342474.066162,"COHR,CIEN,LITE",emerging_leader,0.5620640227419614
software,62,1,1,0.5161290322580645,0.004106816708659422,0.001528418715828539,0.018692909551262793,2.0232362826211254,2.287864645412189,1.788750947541988,64090071918.26023,"FLEX,GLW,HPE,HPQ,GOOGL,AMZN,AAPL,CSCO",neutral,0.3484825293418028
industrial,112,1,1,0.5267857142857143,-0.006018455068687145,0.009745905188341064,-0.02376608707705652,1.5505224297238795,1.4406684196717923,1.9316915109805222,33292905909.834885,"AAON,BE,VRT,ECG,FIX,ROK,CAT,MTZ",neutral,0.07791740966392427
consumer,124,2,0,0.4274193548387097,-0.004006268008954872,-0.013852960778718004,-0.05332457061933499,1.4737473811152353,2.3493037186097245,1.3438799493154876,62809652295.28612,"TSLA,MNST,PRMB,HRB,TXRH,BWA,SFM,HST",neutral,0.05970105039139181
banking,124,0,0,0.5483870967741935,-0.008245629880985428,0.010583389862911519,-0.046501853888054834,0.9392624129937619,1.2369335759931386,0.9706761744926751,37404253081.3178,"CBOE,APO,ARES,BEN,MS,IVZ,JEF,BLK",neutral,-0.06773475880807145
space_launch,22,1,1,0.36363636363636365,0.023693786996264232,-0.02960925323412894,-0.05091220974926991,1.0139933566457677,1.2912742529199808,0.8469717304629328,12519933048.194036,"RKLB,HWM,BA,FTAI,HEI,AXON,HXL,GE",neutral,-0.12470222793525557
medtech,57,0,1,0.3157894736842105,-0.008634339193601903,-0.05272473737945005,-0.08918743011756158,1.515411319402039,1.7338713493067428,1.7685165134781198,32929960592.825275,"DVA,UNH,CVS,DOC,WST,WAT,ELV,IQV",neutral,-0.2496349665317889
energy,98,0,0,0.46938775510204084,-0.019779610604472586,-0.007441184607712037,0.054276044686378255,0.9065091963137576,1.120134953513866,1.156990554542336,31626054386.404133,"IFF,DINO,ESI,IRM,STLD,MPC,FCX,CUZ",neutral,-0.29249260562529533
power_grid_gas_turbine,10,0,0,0.6,-0.011663182718178289,0.03997795817858629,0.08714481069799584,0.6266010671463663,0.47885912067280567,0.6946762929577788,7248273454.919205,"NVT,PWR,TLN,GEV,NXT,ETN,GTLS,AEP",neutral,-0.29349806153139535
nuclear_power,4,0,0,0.75,-0.022751742274230435,0.046949042982694644,0.03508728584766685,-0.1822648450269777,-0.4447682948965078,-0.19065433150811134,1545889887.7859306,"CEG,UEC,CCJ,BWXT",neutral,-0.7748345564077738
general,37,0,0,0.1891891891891892,-0.033167840396963855,-0.050340996901419244,0.01210219308315752,0.34207022650919283,0.33418639450398335,0.2528786087366364,12783941196.759697,"DIS,LYV,OMC,VZ,TMUS,NXST,EA,FOXA",neutral,-0.9111234306846564
