sector,member_count,active_count_1d_gt_8pct,active_count_5d_gt_20pct,breadth_21d_positive,median_ret_5d,median_ret_21d,median_ret_63d,top_participation_score,top_bubble_climax_score,top_early_leadership_score,dollar_volume_20d_sum,top_tickers,leadership_state,leadership_score
Information Technology,94,8,9,0.8404255319148937,0.04023233706832552,0.15077208352157723,0.21462757401380828,3.9441367935442826,4.7914514114041875,4.124294462156344,220008743376.27576,"MU,SNDK,AMD,QCOM,FLEX,AKAM,HIMX,FTNT",emerging_leader,3.107393757900843
Semiconductors,3,0,0,1.0,0.06134525863579032,0.5117526594697472,0.5328031245630376,2.4297133964730357,2.4689422838081003,3.154508905829523,1858880687.3990726,"STM,UMC,NXPI",emerging_leader,2.539632700824054
Real Estate,46,0,0,0.8043478260869565,0.009055042540769609,0.0383973791276101,0.0449061541789344,0.7945513726783154,0.9196505636644695,1.2512378180043644,7996255636.575165,"DOC,IRM,HST,CUZ,CCI,EQIX,KRC,LINE",neutral,0.6769497955783493
Industrials,149,2,2,0.4966442953020134,-0.005648693692836937,-0.0022127409457777247,-0.03313356703121184,2.0263447164417085,2.1058347904001984,2.424849189252578,54326498790.170044,"RKLB,AAON,BE,NVT,VRT,ECG,FIX,PWR",neutral,0.4819953808416516
Communication,13,0,0,0.6923076923076923,0.0018200649113504497,0.011255980698191115,0.0031482701925418244,0.7617725037161316,0.450114674548144,0.6483141128636823,22501832702.128468,"GOOGL,GOOG,DIS,TTWO,LYV,OMC,VZ,TMUS",neutral,0.40156422373909556
Financials,121,1,0,0.5371900826446281,-0.009202413991280078,0.008620704144873148,-0.047077889226150416,1.0439702128809363,1.54412429654468,1.0368767856122498,37083396377.454384,"CPAY,CBOE,APO,ARES,BEN,MS,IVZ,JEF",neutral,0.3219567057411944
Consumer Staples,39,1,0,0.5384615384615384,-0.0045420968996789934,0.003069811496964725,-0.05630751336125617,0.9237750146853445,1.1643648386586125,0.8699208845408679,16058999601.497358,"MNST,PRMB,SFM,CASY,ADM,PM,WMT,COST",neutral,0.20051938888834542
Consumer Discretionary,71,1,0,0.39436619718309857,-0.009159595908656226,-0.015254262903920512,-0.05243038089731111,1.3103885144548706,1.5302278437381511,1.2469677912561146,57912431548.24391,"TSLA,AMZN,HRB,TXRH,EBAY,BWA,MUSA,SBUX",neutral,0.156247597223014
Materials,43,0,0,0.27906976744186046,0.013595092755148697,-0.023259967691573014,-0.05421876034135886,0.8758450336775976,1.3354142253752168,0.8223799722062438,11295017495.206642,"TECK,IFF,ESI,STLD,FCX,DD,NEM,CTVA",neutral,0.07002682965406797
Health Care,67,0,1,0.29850746268656714,-0.006875750112577239,-0.044126401366648804,-0.09069104056101218,1.584241397587705,1.778227294206705,1.8939582015680148,35548972951.644196,"DVA,UNH,CVS,WST,RVMD,NBIX,WAT,JAZZ",neutral,-0.13703993709722379
Financial,6,0,0,0.5,-0.0018523734387289603,-0.0075174164317043934,-0.0861682960242004,-0.3106237235068147,-0.12208299503902227,-0.16838805382001923,627099788.2444477,"MFC,SAN,SLF,IBN,HDB,CIB",neutral,-0.5080961702434285
Energy,38,0,0,0.47368421052631576,-0.05062092393422318,-0.011723861756401999,0.09909981994384365,0.37781654557478,0.21333730124793762,0.272137466072444,17781005720.093185,"DINO,MPC,VLO,PSX,CVX,TRGP,PBR,XOM",neutral,-0.6529616734195258
Internet,3,0,0,0.3333333333333333,-0.017545343583028172,-0.01779855743222658,-0.06129434925283339,-0.37954970954912587,-0.7563115393178337,-0.4492834681903497,1604359583.110466,"PDD,NTES,MELI",neutral,-0.7435868132890737
Software,1,0,0,0.0,0.024481784448640465,-0.029729784872788767,-0.17410390798583586,-0.425270484556081,-0.04643702495012321,-0.1906178438046362,39373166.35887146,GIB,neutral,-0.8301530834079787
Utilities,37,0,0,0.10810810810810811,-0.037831481455267824,-0.05932978279951806,0.027634584297340004,0.14463154845620996,-0.08933373896842951,0.21129960352160662,10235527333.645863,"TLN,CEG,NEE,ETR,EVRG,D,LNT,AEP",neutral,-1.1505376525239113
