rebalance_date,next_rebalance_date,gross_return,cost,net_return,turnover,missing_tickers,cash_weight,rebalance_action,active_rebalance_interval_months,next_scheduled_rebalance_date,target_n,weighting_mode,portfolio_mode,equity,equity_value_usd,bench_return,benchmark_equity,benchmark_value_usd,target_stock_names
2019-04-30,2019-05-31,0.012671701442502403,0.0025,0.010171701442502403,0.5,0,0.0,initial_rebalance,1,2019-05-31,1,conviction_curve,concentrated_alpha,1.0101717014425025,101017.17014425025,-0.06131893163869451,0.9386810683613055,93868.10683613055,1
2019-05-31,2019-06-28,0.07224000691002486,0.005,0.06724000691002485,1.0,0,0.0,rebalance,1,2019-06-28,1,conviction_curve,concentrated_alpha,1.078095653627808,107809.56536278079,0.08011805644118142,1.0138863711765451,101388.6371176545,1
2019-06-28,2019-07-31,0.01582498576658886,0.0,0.01582498576658886,0.0,0,0.0,rebalance,1,2019-07-31,1,conviction_curve,concentrated_alpha,1.0951565020014893,109515.65020014893,-0.0036331987329345505,1.0102027204974469,101020.27204974469,1
2019-07-31,2019-08-30,0.008875470381938255,0.005,0.003875470381938255,1.0,0,0.0,rebalance,1,2019-08-30,1,conviction_curve,concentrated_alpha,1.0994007485885833,109940.07485885832,-0.01601118650035893,0.9940281763363923,99402.81763363924,1
2019-08-30,2019-09-30,-0.041546571565122536,0.0,-0.041546571565122536,0.0,0,0.0,rebalance,1,2019-09-30,1,conviction_curve,concentrated_alpha,1.0537244167085984,105372.44167085984,0.011691962549935209,1.0056503165476978,100565.03165476977,1
2019-09-30,2019-10-31,0.023581172534742123,0.005,0.018581172534742122,1.0,0,0.0,rebalance,1,2019-10-31,1,conviction_curve,concentrated_alpha,1.0733038518995315,107330.38518995314,0.043077969560411544,1.0489716902723578,104897.16902723578,1
2019-10-31,2019-11-29,0.024530260617098287,0.005,0.019530260617098286,1.0,0,0.0,rebalance,1,2019-11-29,1,conviction_curve,concentrated_alpha,1.094265755848465,109426.57558484649,0.01531182851795454,1.0650333649139971,106503.3364913997,1
2019-11-29,2019-12-31,0.03396515201113681,0.005,0.02896515201113681,1.0,0,0.0,rebalance,1,2019-12-31,1,conviction_curve,concentrated_alpha,1.1259613298071973,112596.13298071973,0.046238282266118924,1.114278678263725,111427.8678263725,1
2019-12-31,2020-01-31,0.06245532017055333,0.0,0.06245532017055333,0.0,0,0.0,rebalance,1,2020-01-31,1,conviction_curve,concentrated_alpha,1.196283605159968,119628.36051599678,-0.0027410715656029927,1.1112243606625787,111122.43606625787,1
2020-01-31,2020-02-28,-0.06245278674827959,0.0,-0.06245278674827959,0.0,0,0.0,rebalance,1,2020-02-28,1,conviction_curve,concentrated_alpha,1.1215723602764494,112157.23602764493,-0.048843923519200194,1.0569478029777035,105694.78029777035,1
