rebalance_date,ticker,Name,sector,weight,raw_score,concentrated_score,portfolio_sleeve_label,concentrated_selection_source,period_forward_return,weighted_forward_return,target_n,weighting_mode,rebalance_action,active_rebalance_interval_months,next_scheduled_rebalance_date,target_stock_names,portfolio_mode
2019-04-30,FDS,FACTSET RESEARCH SYSTEMS INC,Financials,1.0,1.407713510508096,0.582477038861253,early_scout,preferred_final_label,0.012671701442502403,0.012671701442502403,1,conviction_curve,initial_rebalance,1,2019-05-31,1,concentrated_alpha
2019-05-31,MA,MASTERCARD INC CLASS A,Financials,1.0,5.583231615223895,0.8040376815032826,early_scout,preferred_final_label,0.07224000691002486,0.07224000691002486,1,conviction_curve,rebalance,1,2019-06-28,1,concentrated_alpha
2019-06-28,MA,MASTERCARD INC CLASS A,Financials,1.0,5.449360791180408,0.7791419380817465,early_scout,preferred_final_label,0.01582498576658886,0.01582498576658886,1,conviction_curve,rebalance,1,2019-07-31,1,concentrated_alpha
2019-07-31,V,VISA INC CLASS A,Financials,1.0,5.78471524326138,0.7710734139153177,early_scout,preferred_final_label,0.008875470381938255,0.008875470381938255,1,conviction_curve,rebalance,1,2019-08-30,1,concentrated_alpha
2019-08-30,V,VISA INC CLASS A,Financials,1.0,5.632101929464622,0.7793303003918792,early_scout,preferred_final_label,-0.041546571565122536,-0.041546571565122536,1,conviction_curve,rebalance,1,2019-09-30,1,concentrated_alpha
2019-09-30,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,1.0,4.662248181983143,0.702955404037884,early_scout,preferred_final_label,0.023581172534742123,0.023581172534742123,1,conviction_curve,rebalance,1,2019-10-31,1,concentrated_alpha
2019-10-31,V,VISA INC CLASS A,Financials,1.0,6.175531146330474,0.7583244761045345,early_scout,preferred_final_label,0.024530260617098287,0.024530260617098287,1,conviction_curve,rebalance,1,2019-11-29,1,concentrated_alpha
2019-11-29,MA,MASTERCARD INC CLASS A,Financials,1.0,6.48297521852387,0.8082064905044336,early_scout,preferred_final_label,0.03396515201113681,0.03396515201113681,1,conviction_curve,rebalance,1,2019-12-31,1,concentrated_alpha
2019-12-31,MA,MASTERCARD INC CLASS A,Financials,1.0,6.305959351569918,0.8008536665240142,early_scout,preferred_final_label,0.06245532017055333,0.06245532017055333,1,conviction_curve,rebalance,1,2020-01-31,1,concentrated_alpha
2020-01-31,MA,MASTERCARD INC CLASS A,Financials,1.0,6.351798894182954,0.8076876812343157,early_scout,preferred_final_label,-0.06245278674827959,-0.06245278674827959,1,conviction_curve,rebalance,1,2020-02-28,1,concentrated_alpha
2020-02-28,MA,MASTERCARD INC CLASS A,Financials,1.0,6.55120418161579,0.8088745899109149,early_scout,preferred_final_label,-0.22734107703994444,-0.22734107703994444,1,conviction_curve,rebalance,1,2020-03-31,1,concentrated_alpha
2020-03-31,MA,MASTERCARD INC CLASS A,Financials,1.0,5.808811660710668,0.8268093576564517,early_scout,preferred_final_label,0.16530471700316007,0.16530471700316007,1,conviction_curve,rebalance,1,2020-04-30,1,concentrated_alpha
2020-04-30,NVDA,NVIDIA CORP,Information Technology,1.0,4.143733500981644,0.6897504374263622,early_scout,preferred_final_label,0.24258870438994018,0.24258870438994018,1,conviction_curve,rebalance,1,2020-05-29,1,concentrated_alpha
2020-05-29,NVDA,NVIDIA CORP,Information Technology,1.0,3.8156583071601524,0.7457393775156489,early_scout,preferred_final_label,0.07832249222667476,0.07832249222667476,1,conviction_curve,rebalance,1,2020-06-30,1,concentrated_alpha
2020-06-30,NVDA,NVIDIA CORP,Information Technology,1.0,4.302649469450939,0.7854404475896837,early_scout,preferred_final_label,0.12727467817669424,0.12727467817669424,1,conviction_curve,rebalance,1,2020-07-31,1,concentrated_alpha
2020-07-31,NVDA,NVIDIA CORP,Information Technology,1.0,3.7789564522155796,0.7284620868454403,early_scout,preferred_final_label,0.25637384913622974,0.25637384913622974,1,conviction_curve,rebalance,1,2020-08-31,1,concentrated_alpha
2020-08-31,MA,MASTERCARD INC CLASS A,Financials,1.0,3.4495959335171644,0.6942456009589819,early_scout,preferred_final_label,-0.043247300951513745,-0.043247300951513745,1,conviction_curve,rebalance,1,2020-09-30,1,concentrated_alpha
2020-09-30,BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,1.0,2.987541975300044,0.7234780370760039,early_scout,preferred_final_label,0.14601590400837772,0.14601590400837772,1,conviction_curve,rebalance,1,2020-10-30,1,concentrated_alpha
2020-10-30,CPRT,COPART INC,Industrials,1.0,2.6804162042856827,0.7058097298119077,early_scout,preferred_final_label,0.03663984287947386,0.03663984287947386,1,conviction_curve,rebalance,1,2020-11-30,1,concentrated_alpha
2020-11-30,LRCX,LAM RESEARCH CORP,Information Technology,1.0,3.0333922125489243,0.7018841210598996,early_scout,preferred_final_label,0.04198382036602699,0.04198382036602699,1,conviction_curve,rebalance,1,2020-12-31,1,concentrated_alpha
2020-12-31,LRCX,LAM RESEARCH CORP,Information Technology,1.0,4.178296244819781,0.7408449228017162,early_scout,preferred_final_label,0.026978965953664558,0.026978965953664558,1,conviction_curve,rebalance,1,2021-01-29,1,concentrated_alpha
2021-01-29,NVDA,NVIDIA CORP,Information Technology,1.0,4.5070166208319336,0.6972762049644847,early_scout,preferred_final_label,0.06295331215533073,0.06295331215533073,1,conviction_curve,rebalance,1,2021-02-26,1,concentrated_alpha
2021-02-26,LRCX,LAM RESEARCH CORP,Information Technology,1.0,4.160749061599331,0.7306947590684947,early_scout,preferred_final_label,0.06270633544210136,0.06270633544210136,1,conviction_curve,rebalance,1,2021-03-31,1,concentrated_alpha
2021-03-31,LRCX,LAM RESEARCH CORP,Information Technology,1.0,3.8544075074157873,0.7299792367260656,early_scout,preferred_final_label,0.029514438980865032,0.029514438980865032,1,conviction_curve,rebalance,1,2021-04-30,1,concentrated_alpha
2021-04-30,NVDA,NVIDIA CORP,Information Technology,1.0,5.5746174994117865,0.810525187583226,early_scout,preferred_final_label,0.0757023115697677,0.0757023115697677,1,conviction_curve,rebalance,1,2021-05-28,1,concentrated_alpha
2021-05-28,CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,1.0,5.260774039729758,0.6848901168518264,early_scout,preferred_final_label,0.12440086370093084,0.12440086370093084,1,conviction_curve,rebalance,1,2021-06-30,1,concentrated_alpha
2021-06-30,ABT,ABBOTT LABORATORIES,Health Care,1.0,4.612938499194929,0.6752796928478915,early_scout,preferred_final_label,0.05494804271554754,0.05494804271554754,1,conviction_curve,rebalance,1,2021-07-30,1,concentrated_alpha
2021-07-30,MA,MASTERCARD INC CLASS A,Financials,1.0,5.184445904653678,0.7708511422547253,early_scout,preferred_final_label,-0.10768032001689865,-0.10768032001689865,1,conviction_curve,rebalance,1,2021-08-31,1,concentrated_alpha
2021-08-31,LRCX,LAM RESEARCH CORP,Information Technology,1.0,5.465984213646886,0.681331003527033,early_scout,preferred_final_label,-0.05825886173354111,-0.05825886173354111,1,conviction_curve,rebalance,1,2021-09-30,1,concentrated_alpha
2021-09-30,MA,MASTERCARD INC CLASS A,Financials,1.0,4.872695461727194,0.7348220410065815,early_scout,preferred_final_label,-0.04046688784737462,-0.04046688784737462,1,conviction_curve,rebalance,1,2021-10-29,1,concentrated_alpha
2021-10-29,MDB,MONGODB INC CLASS A,Information Technology,1.0,4.186066479786944,0.6804913317193682,early_scout,preferred_final_label,-0.038295734800200765,-0.038295734800200765,1,conviction_curve,rebalance,1,2021-11-30,1,concentrated_alpha
2021-11-30,PANW,PALO ALTO NETWORKS INC,Information Technology,1.0,3.2458146517821644,0.6457225400997291,early_scout,preferred_final_label,0.01625085626073952,0.01625085626073952,1,conviction_curve,rebalance,1,2021-12-31,1,concentrated_alpha
2021-12-31,V,VISA INC CLASS A,Financials,1.0,4.774723753796272,0.7024275161615312,early_scout,preferred_final_label,0.04312221732773214,0.04312221732773214,1,conviction_curve,rebalance,1,2022-01-31,1,concentrated_alpha
2022-01-31,LRCX,LAM RESEARCH CORP,Information Technology,1.0,4.853365106534836,0.687793864130025,early_scout,preferred_final_label,-0.05413555270161152,-0.05413555270161152,1,conviction_curve,rebalance,1,2022-02-28,1,concentrated_alpha
2022-02-28,MA,MASTERCARD INC CLASS A,Financials,1.0,5.406029267201535,0.8101800626252664,early_scout,preferred_final_label,0.0038285580943688835,0.0038285580943688835,1,conviction_curve,rebalance,1,2022-03-31,1,concentrated_alpha
2022-03-31,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,1.0,3.296138756992712,0.6369880227562312,early_scout,preferred_final_label,-0.1237634588516161,-0.1237634588516161,1,conviction_curve,rebalance,1,2022-04-29,1,concentrated_alpha
2022-04-29,BLDR,BUILDERS FIRSTSOURCE INC,Industrials,1.0,2.3583359688441248,0.6495127582935305,early_scout,preferred_final_label,0.06575965764359593,0.06575965764359593,1,conviction_curve,rebalance,1,2022-05-31,1,concentrated_alpha
2022-05-31,ETR,ENTERGY CORP,Utilities,1.0,3.659849907429549,0.6861930189249472,early_scout,preferred_final_label,-0.06423555782153656,-0.06423555782153656,1,conviction_curve,rebalance,1,2022-06-30,1,concentrated_alpha
2022-06-30,NOW,SERVICENOW INC,Information Technology,1.0,4.726005429154214,0.682462909434001,early_scout,preferred_final_label,-0.07567434711873611,-0.07567434711873611,1,conviction_curve,rebalance,1,2022-07-29,1,concentrated_alpha
2022-07-29,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,1.0,2.9890093397657056,0.6475862568263223,early_scout,preferred_final_label,-0.0027948899362666424,-0.0027948899362666424,1,conviction_curve,rebalance,1,2022-08-31,1,concentrated_alpha
2022-08-31,DKS,DICKS SPORTING INC,Consumer Discretionary,1.0,2.434454417409593,0.6808388218296972,early_scout,preferred_final_label,0.01069219920473996,0.01069219920473996,1,conviction_curve,rebalance,1,2022-09-30,1,concentrated_alpha
2022-09-30,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,1.0,2.7562499116125236,0.6883743191791782,early_scout,preferred_final_label,0.1834335085733778,0.1834335085733778,1,conviction_curve,rebalance,1,2022-10-31,1,concentrated_alpha
2022-10-31,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,1.0,3.3502309198758047,0.7181304593388838,early_scout,preferred_final_label,0.0364336785581898,0.0364336785581898,1,conviction_curve,rebalance,1,2022-11-30,1,concentrated_alpha
2022-11-30,V,VISA INC CLASS A,Financials,1.0,5.3920321264050335,0.7359652156197662,early_scout,preferred_final_label,-0.0355761176817897,-0.0355761176817897,1,conviction_curve,rebalance,1,2022-12-30,1,concentrated_alpha
2022-12-30,V,VISA INC CLASS A,Financials,1.0,5.6194218010536225,0.7717948057898716,early_scout,preferred_final_label,0.0959957789752417,0.0959957789752417,1,conviction_curve,rebalance,1,2023-01-31,1,concentrated_alpha
2023-01-31,NOW,SERVICENOW INC,Information Technology,1.0,3.835958133663251,0.7582676740109064,early_scout,preferred_final_label,-0.05315765941030448,-0.05315765941030448,1,conviction_curve,rebalance,1,2023-02-28,1,concentrated_alpha
2023-02-28,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,1.0,4.2065161002664375,0.7597160870346851,early_scout,preferred_final_label,0.04537153300800645,0.04537153300800645,1,conviction_curve,rebalance,1,2023-03-31,1,concentrated_alpha
2023-03-31,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,1.0,4.67155085040925,0.787306310160379,early_scout,preferred_final_label,0.013433936189081619,0.013433936189081619,1,conviction_curve,rebalance,1,2023-04-28,1,concentrated_alpha
2023-04-28,NOW,SERVICENOW INC,Information Technology,1.0,5.390841529084468,0.7168627361132398,early_scout,preferred_final_label,0.17201023282853312,0.17201023282853312,1,conviction_curve,rebalance,1,2023-05-31,1,concentrated_alpha
2023-05-31,NOW,SERVICENOW INC,Information Technology,1.0,5.786163996467275,0.833859786046711,early_scout,preferred_final_label,0.048709789912750656,0.048709789912750656,1,conviction_curve,rebalance,1,2023-06-30,1,concentrated_alpha
2023-06-30,NOW,SERVICENOW INC,Information Technology,1.0,4.6542737737863495,0.7836417654428329,early_scout,preferred_final_label,0.031006548206660378,0.031006548206660378,1,conviction_curve,rebalance,1,2023-07-31,1,concentrated_alpha
2023-07-31,MA,MASTERCARD INC CLASS A,Financials,1.0,5.541807321338069,0.7702188330011353,early_scout,preferred_final_label,0.050942201898642514,0.050942201898642514,1,conviction_curve,rebalance,1,2023-08-31,1,concentrated_alpha
2023-08-31,MA,MASTERCARD INC CLASS A,Financials,1.0,5.313428620837753,0.7975696535679693,early_scout,preferred_final_label,-0.04890774313912183,-0.04890774313912183,1,conviction_curve,rebalance,1,2023-09-29,1,concentrated_alpha
2023-09-29,MA,MASTERCARD INC CLASS A,Financials,1.0,5.6872385479851335,0.7620543232265797,early_scout,preferred_final_label,-0.0365371700225523,-0.0365371700225523,1,conviction_curve,rebalance,1,2023-10-31,1,concentrated_alpha
2023-10-31,CTRA,COTERRA ENERGY INC,Energy,1.0,3.0461767909455197,0.6811891133772503,early_scout,preferred_final_label,-0.039868912962154224,-0.039868912962154224,1,conviction_curve,rebalance,1,2023-11-30,1,concentrated_alpha
2023-11-30,LRCX,LAM RESEARCH CORP,Information Technology,1.0,4.707686261390311,0.7076906469258093,early_scout,preferred_final_label,0.0825271938873986,0.0825271938873986,1,conviction_curve,rebalance,1,2023-12-29,1,concentrated_alpha
