ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
AMD,-10391.040618896484,-0.10259587465980748
PENN,-7349.159673213959,-0.07256188213881164
NOW,-7092.551746368406,-0.0700282653755894
STM,-6091.173001289368,-0.06014115858954789
PCTY,-5490.659820556641,-0.05421199544971983
FTNT,-5333.448050498962,-0.052659766019824965
PAYC,-5013.378479003906,-0.049499561104466606
QRVO,-4867.01993560791,-0.0480544909402387
TSLA,-4514.593086242676,-0.04457480664389665
SHOP,-4511.555999755859,-0.044544819989435325
DXCM,-3981.7097244262695,-0.03931338609879836
SE,-2669.0402030944824,-0.026352751777400835
RNG,-2108.408950805664,-0.020817362609005602
PODD,-515.0000000000002,-0.00508484928388357
MA,-456.3329772949219,-0.004505600801573864
UI,-429.0198059082031,-0.004235924374454745
