ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
AMD,-10489.500625610352,-0.10464360961238527
PENN,-7418.839670181274,-0.07401059306177923
NOW,-7124.375743865967,-0.07107301106907342
STM,-6142.931699752808,-0.061282092409148926
PCTY,-5640.38981628418,-0.05626871774580513
FTNT,-5398.200051307678,-0.053852624537665233
PAYC,-5013.378372192383,-0.05001363057627439
QRVO,-4867.01993560791,-0.04855355391027644
SHOP,-4586.514999389648,-0.045755227270369035
TSLA,-4527.591751098633,-0.045167406971640574
DXCM,-4006.8397216796875,-0.03997236728230334
SE,-2687.520206451416,-0.026810791604575078
RNG,-1944.3333129882812,-0.019396734260537077
PODD,-515.0000000000002,-0.0051376572511756405
MA,-456.3328857421875,-0.0045523921541422395
UI,-439.482421875,-0.00438429136215597
