as_of_date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd
2026-06-23,AMAT,58.0,585.8800048828125,33981.040283203125,0.04274975667744515,351.6846400142902,13583.331162374292,5813.138044168677
2026-06-23,AVT,267.0,89.5999984741211,23923.199592590332,0.030096517146201644,69.68553969023662,5317.160495297154,-254.11357403441409
2026-06-23,CIEN,91.0,459.8500061035156,41846.35055541992,0.05264468919062315,386.8872217128145,6639.613379553804,18701.153530312535
2026-06-23,LITE,38.0,827.9199829101562,31460.959350585938,0.03957937561262218,560.0437779020799,10179.2957903069,32986.119583609725
2026-06-23,LRCX,80.0,371.3299865722656,29706.39892578125,0.037372055571471136,204.1726857738559,13372.584063872779,12929.390862069638
2026-06-23,MRVL,266.0,279.0400085449219,74224.64227294922,0.09337811232952303,164.9499969482422,30347.943084716797,0.0
2026-06-23,MU,82.0,1051.77001953125,86245.1416015625,0.10850046930143771,455.8087419629472,48868.82476060083,22191.5021445162
2026-06-23,ON,299.0,117.05999755859375,35000.93927001953,0.04403283786503098,103.02999877929688,4194.969635009766,-3583.5814877033245
2026-06-23,ONTO,124.0,315.8800048828125,39169.12060546875,0.04927660722561767,266.8216483542888,6083.236209536939,1734.528187664598
2026-06-23,PR,1542.0,19.18000030517578,29575.560470581055,0.03720745460348294,21.13935968322358,-3021.332160949707,353.2699330329895
2026-06-23,RVMD,226.0,169.50999450683594,38309.25875854492,0.04819486033306058,99.91315967100253,15728.884672898348,8508.768694868988
2026-06-23,SEB,3.0,4888.0,14664.0,0.018448005908398412,4832.988411458334,165.03476562499782,2698.9760156249986
2026-06-23,SNDK,56.0,1963.5999755859375,109961.5986328125,0.13833689452230358,791.4642112298955,65639.60280393835,2411.614348161254
2026-06-23,STM,645.0,72.43000030517578,46717.35019683838,0.05877263723786089,55.68721008300781,10799.09969329834,-3169.805083470344
2026-06-23,TER,49.0,420.1199951171875,20585.879760742188,0.02589801087396012,193.70949413416315,11094.114548168192,30014.09505525588
2026-06-23,TPL,42.0,369.8999938964844,15535.799743652344,0.019544771239947693,506.44841370230245,-5735.033631844359,5920.331261620356
2026-06-23,UI,34.0,563.030029296875,19143.02099609375,0.02408282627117651,1018.4410400390625,-15483.974365234375,-810.4095348358154
2026-06-23,WDC,141.0,670.75,94575.75,0.11898076887555994,273.85012579026255,55962.88226357298,43527.808935844136
