ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
AMD,17022.100440979004,0.1341676772650928,6298.319828033447,0.0681712007135038,-10723.780612945557
NOW,14451.887741088867,0.1139093390407843,7065.263996124268,0.0764723836077512,-7386.6237449646
PENN,8050.699668884277,0.0634553696048413,673.4799971580505,0.0072895536137177,-7377.219671726227
CZR,7361.699676513672,0.0580246926485776,0.0,0.0,-7361.699676513672
UI,5677.072357177734,0.0447465114231575,0.0,0.0,-5677.072357177734
PCTY,6737.849807739258,0.053107526982342,1097.459991455078,0.0118785910203426,-5640.38981628418
FTNT,6627.520042419434,0.0522379111322012,1254.9279918670654,0.0135829793262937,-5372.592050552368
PAYC,6326.199951171875,0.0498629153497379,1312.8208618164062,0.0142095950849331,-5013.379089355469
QRVO,6254.399871826172,0.0492969893110176,1314.3599395751953,0.0142262536195381,-4940.039932250977
SHOP,7496.297882080078,0.0590855916056428,2964.103881835937,0.0320826071367363,-4532.194000244141
TSLA,7645.166397094727,0.0602589687071746,3202.817310333252,0.0346663725680608,-4442.349086761475
DXCM,7948.279800415039,0.0626480993207797,4014.360076904297,0.0434502778536044,-3933.919723510742
SE,7168.000106811523,0.0564979585393356,4531.679901123047,0.0490495987094496,-2636.3202056884766
RNG,7686.964080810547,0.0605884167772678,5578.555603027344,0.0603806799414567,-2108.408477783203
