portfolio,as_of_date,order_batch_id,client_order_id,ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,preview_status,lifecycle_status,source_orders_preview
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-S-BKNG-ae37deb536a9,BKNG,SELL,54.0,155.02999877929688,154.64242378234863,8371.619934082031,20.92904983520508,8350.690884246826,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-S-RGLD-b9a8fcfcd8f1,RGLD,SELL,32.0,244.9900054931641,244.3775304794312,7839.68017578125,19.599200439453124,7820.080975341797,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-S-THC-e0ced731a1c2,THC,SELL,38.0,195.8600006103516,195.3703506088257,7442.680023193359,18.6067000579834,7424.073323135376,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-S-VZ-2750fed3a1e4,VZ,SELL,140.0,47.209999084472656,47.09197408676148,6609.399871826172,16.52349967956543,6592.876372146607,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-GEV-2d88578b655a,GEV,BUY,40.0,1062.5699462890625,1065.226371154785,42502.7978515625,106.25699462890626,-42609.05484619141,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-GOOG-a66d9efc9a4d,GOOG,BUY,58.0,399.0400085449219,400.0376085662842,23144.32049560547,57.86080123901368,-23202.181296844483,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-MRVL-0c965a5a613a,MRVL,BUY,116.0,177.9499969482422,178.39487194061277,20642.199645996094,51.60549911499024,-20693.805145111084,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-AMD-2850146d0ae8,AMD,BUY,46.0,445.5,446.61375,20493.0,51.2325,-20544.2325,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-WDC-ba4b66db2b91,WDC,BUY,38.0,494.0899963378906,495.3252213287353,18775.419860839844,46.93854965209961,-18822.358410491943,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-FIX-54c2ad6dd80e,FIX,BUY,9.0,2034.6300048828125,2039.7165798950195,18311.670043945312,45.77917510986328,-18357.449219055172,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-UMC-3999d3ff5523,UMC,BUY,1131.0,15.920000076293944,15.95980007648468,18005.520086288452,45.01380021572113,-18050.53388650417,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-CBOE-be828619417f,CBOE,BUY,47.0,366.7000122070313,367.6167622375488,17234.90057373047,43.08725143432617,-17277.987825164793,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-13,b1ae4aa108e262abcd9edb7a133e7dd18d46730baf4150a5bff9d02c3fa19440,r1k-M-20260513-B-HPE-e263f72c7806,HPE,BUY,455.0,32.06999969482422,32.15017469406128,14591.84986114502,36.47962465286255,-14628.329485797882,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
