rebalance_date,selected_theme,selected_tickers,n_positions,invested_weight,cash_weight,gross_return,turnover,cost,net_return,equity,drawdown
2019-04-30,ai_compute_semiconductors,"QCOM,AVGO,AMAT",3,1.0,0.0,-0.18401209890953973,0.5,0.0025,-0.18651209890953974,0.8134879010904603,-0.18651209890953968
2019-05-31,financials,"PYPL,V,MKTX",3,1.0,0.0,0.059118512795640316,1.0,0.005,0.05411851279564032,0.857512656474723,-0.14248734352527703
2019-06-28,ai_compute_semiconductors,"QCOM,AMAT,TER",3,1.0,0.0,0.011457120482095016,1.0,0.005,0.006457120482095016,0.8630497190125017,-0.13695028098749829
2019-07-31,health_care,"MDT,EW,HUM",3,1.0,0.0,0.029264462746600967,1.0,0.005,0.024264462746600966,0.8839911567679449,-0.11600884323205507
2019-08-30,consumer_staples,"TGT,COST,DG",3,1.0,0.0,-0.020550795053229532,1.0,0.005,-0.025550795053229533,0.8614044798924999,-0.1385955201075001
2019-09-30,information_technology,"DOCU,TYL,AAPL",3,1.0000000000000002,0.0,0.05357902707245779,1.0,0.005,0.048579027072457794,0.903250671441534,-0.09674932855846596
2019-10-31,consumer_discretionary,"BKNG,HD,LULU",3,0.9999999999999999,1.1102230246251565e-16,-0.06257399304716933,1.0,0.005,-0.06757399304716934,0.8422144168496928,-0.15778558315030722
2019-11-29,information_technology,"AAPL,QRVO,UI",3,1.0,0.0,0.10373995237516177,1.0,0.005,0.09873995237516177,0.9253746282591061,-0.0746253717408939
2019-12-31,ai_compute_semiconductors,"AMD,INTC,AMAT",3,0.9999999999999999,1.1102230246251565e-16,0.0016695405605882813,1.0,0.005,-0.003330459439411719,0.9222927055934285,-0.07770729440657154
2020-01-31,information_technology,"ADBE,AAPL,NOW",3,1.0,0.0,-0.005792799034598031,1.0,0.005,-0.010792799034598032,0.9123385857708829,-0.08766141422911711
2020-02-28,information_technology,"ADBE,ENPH,NOW",3,1.0,0.0,-0.13151529983507393,0.25955092333736796,0.0012977546166868398,-0.13281305445176078,0.7911681115004523,-0.2088318884995477
2020-03-31,health_care,"GILD,QGEN,VRTX",3,1.0,0.0,0.06708312793884233,1.0,0.005,0.06208312793884233,0.8402863025878671,-0.15971369741213293
2020-04-30,consumer_discretionary,"AMZN,ETSY,EBAY",3,1.0,0.0,0.1427305797525662,1.0,0.005,0.1377305797525662,0.9560194222014343,-0.04398057779856568
2020-05-29,internet,"MELI,SE,PDD",3,1.0,0.0,0.25530984067403434,1.0,0.005,0.25030984067403433,1.1953204914539577,0.0
2020-06-30,internet,"SE,MELI,PDD",3,1.0,0.0,0.12051565656089094,0.24850764895245514,0.0012425382447622758,0.11927311831612866,1.3378900938568385,0.0
2020-07-31,consumer_discretionary,"ETSY,TSLA,AMZN",3,1.0,0.0,0.2595441995880098,1.0,0.005,0.2545441995880098,1.678442256934355,0.0
2020-08-31,consumer_discretionary,"TSLA,AMZN,ETSY",3,1.0,0.0,-0.09676983943828621,0.4551462901936008,0.0022757314509680043,-0.09904557088925421,1.5121999853916432,-0.09904557088925436
2020-09-30,consumer_discretionary,"HD,TSLA,NKE",3,1.0,0.0,-0.05008127435556962,0.66308144001589,0.00331540720007945,-0.05339668155564907,1.4314535243232285,-0.14715354763663246
2020-10-30,information_technology,"ZM,ENPH,OLED",3,1.0,0.0,0.05859568237582756,1.0,0.005,0.05359568237582756,1.5081732527486151,-0.10144466006041408
2020-11-30,ai_compute_semiconductors,"LRCX,QCOM,AMAT",3,1.0,0.0,0.03678569646942924,1.0,0.005,0.03178569646942924,1.5561115899837943,-0.07288345276410968
2020-12-31,information_technology,"ENPH,AAPL,DLB",3,1.0,0.0,0.0519205110711909,1.0,0.005,0.046920511071190905,1.6291251410696375,-0.029382670545243683
2021-01-29,ai_compute_semiconductors,"AMAT,INTC,QCOM",3,1.0,0.0,0.11556147302088396,1.0,0.005,0.11056147302088395,1.8092436164016519,0.0
2021-02-26,ai_compute_semiconductors,"AMAT,INTC,LRCX",3,1.0,0.0,0.02941381998379029,0.11859451371967743,0.0005929725685983871,0.028820847415191902,1.8613875506068738,0.0
2021-03-31,ai_compute_semiconductors,"AMAT,INTC,LRCX",3,1.0,0.0,-0.05562413422738856,0.03536517924215864,0.0001768258962107932,-0.05580096012359935,1.7575203381208953,-0.055800960123599364
2021-04-30,financials,"V,MA,MSCI",3,1.0,0.0,-0.037202628356865136,1.0,0.005,-0.042202628356865134,1.6833483604615471,-0.095648641298412
2021-05-28,financials,"BAC,NDAQ,TROW",3,1.0,0.0,0.003800002084534881,1.0,0.005,-0.001199997915465119,1.6813283459379917,-0.09673386104370196
2021-06-30,software_ai_platforms,"SHOP,MDB,CRWD",3,1.0,0.0,0.016726173977988302,1.0,0.005,0.011726173977988301,1.701043894636584,-0.08614200514987458
