rebalance_date,selected_theme,selected_tickers,n_positions,invested_weight,cash_weight,gross_return,turnover,cost,net_return
2022-08-31,information_technology,"FSLR,ENPH,ANET",3,1.0,0.0,0.030831758047991938,0.08871111616738614,0.0004435555808369307,0.030388202467155005
2022-09-30,health_care,"BIIB,SRPT,APLS",3,1.0,0.0,0.04191317993018892,1.0,0.005,0.03691317993018892
2022-10-31,energy,"FANG,DVN,XOM",3,1.0,0.0,-0.057522377223547416,1.0,0.005,-0.06252237722354742
2022-11-30,ai_compute_semiconductors,"MCHP,LSCC,LRCX",3,1.0,0.0,-0.0980294390027727,1.0,0.005,-0.1030294390027727
2022-12-30,health_care,"GILD,ISRG,A",3,1.0,0.0,-0.037723061368556694,1.0,0.005,-0.04272306136855669
2023-01-31,ai_compute_semiconductors,"LRCX,AVGO,AMAT",3,0.9999999999999999,1.1102230246251565e-16,0.023716841508036497,0.9999999999999999,0.004999999999999999,0.0187168415080365
2023-02-28,consumer_discretionary,"BKNG,ABNB,MGM",3,1.0,0.0,0.008970691214035716,1.0,0.005,0.0039706912140357155
2023-03-31,information_technology,"AAPL,MSFT,ANET",3,0.9999999999999999,1.1102230246251565e-16,-0.0036246871900238314,1.0,0.005,-0.008624687190023832
2023-04-28,health_care,"ISRG,SYK,WST",3,1.0,0.0,-0.035438708943686184,1.0,0.005,-0.04043870894368618
2023-05-31,information_technology,"ADBE,NOW,AAPL",3,1.0,0.0,0.12462684674210733,1.0,0.005,0.11962684674210733
2023-06-30,information_technology,"ADBE,AAPL,PANW",3,1.0,0.0,0.05288390678592134,0.2508848645548995,0.0012544243227744975,0.051629482463146845
2023-07-31,ai_compute_semiconductors,"ON,MRVL,AVGO",3,1.0,0.0,-0.09785549540974105,1.0,0.005,-0.10285549540974105
2023-08-31,information_technology,"ADBE,INTU,ANET",3,1.0,0.0,-0.07180836441417987,1.0,0.005,-0.07680836441417987
2023-09-29,energy,"FANG,XOM,PSX",3,1.0,0.0,-0.025206941570758944,1.0,0.005,-0.030206941570758945
