rebalance_date,policy,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,baseline_recommendation_count,carried_count,equity,drawdown
2019-04-30,lifecycle_review_main,-0.04736068371270698,0.002475,0.495,-0.049835683712706975,0.010000000000000009,3,"NOW,CDNS,V",18,0,0.950164316287293,-0.04983568371270697
2019-05-31,lifecycle_review_main,0.08480488192005231,0.001204152539591719,0.2408305079183438,0.08360072938046059,0.28,6,"NOW,CDNS,V,SHOP,HEI,PYPL",18,1,1.0295987461601974,0.0
2019-06-28,lifecycle_review_main,0.030047035642458888,0.001157843549635327,0.2315687099270654,0.028889192092823562,0.0,9,"NOW,CDNS,V,SHOP,HEI,PYPL,ADBE,MKTX,HD",26,1,1.0593430221165496,0.0
2019-07-31,lifecycle_review_main,0.0024637100329239934,0.0008531382999662212,0.17062765999324422,0.0016105717329577723,0.0,12,"NOW,CDNS,V,SHOP,HEI,PYPL,ADBE,MKTX,HD,CTAS,MA,CBRE",18,2,1.0610491700434765,0.0
2019-08-30,lifecycle_review_main,-0.05323400497155561,0.00037759578887141653,0.07551915777428331,-0.05361160076042702,0.0,12,"NOW,CDNS,V,SHOP,HEI,ADBE,MKTX,HD,CTAS,MA,CBRE,DG",18,6,1.0041646255519232,-0.053611600760427036
2019-09-30,lifecycle_review_main,0.0036654627720562275,0.003124367478049308,0.6248734956098616,0.0005410952940069196,0.0,11,"SHOP,HEI,ADBE,MKTX,CTAS,MA,CBRE,DG,MLM,NEE,DUK",18,6,1.0047079743052174,-0.053099514451295904
2019-10-31,lifecycle_review_main,0.00257246438559535,0.00365567363496688,0.731134726993376,-0.0010832092493715303,0.0,10,"ADBE,CTAS,CBRE,DG,MLM,NEE,DUK,AAPL,BKNG,COST",31,2,1.0036196653345326,-0.05412520581547675
2019-11-29,lifecycle_review_main,0.06468818549634517,0.0017781407911740218,0.35562815823480437,0.06291004470517114,0.0,12,"ADBE,CTAS,DG,MLM,NEE,DUK,AAPL,BKNG,COST,UNH,BAC,NVDA",38,2,1.066757423347717,0.0
2019-12-31,lifecycle_review_main,0.04399528768666825,0.0004217380229644368,0.08434760459288736,0.04357354966370382,0.0,12,"ADBE,CTAS,MLM,AAPL,BKNG,COST,UNH,BAC,NVDA,TSLA,AMD,AVGO",18,6,1.1132398309130835,0.0
2020-01-31,lifecycle_review_main,-0.013628055728003532,0.0011164580886726212,0.22329161773452424,-0.014744513816676155,0.0,12,"ADBE,CTAS,AAPL,BKNG,COST,UNH,BAC,NVDA,TSLA,AMD,AVGO,CPRT",18,6,1.0968256508449112,-0.014744513816676297
2020-02-28,lifecycle_review_main,-0.06166440850306349,0.0021128723445409826,0.4225744689081965,-0.06377728084760448,0.28,10,"ADBE,AAPL,NVDA,TSLA,AMD,AVGO,CPRT,XYZ,NOW,SHOP",18,2,1.0268730932701187,-0.0775814296656333
2020-03-31,lifecycle_review_main,0.13201050429504188,0.0016863733822973979,0.33727467645947956,0.13032413091274447,0.4,10,"ADBE,NVDA,TSLA,AMD,XYZ,NOW,SHOP,VRTX,JD,DXCM",18,2,1.1606994367082286,0.0
2020-04-30,lifecycle_review_main,0.15030569628319343,0.002106103717912953,0.4212207435825906,0.14819959256528048,0.0,12,"ADBE,NVDA,AMD,XYZ,NOW,SHOP,VRTX,JD,DXCM,AMZN,ZTO,DPZ",28,1,1.3327146203191385,0.0
2020-05-29,lifecycle_review_main,0.09631302012250609,0.0008240321460993348,0.16480642921986696,0.09548898797640676,0.0,12,"ADBE,NVDA,AMD,XYZ,NOW,SHOP,VRTX,JD,DXCM,AMZN,ZTO,DPZ",18,4,1.459974190674774,0.0
