portfolio_kind,ticker,entry_date,entry_signal_date,entry_reason,quantity_open,entry_price,entry_value_usd,entry_fee_unrealized_usd,entry_target_weight,fill_mode,entry_regime_state,entry_sleeve,entry_signal_breakdown,entry_name,entry_sector,entry_industry_group,entry_source_universe,entry_score,entry_raw_score,entry_sleeve_role,entry_selection_path,entry_candidate_gate_label,entry_candidate_minimum_pass,entry_defensive_rotation_action,entry_monster_early_score,entry_stale_mega_leader_score,entry_stale_leader_reason,entry_risk_entry_block_score,entry_theme_phase,entry_theme_horizon,entry_theme_holding_profile,entry_theme_short_cycle_flag,entry_theme_structural_growth,entry_style_regime,entry_regime_state_score,entry_rs_acceleration_score,entry_h6_dynamic_leader_score,entry_explosion_entry_score,entry_explosion_exit_score,entry_explosion_net_score,entry_quality_score,entry_concentrated_score,entry_selection_confirmation_score,entry_ml_technical_agreement_score,entry_trend_template_full,entry_breakout_setup_quality_score,entry_volatility_contraction_score,entry_oneil_leadership_score,entry_industry_group_strength_score,entry_future_winner_scout_score,entry_profitability_inflection_score,entry_market_cap_live,entry_mktcap,entry_dollar_vol_20d,entry_current_price_live,entry_px
main,AMD,2026-05-14,2026-05-14,target_rebalance,29.0,449.5799865722656,13037.819610595703,32.59454902648926,0.04,next_close,unknown,unknown,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,LRCX,2025-10-01,2025-09-30,target_rebalance,32.0,142.38470458984375,4556.310546875,14.950393981933594,0.0666193600273672,next_close,neutral,future_winner,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 1.0, ""rs_acceleration_score"": 0.7516312314562443, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 1.15, ""theme_phase_multiplier_primary"": 1.15}",LAM RESEARCH CORP,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,5.644520866516778,5.644520866516778,,,future_relaxed,True,promote_monster_early,0.6248357196647183,0.0,,0.1083333333333333,,structural_growth,long_duration,0.0,1.0,balanced,0.0,0.7516312314562443,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.5093738898440227,-0.0133960318440815,1.073867207147725,2.384668017869313,1.824777165644452,0.9854688166010946,,174079162874.5575,1395329693.6044693,,133.5199432373047
main,LRCX,2025-11-03,2025-10-31,target_rebalance,18.0,160.7823486328125,2894.082275390625,7.235205688476562,0.0830459496450515,next_close,neutral,future_winner,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 1.0, ""rs_acceleration_score"": 0.8164853938980263, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 0.95, ""theme_phase_multiplier_primary"": 0.95}",LAM RESEARCH CORP,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,5.565672842962069,5.565672842962069,,,future_relaxed,True,promote_monster_early,0.6448176907544189,0.0,,0.1083333333333333,,structural_growth,long_duration,0.0,1.0,quality_compounder,0.0,0.8164853938980263,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.4786890205511546,-0.1450664093805893,0.7466666666666668,2.944757786338193,2.258448309643297,0.917394395846012,,204708782103.28677,1671884535.0722504,,157.01307678222656
main,LRCX,2025-12-01,2025-11-28,target_rebalance,23.0,154.35064697265625,3550.0648803710938,8.875162200927734,0.0981001226415192,next_close,bull,future_winner,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 1.0, ""rs_acceleration_score"": -0.3137429853535947, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 0.95, ""theme_phase_multiplier_primary"": 0.95}",LAM RESEARCH CORP,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,6.067599739632251,6.067599739632251,,,future_relaxed,True,promote_monster_early,0.5820693007532659,0.0,,0.2416666666666667,,structural_growth,long_duration,0.0,1.0,quality_compounder,1.0,-0.3137429853535947,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.1953136434369527,-0.1134161350095854,0.7466666666666668,2.628871506019117,1.7860570073173336,0.5964355462675647,,202810681760.5896,1717301337.508545,,155.55722045898438
main,GOOG,2026-05-14,2026-05-14,target_rebalance,132.0,397.239990234375,52435.6787109375,131.08919677734374,0.1600947876494211,next_close,unknown,unknown,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,PWR,2026-05-14,2026-05-14,target_rebalance,27.0,775.489990234375,20938.229736328125,52.34557434082031,0.0640038777021894,next_close,unknown,unknown,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,ON,2026-05-14,2026-05-14,target_rebalance,110.0,118.91999816894533,13081.199798583986,32.70299949645996,0.04,next_close,unknown,unknown,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,STM,2026-05-14,2026-05-14,target_rebalance,203.0,64.78820037841797,13152.004676818848,32.88001169204712,0.04,next_close,unknown,unknown,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,MLI,2026-05-14,2026-05-14,target_rebalance,94.0,140.1300048828125,13172.220458984375,32.93055114746094,0.04,next_close,unknown,unknown,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,VRT,2026-03-02,2026-02-27,target_rebalance,35.0,257.68865966796875,9019.103088378906,22.547757720947267,0.0320722006889518,next_close,neutral,future_winner,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.2885805335340521, ""rs_acceleration_score"": -2.5745513039450474, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 1.05, ""theme_phase_multiplier_primary"": 0.95}",VERTIV HOLDINGS CLASS A,Industrials,Capital Goods - Machinery,current_constituents_proxy+strategic_global_hardware,4.701784322620624,4.701784322620624,,,future_relaxed,True,neutral,0.5175597596460975,0.0,,0.2416666666666667,,structural_growth,long_duration,0.0,1.0,quality_compounder,0.0,-2.5745513039450474,0.2885805335340521,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.1975903668668963,-0.4050643000191347,0.2422749669691652,0.4900270662037996,1.4595618895100233,0.9799710102954848,,97485903970.72266,1583323870.682068,,254.829345703125
main,VRT,2026-05-14,2026-05-14,target_rebalance,24.0,373.9800109863281,8975.520263671875,22.438800659179687,0.0670388228693628,next_close,unknown,unknown,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,CBOE,2026-05-14,2026-05-14,target_rebalance,57.0,364.8699951171875,20797.589721679688,51.99397430419922,0.0637261916308472,next_close,unknown,unknown,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
