alpha_selector_variant,status,portfolio_kind,cagr,max_dd,sharpe,avg_cash_weight,trade_count,target_distance,market_circuit_grid_variant,trigger_mode,valid_for_production,source_target_book
future_heavy_N2_cap0.5,completed,main,0.23251823786214554,-0.22882979788393065,0.8956104008320681,0.07209683677616265,649,0.1463115600217851,ma50_200_caution_0p90_crisis_0p70,ma50_200,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/alpha_selector_broker_grid/main/future_heavy_N2_cap0.5/target_book.csv
future_heavy_N2_cap0.4,completed,main,0.18781300215328378,-0.18700079139953607,0.8693361694672863,0.25617394531738397,649,0.14918778924625228,ma50_200_caution_0p90_crisis_0p70,ma50_200,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/alpha_selector_broker_grid/main/future_heavy_N2_cap0.4/target_book.csv
future_heavy_N2_cap0.33,completed,main,0.1559606001053382,-0.15646380766922252,0.8425783682358882,0.3859358842085857,648,0.15050320756388433,ma50_200_caution_0p90_crisis_0p70,ma50_200,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/alpha_selector_broker_grid/main/future_heavy_N2_cap0.33/target_book.csv
monster_heavy_N2_cap0.33,completed,main,0.13439900992121112,-0.161832801052056,0.7702296366874004,0.39289555329488224,559,0.17743379113084487,ma50_caution_0p90_crisis_0p70,ma50,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/alpha_selector_broker_grid/main/monster_heavy_N2_cap0.33/target_book.csv
