portfolio,rejection_reason,binding_constraint,count
concentrated,candidate_gate,candidate_gate,829
concentrated,cash,cash_binding,823
concentrated,cap_or_replacement,cap_binding,281
main,candidate_gate,candidate_gate,783
main,cash,cash_binding,646
main,cap_or_replacement,cap_binding,346
