fill_date,gross_value,portfolio,price_return,reason,relative_return,signal_date,ticker
2019-05-06,5010.060241699219,main,-0.0899528622569795,daily_hard_stop_exit,-0.0968242366665519,2019-05-03,W
2019-05-14,5995.566036224365,main,-0.0800252389906555,daily_hard_stop_exit,-0.0441578455815878,2019-05-13,AVGO
2019-06-04,4481.369853973389,main,-0.0814349666087032,daily_hard_stop_exit,-0.0237589820440548,2019-06-03,NOW
2019-06-24,675.8820133209229,main,0.0054780844892448,weekly_relative_trim,-0.0655172225141912,2019-06-21,ORLY
2019-07-08,1759.8406448364258,main,-0.0588981336294921,weekly_relative_trim,-0.0677272876959416,2019-07-05,AVGO
2019-07-08,142.6292266845703,main,0.0112375299353097,weekly_relative_trim,-0.0742092765631756,2019-07-05,PEG
2019-07-09,1786.6930561065674,main,-0.0845348823355442,daily_hard_stop_exit,-0.0881128046042083,2019-07-08,AVGO
2019-08-05,4499.088073730469,main,-0.0036390396846586,weekly_relative_trim,-0.0696237117406733,2019-08-02,V
2019-08-05,2788.549934387207,main,-0.1405285800329389,daily_hard_stop_exit,-0.1340079802037216,2019-08-02,XYZ
2019-08-06,3238.3800659179688,main,-0.0896046253646054,daily_hard_stop_exit,-0.0542560533024431,2019-08-05,EPAM
2019-08-06,7118.511871337891,main,-0.0941765755035508,daily_hard_stop_exit,-0.0563884508565593,2019-08-05,NOW
2019-08-15,3532.199935913086,main,-0.0851376034797878,daily_hard_stop_exit,-0.0498832859837929,2019-08-14,CBRE
2019-08-15,4769.7845458984375,main,-0.0944357289751942,daily_hard_stop_exit,-0.0569241304368148,2019-08-14,ORCL
2019-08-15,232.44068336486816,main,-0.0973690592971413,daily_hard_stop_exit,-0.0599789694279289,2019-08-14,TSCO
2019-09-11,5525.408912658691,main,0.2212879826906022,daily_trailing_stop_exit,0.1896124409098274,2019-09-10,SHOP
2019-09-12,5642.831573486328,main,-0.0907812787778216,daily_hard_stop_exit,-0.1206165532453946,2019-09-11,AMT
2019-09-16,3276.652992248535,main,-0.0489765905336746,weekly_relative_trim,-0.0661279697444159,2019-09-13,ELS
2019-09-16,3290.4899711608887,main,-0.0433594132741126,weekly_relative_trim,-0.0762442373814753,2019-09-13,NOW
2019-09-23,1596.6302947998047,main,-0.0379969152714865,weekly_relative_trim,-0.0666250333750161,2019-09-20,EL
2019-09-30,1754.8872966766355,main,-0.0553480028855081,weekly_relative_trim,-0.0745235953752269,2019-09-27,JD
2019-10-14,70.9876937866211,main,-0.0489022063459226,weekly_relative_trim,-0.0709765094475106,2019-10-11,ABT
2019-10-22,182.6719970703125,main,-0.0853519343642633,daily_hard_stop_exit,-0.1176290915735555,2019-10-21,NOW
2019-10-28,2393.380096435547,main,0.0397757718324909,weekly_relative_trim,-0.0623231567434506,2019-10-25,MA
2019-10-28,1953.6448287963867,main,-0.0361809924892994,weekly_relative_trim,-0.0628976169377495,2019-10-25,SBUX
2019-11-04,705.2409057617188,main,-0.0243106202106705,weekly_relative_trim,-0.0654243976277,2019-11-01,AMT
2019-11-04,314.9209671020508,main,-0.0230627485048294,weekly_relative_trim,-0.0642291089678792,2019-11-01,WRB
2019-11-05,1353.04541015625,main,-0.0811892578020058,daily_hard_stop_exit,-0.1348958397972902,2019-11-04,EL
2019-11-11,846.0365295410156,main,-0.0350163533728165,weekly_relative_trim,-0.0960392811782213,2019-11-08,AEP
2019-11-11,5286.004493713379,main,-0.0509565961760173,weekly_relative_trim,-0.1109715066029098,2019-11-08,BKNG
2019-11-11,2368.85368347168,main,-0.0519757571086132,weekly_relative_trim,-0.111926218584242,2019-11-08,DUK
2019-11-11,343.8475646972656,main,-0.0376552585410852,weekly_relative_trim,-0.0865612071572189,2019-11-08,LHX
2019-11-11,489.7361145019531,main,-0.0415609146497448,weekly_relative_trim,-0.0902683794910591,2019-11-08,MLM
2019-11-11,9581.095336914062,main,-0.0101899295752025,weekly_relative_exit,-0.1285899105698127,2019-11-08,V
2019-11-18,5124.2773361206055,main,-0.0662944612611182,weekly_relative_exit,-0.1333346585702871,2019-11-15,BKNG
2019-11-18,2492.3435668945312,main,-0.0563416624723167,weekly_relative_exit,-0.124096472222878,2019-11-15,DUK
