rebalance_date,source_rebalance_date,state,multiplier,stock_weight_sum
2019-05-31,2019-05-31,normal,1.0,1.0
2019-06-28,2019-06-28,normal,1.0,0.9999999999999999
2019-07-31,2019-07-31,normal,1.0,1.0
2019-08-30,2019-08-30,normal,1.0,1.0
2019-09-30,2019-09-30,normal,1.0,1.0
2019-10-31,2019-10-31,normal,1.0,1.0
2019-11-29,2019-11-29,normal,1.0,1.0
2019-12-31,2019-12-31,normal,1.0,1.0
2020-01-31,2020-01-31,normal,1.0,1.0
2020-02-25,2020-01-31,caution,0.8,0.8
2020-02-28,2020-02-28,caution,0.8,0.8
2020-03-09,2020-02-28,crisis,0.5,0.5
2020-03-26,2020-02-28,normal,1.0,1.0
2020-03-27,2020-02-28,crisis,0.5,0.5
2020-03-30,2020-02-28,caution,0.8,0.8
2020-03-31,2020-03-31,normal,1.0,1.0
2020-04-01,2020-03-31,crisis,0.5,0.5
2020-04-02,2020-03-31,normal,1.0,1.0
2020-04-30,2020-04-30,normal,1.0,1.0
2020-05-01,2020-04-30,caution,0.8,0.8
2020-05-08,2020-04-30,normal,1.0,1.0
2020-05-29,2020-05-29,normal,1.0,1.0
2020-06-03,2020-05-29,caution,0.8,0.8
2020-06-15,2020-05-29,crisis,0.5,0.5
2020-06-30,2020-06-30,caution,0.8,0.8
2020-07-01,2020-06-30,normal,1.0,1.0
2020-07-31,2020-07-31,normal,1.0,1.0
2020-08-31,2020-08-31,normal,1.0,0.9999999999999999
2020-09-08,2020-08-31,caution,0.8,0.7999999999999999
2020-09-23,2020-08-31,crisis,0.5,0.49999999999999994
2020-09-30,2020-09-30,caution,0.8,0.8
2020-10-01,2020-09-30,normal,1.0,1.0
2020-10-26,2020-09-30,caution,0.8,0.8
2020-10-30,2020-10-30,caution,0.8,0.8
2020-11-03,2020-10-30,normal,1.0,1.0
2020-11-30,2020-11-30,normal,1.0,0.9999999999999999
2020-12-18,2020-11-30,caution,0.8,0.7999999999999999
2020-12-28,2020-11-30,normal,1.0,0.9999999999999999
2020-12-31,2020-12-31,normal,1.0,1.0
2021-01-29,2021-01-29,normal,1.0,1.0
2021-02-26,2021-02-26,normal,1.0,0.9999999999999999
2021-03-31,2021-03-31,normal,1.0,0.9999999999999999
2021-04-30,2021-04-30,normal,1.0,0.9999999999999999
2021-05-28,2021-05-28,normal,1.0,0.9999999999999999
2021-06-30,2021-06-30,normal,1.0,1.0
2021-07-30,2021-07-30,normal,1.0,1.0
2021-08-31,2021-08-31,normal,1.0,1.0
2021-09-28,2021-08-31,caution,0.8,0.8
2021-09-30,2021-09-30,caution,0.8,0.8
2021-10-01,2021-09-30,crisis,0.5,0.5
2021-10-18,2021-09-30,caution,0.8,0.8
2021-10-19,2021-09-30,normal,1.0,1.0
2021-10-29,2021-10-29,normal,1.0,1.0
2021-11-30,2021-11-30,normal,1.0,1.0
2021-12-01,2021-11-30,caution,0.8,0.8
2021-12-02,2021-11-30,normal,1.0,1.0
2021-12-31,2021-12-31,normal,1.0,1.0
2022-01-10,2021-12-31,caution,0.8,0.8
2022-01-25,2021-12-31,crisis,0.5,0.5
2022-01-31,2022-01-31,crisis,0.5,0.5
2022-02-16,2022-01-31,caution,0.8,0.8
2022-02-17,2022-01-31,normal,1.0,1.0
2022-02-24,2022-01-31,caution,0.8,0.8
2022-02-25,2022-01-31,normal,1.0,1.0
2022-02-28,2022-02-28,normal,1.0,1.0
2022-03-07,2022-02-28,crisis,0.5,0.5
2022-03-16,2022-02-28,caution,0.8,0.8
2022-03-17,2022-02-28,normal,1.0,1.0
2022-03-31,2022-03-31,normal,1.0,1.0
2022-04-29,2022-04-29,normal,1.0,1.0
2022-05-02,2022-04-29,caution,0.8,0.8
2022-05-04,2022-04-29,normal,1.0,1.0
2022-05-05,2022-04-29,caution,0.8,0.8
2022-05-12,2022-04-29,crisis,0.5,0.5
2022-05-17,2022-04-29,caution,0.8,0.8
2022-05-18,2022-04-29,crisis,0.5,0.5
2022-05-19,2022-04-29,caution,0.8,0.8
2022-05-23,2022-04-29,normal,1.0,1.0
2022-05-31,2022-05-31,normal,1.0,1.0
2022-06-13,2022-05-31,caution,0.8,0.8
2022-06-24,2022-05-31,normal,1.0,1.0
2022-06-30,2022-06-30,normal,1.0,1.0
2022-07-22,2022-06-30,caution,0.8,0.8
2022-07-29,2022-07-29,normal,1.0,1.0
2022-08-31,2022-08-31,normal,1.0,1.0
2022-09-23,2022-08-31,caution,0.8,0.8
2022-09-27,2022-08-31,normal,1.0,1.0
2022-09-30,2022-09-30,normal,1.0,1.0
2022-10-31,2022-10-31,normal,1.0,0.9999999999999999
2022-11-30,2022-11-30,normal,1.0,1.0
2022-12-15,2022-11-30,caution,0.8,0.8
2022-12-30,2022-12-30,normal,1.0,0.9999999999999999
2023-01-31,2023-01-31,normal,1.0,1.0
2023-02-16,2023-01-31,caution,0.8,0.8
2023-02-28,2023-02-28,caution,0.8,0.8
2023-03-02,2023-02-28,normal,1.0,1.0
2023-03-15,2023-02-28,caution,0.8,0.8
2023-03-22,2023-02-28,normal,1.0,1.0
2023-03-31,2023-03-31,normal,1.0,1.0
2023-04-28,2023-04-28,normal,1.0,1.0
2023-05-31,2023-05-31,normal,1.0,1.0
2023-06-30,2023-06-30,normal,1.0,1.0
2023-07-31,2023-07-31,normal,1.0,1.0
2023-08-10,2023-07-31,caution,0.8,0.8
2023-08-24,2023-07-31,crisis,0.5,0.5
2023-08-29,2023-07-31,caution,0.8,0.8
2023-08-30,2023-07-31,normal,1.0,1.0
2023-08-31,2023-08-31,normal,1.0,1.0
2023-09-22,2023-08-31,caution,0.8,0.8
2023-09-27,2023-08-31,normal,1.0,1.0
2023-09-29,2023-09-29,normal,1.0,1.0
2023-10-31,2023-10-31,normal,1.0,0.9999999999999999
2023-11-16,2023-10-31,caution,0.8,0.7999999999999999
2023-11-17,2023-10-31,normal,1.0,0.9999999999999999
2023-11-30,2023-11-30,normal,1.0,1.0
2023-12-29,2023-12-29,normal,1.0,1.0
2024-01-31,2024-01-31,normal,1.0,1.0
2024-02-29,2024-02-29,normal,1.0,1.0
2024-03-28,2024-03-28,normal,1.0,0.9999999999999999
2024-04-24,2024-03-28,caution,0.8,0.7999999999999999
2024-04-30,2024-04-30,caution,0.8,0.8
2024-05-09,2024-04-30,normal,1.0,1.0
2024-05-31,2024-05-31,normal,1.0,1.0
2024-06-26,2024-05-31,caution,0.8,0.8
2024-06-28,2024-06-28,caution,0.8,0.8
2024-07-10,2024-06-28,normal,1.0,1.0
2024-07-31,2024-07-31,normal,1.0,1.0
2024-08-06,2024-07-31,caution,0.8,0.8
2024-08-08,2024-07-31,normal,1.0,1.0
2024-08-30,2024-08-30,normal,1.0,1.0
2024-09-12,2024-08-30,caution,0.8,0.8
2024-09-16,2024-08-30,normal,1.0,1.0
2024-09-30,2024-09-30,normal,1.0,1.0
2024-10-31,2024-10-31,normal,1.0,1.0
2024-11-29,2024-11-29,normal,1.0,1.0
2024-12-31,2024-12-31,normal,1.0,1.0
2025-01-31,2025-01-31,normal,1.0,1.0
2025-02-28,2025-02-28,normal,1.0,1.0
2025-03-05,2025-02-28,caution,0.8,0.8
2025-03-19,2025-02-28,crisis,0.5,0.5
2025-03-20,2025-02-28,caution,0.8,0.8
2025-03-27,2025-02-28,normal,1.0,1.0
2025-03-31,2025-03-31,normal,1.0,1.0
2025-04-07,2025-03-31,crisis,0.5,0.5
2025-04-14,2025-03-31,caution,0.8,0.8
2025-04-15,2025-03-31,normal,1.0,1.0
2025-04-16,2025-03-31,caution,0.8,0.8
2025-04-17,2025-03-31,normal,1.0,1.0
2025-04-30,2025-04-30,normal,1.0,1.0
2025-05-14,2025-04-30,caution,0.8,0.8
2025-05-19,2025-04-30,normal,1.0,1.0
2025-05-30,2025-05-30,normal,1.0,1.0
2025-06-13,2025-05-30,caution,0.8,0.8
2025-06-16,2025-05-30,normal,1.0,1.0
2025-06-17,2025-05-30,caution,0.8,0.8
2025-06-23,2025-05-30,normal,1.0,1.0
2025-06-30,2025-06-30,normal,1.0,1.0
2025-07-31,2025-07-31,normal,1.0,1.0
2025-08-29,2025-08-29,normal,1.0,1.0
2025-09-30,2025-09-30,normal,1.0,1.0
2025-10-31,2025-10-31,normal,1.0,1.0
2025-11-28,2025-11-28,normal,1.0,1.0
2025-12-17,2025-11-28,caution,0.8,0.8
2025-12-22,2025-11-28,normal,1.0,1.0
2025-12-31,2025-12-31,normal,1.0,1.0
2026-01-30,2026-01-30,normal,1.0,1.0
2026-02-27,2026-02-27,normal,1.0,1.0
2026-03-31,2026-03-31,normal,1.0,1.0
2026-04-09,2026-03-31,caution,0.8,0.8
2026-04-24,2026-03-31,crisis,0.5,0.5
2026-04-28,2026-03-31,caution,0.8,0.8
2026-04-29,2026-03-31,normal,1.0,1.0
2026-05-13,2026-03-31,caution,0.8,0.8
2026-05-15,2026-03-31,normal,1.0,1.0
