book,holding_run_count,unique_tickers,avg_run_months,median_run_months,runs_ge_6m,runs_ge_12m,long_winner_count,open_winner_hold_count,open_stale_watch_count,quick_loss_count,short_big_win_review_count,avg_total_return,total_weighted_contribution
concentrated_grid_presence,449,212,2.6347438752783963,2.0,32,3,5,0,0,10,27,0.06328213586882173,11.006183456513124
production_main,726,295,2.701101928374656,2.0,73,2,9,0,2,10,28,0.05618786506424029,1.5449247618468558
main_v2_research,507,229,1.747534516765286,1.0,12,2,8,0,0,59,27,0.03717538813078423,1.2810231332310704
lifecycle_review_overlay_main,174,123,5.189655172413793,4.0,61,11,12,0,3,12,1,0.09807366060257852,1.189017489368858
monster_lifecycle_concentrated,129,97,4.333333333333333,4.0,36,5,6,1,0,20,3,0.053718785630940145,1.171415690045348
monster_lifecycle_main,192,136,4.666666666666667,4.0,58,8,9,2,0,31,3,0.0558145520517331,1.1479012944035092
