priority,source,book,ticker,action,journey_tag,entry_date,exit_date,status,months_held,total_return,recent_3m_return,max_weight,reason
85,holding_history,main_v2_research,THC,study_premature_exit_or_fast_capture,short_big_win_review,2025-04-30,2025-05-30,closed,2.0,0.23237477189302402,0.23237477189302402,0.15,historical_short_big_win_review
85,holding_history,main_v2_research,MELI,study_premature_exit_or_fast_capture,short_big_win_review,2020-10-30,2020-10-30,closed,1.0,0.2343243721438406,0.2343243721438406,0.0446798417950651,historical_short_big_win_review
85,holding_history,production_main,HWM,study_premature_exit_or_fast_capture,short_big_win_review,2025-02-28,2025-04-30,closed,3.0,0.2350334815744055,0.2350334815744055,0.0363667051414675,historical_short_big_win_review
85,holding_history,main_v2_research,NOC,study_premature_exit_or_fast_capture,short_big_win_review,2022-01-31,2022-03-31,closed,3.0,0.23627654116377395,0.23627654116377395,0.0266758198880697,historical_short_big_win_review
85,holding_history,main_v2_research,UBER,study_premature_exit_or_fast_capture,short_big_win_review,2024-01-31,2024-01-31,closed,1.0,0.23926193341911217,0.23926193341911217,0.0593136621589732,historical_short_big_win_review
85,holding_history,production_main,VEEV,study_premature_exit_or_fast_capture,short_big_win_review,2020-04-30,2020-05-29,closed,2.0,0.2406947650939235,0.2406947650939235,0.0554514525369944,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,LPX,study_premature_exit_or_fast_capture,short_big_win_review,2022-09-30,2022-10-31,closed,2.0,0.24099202382382767,0.24099202382382767,0.5046445864151616,historical_short_big_win_review
85,holding_history,production_main,LSCC,study_premature_exit_or_fast_capture,short_big_win_review,2023-01-31,2023-02-28,closed,2.0,0.24553329135095092,0.24553329135095092,0.0367798663185276,historical_short_big_win_review
85,holding_history,production_main,CHRW,study_premature_exit_or_fast_capture,short_big_win_review,2020-03-31,2020-04-30,closed,2.0,0.24614925589089598,0.24614925589089598,0.0228161051152386,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,TSCO,study_premature_exit_or_fast_capture,short_big_win_review,2022-08-31,2022-10-31,closed,3.0,0.2469615702238641,0.2469615702238641,0.0590878469869446,historical_short_big_win_review
