book,journey_tag,count,avg_run_months,avg_total_return,total_weighted_contribution
concentrated_grid_presence,normal,407,2.557739557739558,0.03817449547462578,7.066679426201253
concentrated_grid_presence,short_big_win_review,27,2.259259259259259,0.2943938353686606,1.3264354537774914
concentrated_grid_presence,quick_loss,10,2.0,-0.12528070597558946,-0.03986534747268
concentrated_grid_presence,long_winner,5,12.2,1.2361665703460638,2.6529339240070615
lifecycle_review_overlay_main,normal,146,4.904109589041096,0.04155987667752634,0.4379235419867779
lifecycle_review_overlay_main,long_winner,12,11.333333333333334,0.9510034657943761,0.8167306507163032
lifecycle_review_overlay_main,quick_loss,12,2.0,-0.13859974888762344,-0.08697150750465524
lifecycle_review_overlay_main,open_stale_watch,3,8.0,0.28632179978566286,0.020611882230834405
lifecycle_review_overlay_main,short_big_win_review,1,3.0,0.38926494769179465,0.0007229219395979372
main_v2_research,normal,413,1.6537530266343825,0.027236182417248126,0.7616105068122127
main_v2_research,quick_loss,59,1.1694915254237288,-0.16127851300070015,-0.6716484977016522
main_v2_research,short_big_win_review,27,2.259259259259259,0.32628912650426517,0.6162321691648602
main_v2_research,long_winner,8,9.125,1.0381255369262847,0.5748289549556496
monster_lifecycle_concentrated,normal,99,4.565656565656566,0.04055741908627445,0.4828055394948413
monster_lifecycle_concentrated,quick_loss,20,1.5,-0.1625891502775787,-0.09741754537395482
monster_lifecycle_concentrated,long_winner,6,8.666666666666666,0.7693040849851399,0.5923803190601582
monster_lifecycle_concentrated,short_big_win_review,3,3.0,0.3201872866051992,0.0696889056308942
monster_lifecycle_concentrated,open_winner_hold,1,16.0,0.5899354926752449,0.123958471233409
monster_lifecycle_main,normal,147,4.843537414965986,0.03599040329970614,0.3389305596925443
monster_lifecycle_main,quick_loss,31,1.4838709677419355,-0.16148597643341656,-0.10572772562256891
monster_lifecycle_main,long_winner,9,11.555555555555555,0.8729609359361903,0.7019980172928647
monster_lifecycle_main,short_big_win_review,3,3.0,0.3201872866051992,0.042082876104970204
monster_lifecycle_main,open_winner_hold,2,12.5,0.8073298475352763,0.17061756693569918
production_main,normal,677,2.641063515509601,0.03662278917732242,0.9526228929160903
production_main,short_big_win_review,28,2.357142857142857,0.27097618504200766,0.22736945272150952
production_main,quick_loss,10,2.0,-0.13010296134424318,-0.041471310728981074
production_main,long_winner,9,7.888888888888889,0.9896523775886507,0.3639812893873886
production_main,open_stale_watch,2,8.0,0.40279339877976805,0.042422437550848416
