comparison_method,rebalance_date,target_cash_weight,target_stock_weight,broker_cash_date,broker_cash_weight,cash_drift
rebalance_day_next_close,2019-07-31,0.0,59.999999999999986,2019-08-01,0.0012750630767385,0.0012750630767385
rebalance_day_next_close,2019-09-30,0.5475217581951999,59.4524782418048,2019-10-01,0.0002952673148977,-0.5472264908803022
rebalance_day_next_close,2019-10-31,0.5257735702623265,60.97422642973767,2019-11-01,0.0002669272985499,-0.5255066429637766
rebalance_day_next_close,2019-12-31,0.0,61.49999999999999,2020-01-02,9.064216790284232e-05,9.064216790284232e-05
rebalance_day_next_close,2020-03-31,17.802600825594872,42.19739917440512,2020-04-01,1.2156618551495218e-05,-17.80258866897632
rebalance_day_next_close,2020-04-30,17.56860765891735,43.93139234108264,2020-05-01,0.0038666623289451,-17.564740996588405
rebalance_day_next_close,2020-06-30,0.0,61.499999999999986,2020-07-01,0.0052016004252959,0.0052016004252959
rebalance_day_next_close,2020-08-31,0.0,59.99999999999999,2020-09-01,0.0007293589138069,0.0007293589138069
rebalance_day_next_close,2020-09-30,9.61010891013494,50.389891089865046,2020-10-01,0.0011171798733915,-9.608991730261549
rebalance_day_next_close,2020-11-30,0.0,58.499999999999986,2020-12-01,0.00010746582308,0.00010746582308
rebalance_day_next_close,2021-03-31,3.050561512193721,56.94943848780626,2021-04-01,0.0002402643195343,-3.0503212478741863
rebalance_day_next_close,2021-06-30,0.0,61.499999999999986,2021-07-01,0.0004175278599881,0.0004175278599881
rebalance_day_next_close,2021-08-31,10.375553494292017,49.62444650570798,2021-09-01,0.0006374021204633,-10.374916092171555
rebalance_day_next_close,2021-09-30,1.464717429234351,58.53528257076564,2021-10-01,0.0002480356469755,-1.4644693935873756
rebalance_day_next_close,2021-11-30,0.0,58.499999999999986,2021-12-01,0.0002000114167853,0.0002000114167853
rebalance_day_next_close,2022-01-31,17.402041559147428,42.597958440852565,2022-02-01,0.0001222830672737,-17.401919276080154
rebalance_day_next_close,2022-02-28,9.92753748279052,50.07246251720947,2022-03-01,2.534225574840553e-05,-9.927512140534771
rebalance_day_next_close,2022-03-31,0.13900184783420222,59.86099815216579,2022-04-01,0.0001676330589051,-0.13883421477529712
rebalance_day_next_close,2022-05-31,0.0,58.49999999999999,2022-06-01,0.0002156094987219,0.0002156094987219
rebalance_day_next_close,2022-06-30,22.72248872692363,38.77751127307637,2022-07-01,0.0003608456960028,-22.722127881227625
rebalance_day_next_close,2022-08-31,11.515225566878186,48.4847744331218,2022-09-01,1.9209775475340564e-05,-11.515206357102711
