rank,ticker,target_weight,regime_state,row_type
1,GOOGL,0.0962854963745136,neutral,equity
2,VRT,0.06816900595095142,neutral,equity
3,GEV,0.05606036762719459,neutral,equity
4,PLTR,0.05294731377103876,neutral,equity
5,FTI,0.05036251173198341,neutral,equity
6,LRCX,0.0485890363867686,neutral,equity
7,WDC,0.04127668760976056,neutral,equity
8,TSM,0.04088746638459509,neutral,equity
9,CIEN,0.039580076967935585,neutral,equity
10,DTM,0.03900000000000001,neutral,equity
11,MLI,0.03900000000000001,neutral,equity
12,PR,0.03900000000000001,neutral,equity
13,TER,0.03474664310702692,neutral,equity
14,ON,0.031214872597395717,neutral,equity
15,HPE,0.027502134137770043,neutral,equity
16,WELL,0.026235151930761934,neutral,equity
17,SNDK,0.019143235422303867,neutral,equity
18,CASH,0.2499999999999999,neutral,cash
